experiment,global_step,step,step_source,implicit_acc,inside_term_mean,inside_term_min,inside_term_max,loser_dominant_ratio,dpo_loss,total_loss,factor,mse_w,ref_mse_w,mse_l,ref_mse_l,win_gap,lose_gap,reward_margin,sigma_term,kl_divergence,l_dpo,l_total
VideoDPO_open_source,0,0,global_step,0.546875,0.005522,-1.470088,1.308317,0.6,0.698669,0.698669,1.0,0.013123,0.013134,0.026521,0.02651,-1e-05,1.2e-05,-0.013376,0.514275,0.0,0.698669,0.698669
VideoDPO_open_source,1,1,global_step,0.53125,0.079161,-3.803447,3.896281,0.485294,0.820536,0.820536,1.0,0.094729,0.094791,0.037748,0.037795,-6.2e-05,-4.8e-05,0.056996,0.498881,-2.7e-05,0.820536,0.820536
VideoDPO_open_source,2,2,global_step,0.625,0.19683,-0.954317,2.389392,0.875,0.556747,0.556747,1.0,0.010897,0.010925,0.039814,0.039683,-2.8e-05,0.000131,-0.028758,0.588864,2.6e-05,0.556747,0.556747
VideoDPO_open_source,3,3,global_step,0.570312,0.108044,-2.377187,2.092253,0.684932,0.721143,0.721143,1.0,0.031505,0.031426,0.028743,0.028623,7.9e-05,0.00012,0.002803,0.520767,5e-05,0.721143,0.721143
VideoDPO_open_source,4,4,global_step,0.515625,0.346118,-3.308803,5.512238,0.954545,0.717748,0.717748,1.0,0.029571,0.029541,0.145809,0.14554,3e-05,0.000269,-0.115999,0.584229,7.5e-05,0.717748,0.717748
VideoDPO_open_source,5,5,global_step,0.46875,-0.275767,-8.375049,6.740689,0.533333,0.7096,0.7096,1.0,0.179638,0.179629,0.075069,0.074871,9e-06,0.000198,0.104758,0.582641,5.2e-05,0.7096,0.7096
VideoDPO_open_source,6,6,global_step,0.617188,0.29469,-4.726052,4.105903,0.721519,0.697341,0.697341,1.0,0.088252,0.088182,0.073467,0.073218,7e-05,0.000249,0.014964,0.585552,8e-05,0.697341,0.697341
VideoDPO_open_source,7,7,global_step,0.460938,-0.099038,-3.433488,4.013032,0.016949,0.970192,0.970192,1.0,0.097137,0.097083,0.001759,0.001803,5.5e-05,-4.4e-05,0.09528,0.455136,3e-06,0.970192,0.970192
VideoDPO_open_source,8,8,global_step,0.664062,0.41455,-3.268402,4.159212,0.517647,0.69548,0.69548,1.0,0.125252,0.12528,0.037221,0.037073,-2.8e-05,0.000148,0.088207,0.587127,3e-05,0.69548,0.69548
VideoDPO_open_source,9,9,global_step,0.640625,0.303555,-2.482487,3.469363,0.902439,0.710937,0.710937,1.0,0.041027,0.040843,0.056001,0.055738,0.000184,0.000263,-0.014895,0.541036,0.000112,0.710937,0.710937
VideoDPO_open_source,10,10,global_step,0.226562,-0.263434,-1.548626,1.21641,0.655172,0.910674,0.910674,1.0,0.014377,0.014289,0.008367,0.008417,8.8e-05,-5e-05,0.005872,0.418786,1e-05,0.910674,0.910674
VideoDPO_open_source,11,11,global_step,0.765625,0.698476,-13.20878,10.775617,0.846939,0.906686,0.906686,1.0,0.011163,0.011245,0.080345,0.08034,-8.2e-05,4e-06,-0.069095,0.569529,-2e-05,0.906686,0.906686
VideoDPO_open_source,12,12,global_step,0.632812,0.297729,-1.481622,2.889819,0.691358,0.561647,0.561647,1.0,0.022105,0.022163,0.028465,0.028343,-5.8e-05,0.000123,-0.00618,0.596598,1.6e-05,0.561647,0.561647
VideoDPO_open_source,13,13,global_step,0.890625,3.355542,-2.816543,9.862706,0.254386,0.333611,0.333611,1.0,0.385665,0.386582,0.025471,0.025102,-0.000917,0.00037,0.361481,0.823549,-0.000137,0.333611,0.333611
VideoDPO_open_source,14,14,global_step,0.5,0.184401,-2.043731,4.065982,0.828125,0.62824,0.62824,1.0,0.007532,0.007545,0.021668,0.021591,-1.4e-05,7.7e-05,-0.014046,0.551605,1.6e-05,0.62824,0.62824
VideoDPO_open_source,15,15,global_step,0.742188,1.258537,-3.541522,9.012576,0.631579,0.599066,0.599066,1.0,0.163431,0.163479,0.081265,0.080799,-4.8e-05,0.000467,0.08268,0.672464,0.000105,0.599066,0.599066
VideoDPO_open_source,16,16,global_step,0.25,-0.634285,-3.719926,2.963189,0.03125,1.140504,1.140504,1.0,0.108944,0.108763,0.001866,0.001862,0.000182,4e-06,0.106901,0.409179,4.6e-05,1.140504,1.140504
VideoDPO_open_source,17,17,global_step,0.703125,0.740198,-5.439594,6.035641,0.4,0.590064,0.590064,1.0,0.088682,0.088765,0.013634,0.013464,-8.3e-05,0.00017,0.075301,0.617328,2.2e-05,0.590064,0.590064
VideoDPO_open_source,18,18,global_step,0.539062,0.03544,-2.899086,3.698543,0.855072,0.726632,0.726632,1.0,0.090165,0.090069,0.061912,0.061635,9.7e-05,0.000277,0.028433,0.580973,9.3e-05,0.726632,0.726632
VideoDPO_open_source,19,19,global_step,0.546875,0.044459,-0.831729,0.748182,0.5,0.678045,0.678045,1.0,0.001941,0.001948,0.002953,0.002942,-7e-06,1.1e-05,-0.000993,0.511334,1e-06,0.678045,0.678045
VideoDPO_open_source,20,20,global_step,0.742188,0.816793,-2.943073,5.465187,0.442105,0.458369,0.458369,1.0,0.125722,0.126057,0.032457,0.032281,-0.000335,0.000176,0.093776,0.702229,-4e-05,0.458369,0.458369
VideoDPO_open_source,21,21,global_step,0.570312,0.131124,-1.167043,4.910729,0.890411,0.702166,0.702166,1.0,0.002477,0.002422,0.01312,0.013026,5.5e-05,9.4e-05,-0.010604,0.511797,3.7e-05,0.702166,0.702166
