video,model,frames,PSNR,SSIM,strict_mask_pixel_psnr,LPIPS
bear,baseline,49,31.227808241828342,0.9791494385702322,17.450356335205257,
bear,adapter,49,33.62569818713924,0.9856777546001821,19.84824628051615,
blackswan,baseline,49,33.051315107937036,0.9704336485898242,22.011586132648688,
blackswan,adapter,49,31.06048791391973,0.9648562859782479,20.020758938631374,
bmx-bumps,baseline,49,33.14474148535112,0.9805799581208443,23.129131138740764,
bmx-bumps,adapter,49,25.44191570012693,0.9416888200895376,15.426305353516582,
bmx-trees,baseline,49,37.57964168374565,0.989611994422222,23.544594483911567,
bmx-trees,adapter,49,36.25064422070258,0.9857127718050699,22.2155970208685,
boat,baseline,49,31.820012717866888,0.9790777991934428,23.945063891260045,
boat,adapter,49,29.85711885385044,0.9751325801479511,21.982170027243598,
breakdance,baseline,49,25.112287021336318,0.9546316208992647,12.405303876456736,
breakdance,adapter,49,25.727250516308924,0.9616798061814817,13.020267371429346,
breakdance-flare,baseline,49,30.384985154690515,0.9696161492542247,18.21606045330519,
breakdance-flare,adapter,49,30.833092109486117,0.9718778453191154,18.66416740810079,
bus,baseline,49,33.08690732631029,0.9956494917407908,18.433953344600074,
bus,adapter,49,38.23538645133805,0.9981178307237195,23.582432469627843,
camel,baseline,49,25.992679945788637,0.9381530700057412,18.172086582395345,
camel,adapter,49,24.3105467767348,0.9263741087195201,16.489953413341507,
car-roundabout,baseline,49,38.895485599352185,0.9972164542295864,24.608232468844676,
car-roundabout,adapter,49,36.114554821232375,0.996418385169702,21.82730169072487,
car-shadow,baseline,37,23.48002333719457,0.8446410458970258,12.261689335889624,
car-shadow,adapter,37,23.709964578271304,0.846971069762688,12.491630576966353,
car-turn,baseline,49,40.504974154533265,0.9936160413528212,29.68502254463981,
car-turn,adapter,49,30.45087889635741,0.9709569386401152,19.63092728646396,
cows,baseline,49,35.97126408186728,0.9961617648057252,24.502638745012444,
cows,adapter,49,33.398124989958156,0.9937862574797142,21.929499653103317,
dance-jump,baseline,49,37.75062437283964,0.98881431848694,26.02238683581997,
dance-jump,adapter,49,29.739986536756877,0.9712185938820179,18.011748999737208,
dance-twirl,baseline,49,34.57033228657663,0.9941970087978759,19.71153436775775,
dance-twirl,adapter,49,33.91416204198243,0.9939162649485097,19.055364123163546,
dog,baseline,49,36.14223040998215,0.9833628316310022,24.999754755006546,
dog,adapter,49,26.941196003904178,0.9332619483287581,15.798720348928574,
dog-agility,baseline,25,19.41845143333779,0.8697587050544735,9.71754746798579,
dog-agility,adapter,25,26.27651115585786,0.9498799927144558,16.57560719050586,
drift-chicane,baseline,49,32.316284857256896,0.9472496944639004,23.595914516600242,
drift-chicane,adapter,49,30.23762721368225,0.9441608229423224,21.51725687302559,
drift-straight,baseline,49,30.927142663227468,0.9703398512127389,21.800700252321857,
drift-straight,adapter,49,25.35507211188253,0.9444975496444536,16.228629700976917,
