global_step,exp17_variant,dpo_loss,dpo_loss_raw,dpo_loss_saturated,implicit_acc,win_gap,lose_gap,raw_win_gap,raw_lose_gap,norm_win_gap,norm_lose_gap,norm_lose_gap_clipped,adaptive_norm_win_gap,adaptive_norm_lose_gap,adaptive_norm_lose_gap_clipped,adaptive_norm_mode,gap_normalization,gap_eps,lose_gap_clip_tau,mse_w,ref_mse_w,mse_l,ref_mse_l,loser_dominant_ratio,sigma_term,grad_norm,total_loss,anchored_total_loss,sft_loss,sft_reg_weight,lose_gap_weight,winner_abs_reg,winner_abs_reg_weight,winner_gap_reg,winner_gap_reg_weight,winner_gap_reg_margin,lambda_abs,lambda_pos,margin_pos,margin_pref,target_margin,sat_weight_mean,saturated_pair_ratio,saturation_kappa,relu_win_gap_mean,relu_win_gap_max,win_gap_positive_ratio,mse_w_over_ref_mse_w,mse_l_over_ref_mse_l,reward_margin,kl_divergence,inside_term_mean,inside_term_min,inside_term_max,loss_region_mode,region_mask_weight,region_boundary_weight,region_outside_weight,mask_area_ratio,boundary_area_ratio,outside_area_ratio,region_weight_sum,boundary_mode,mask_weight,boundary_weight,outside_weight,mask_region_mse,boundary_region_mse,outside_region_mse,region_weighted_mse_w,region_weighted_mse_l,region_weighted_ref_mse_w,region_weighted_ref_mse_l
1,positive,0.6936885118484497,0.6936885118484497,0.6890507936477661,0.25,0.00014323863433673978,-0.0002920471888501197,2.3038126528263092e-05,-4.766881465911865e-05,0.00014323863433673978,-0.0002920471888501197,-0.0002920471888501197,null,null,null,null,log_ratio,1e-06,1.0,0.16904661059379578,0.1690235733985901,0.1645306795835495,0.16457834839820862,0.0,0.4997296631336212,3.9316580704074053,0.7026035785675049,0.7026035785675049,0.16904661059379578,0.0,0.25,0.16904661059379578,0.05,0.0002313650184078142,2.0,0.0,0.05,2.0,0.0,-0.0002162504242733121,1.0,0.9933143258094788,0.0,5.0,0.0002313650184078142,0.0008588915807195008,0.5625,1.0001362562179565,0.9997103810310364,0.004515933804214001,-6.161630153656006e-06,-0.0005136676481924951,-0.0016310156788676977,0.0013996422057971358,region,1.0,0.75,0.05,0.2398534119129181,0.0634259283542633,0.6967207193374634,522.0593872070312,outer,1.0,0.75,0.05,0.20569077134132385,0.09792729467153549,0.0140298493206501,0.16904661059379578,0.1645306795835495,0.1690235733985901,0.16457834839820862
10,positive,0.6795938611030579,0.6795938611030579,0.6749204397201538,1.0,-0.0032586019951850176,0.008885086514055729,-3.7570425774902105e-05,9.195925667881966e-05,-0.0032586019951850176,0.008885086514055729,0.008885086514055729,null,null,null,null,log_ratio,1e-06,1.0,0.01103975996375084,0.011077330447733402,0.010497440584003925,0.010405480861663818,1.0,0.5068494081497192,10.081153818011021,0.6814696788787842,0.6814696788787842,0.01103975996375084,0.0,0.25,0.01103975996375084,0.05,0.0006619112682528794,2.0,0.0,0.05,2.0,0.0,0.00547987362369895,1.0,0.9931225180625916,0.0,5.0,0.0006619112682528794,0.0043580797500908375,0.25,0.996608316898346,1.0088375806808472,0.0005423197289928794,1.3597309589385986e-05,0.03132276237010956,0.004934943281114101,0.06711146235466003,region,1.0,0.75,0.05,0.2661265432834625,0.06161265820264816,0.6722608208656311,560.4375,outer,1.0,0.75,0.05,0.013372460380196571,0.005306066479533911,0.00045659704483114183,0.01103975996375084,0.010497440584003925,0.011077330447733402,0.010405480861663818
20,positive,0.6667722463607788,0.6667722463607788,0.6620662212371826,0.75,-0.00887087732553482,0.007572741247713566,-1.7632381059229374e-05,1.1033742339350283e-05,-0.00887087732553482,0.007572741247713566,0.007572741247713566,null,null,null,null,log_ratio,1e-06,1.0,0.0019345164764672518,0.0019521488575264812,0.0015260402578860521,0.001515006646513939,0.6666666865348816,0.513451874256134,44.5442773985607,0.6677993535995483,0.6677993535995483,0.0019345164764672518,0.0,0.25,0.0019345164764672518,0.05,0.0004651788040064275,2.0,0.0,0.05,2.0,0.0,0.010764062404632568,1.0,0.9929397106170654,0.0,5.0,0.0004651788040064275,0.005700047593563795,0.1875,0.9909676909446716,1.0072828531265259,0.0004084761021658778,-1.6497215256094933e-06,0.018338512629270554,-0.06178102642297745,0.07136299461126328,region,1.0,0.75,0.05,0.2057870477437973,0.05914352089166641,0.7350694537162781,464.7750244140625,outer,1.0,0.75,0.05,0.0025264841970056295,0.0006984669016674161,0.0001114212500397116,0.0019345164764672518,0.0015260402578860521,0.0019521488575264812,0.001515006646513939
30,positive,0.6638497710227966,0.6638497710227966,0.6591362953186035,1.0,-0.01009678840637207,0.007432145066559315,-3.5143239074386656e-05,2.352651790715754e-05,-0.01009678840637207,0.007432145066559315,0.007432145066559315,null,null,null,null,log_ratio,1e-06,1.0,0.0034511578269302845,0.003486301051452756,0.0031746267341077328,0.003151100128889084,0.5,0.5149390697479248,16.699721014781428,0.6641730070114136,0.6641730070114136,0.0034511578269302845,0.0,0.25,0.0034511578269302845,0.05,7.534698670497164e-05,2.0,0.0,0.05,2.0,0.0,0.011954824440181255,1.0,0.9928977489471436,0.0,5.0,7.534698670497164e-05,0.0012055517872795463,0.0625,0.9899196028709412,1.007466197013855,0.00027653115103021264,-2.904096618294716e-06,0.08912964165210724,0.05977412313222885,0.11457261443138123,region,1.0,0.75,0.05,0.2907407581806183,0.06728395074605942,0.6419753432273865,604.75,outer,1.0,0.75,0.05,0.004096302203834057,0.0018126887734979391,0.00018350309983361512,0.0034511578269302845,0.0031746267341077328,0.003486301051452756,0.003151100128889084
40,positive,0.6596564054489136,0.6596564054489136,0.6549322605133057,1.0,-0.009942198172211647,0.014922427013516426,-0.0005208943039178848,0.0005605603801086545,-0.009942198172211647,0.014922427013516426,0.014922427013516426,null,null,null,null,log_ratio,1e-06,1.0,0.04867349565029144,0.04919439181685448,0.038434118032455444,0.03787355497479439,1.0,0.5170843601226807,3.021741752237881,0.6624376773834229,0.6624376773834229,0.04867349565029144,0.0,0.25,0.04867349565029144,0.05,0.00017380186181981117,2.0,0.0,0.05,2.0,0.0,0.013672804459929466,1.0,0.9928370118141174,0.0,5.0,0.00017380186181981117,0.0022689569741487503,0.125,0.989411473274231,1.0148009061813354,0.010239382274448872,9.916722774505615e-06,0.12208203971385956,0.06836402416229248,0.18606188893318176,region,1.0,0.75,0.05,0.22777779400348663,0.06790123879909515,0.704321026802063,508.5500183105469,outer,1.0,0.75,0.05,0.06169326975941658,0.02270112931728363,0.0020202582236379385,0.04867349565029144,0.038434118032455444,0.04919439181685448,0.03787355497479439
50,positive,0.6679712533950806,0.6679712533950806,0.663267970085144,1.0,-0.008252576924860477,0.008673666045069695,-4.29147039540112e-05,3.887066850438714e-05,-0.008252576924860477,0.008673666045069695,0.008673666045069695,null,null,null,null,log_ratio,1e-06,1.0,0.005141292233020067,0.005184207111597061,0.004332864657044411,0.004293993581086397,0.75,0.513023316860199,9.084783372643995,0.6747734546661377,0.6747734546661377,0.005141292233020067,0.0,0.25,0.005141292233020067,0.05,0.0032725613564252853,2.0,0.0,0.05,2.0,0.0,0.010420992970466614,1.0,0.9929516911506653,0.0,5.0,0.0032725613564252853,0.022597545757889748,0.375,0.9917219877243042,1.0090523958206177,0.000808427925221622,-1.010950654745102e-06,0.06299605965614319,0.04138926416635513,0.11379226297140121,region,1.0,0.75,0.05,0.2687114179134369,0.07029321044683456,0.6609954237937927,574.2593994140625,outer,1.0,0.75,0.05,0.0063670021481812,0.0019829270895570517,0.0002144033496733755,0.005141292233020067,0.004332864657044411,0.005184207111597061,0.004293993581086397
60,positive,0.6318899393081665,0.6318899393081665,0.6270946264266968,1.0,-0.01826123148202896,0.02851833403110504,-0.002987843006849289,0.0032459250651299953,-0.01826123148202896,0.02851833403110504,0.02851833403110504,null,null,null,null,log_ratio,1e-06,1.0,0.16161608695983887,0.16460393369197845,0.115375816822052,0.11212989687919617,1.0,0.5316959619522095,2.418978857323894,0.6399707198143005,0.6399707198143005,0.16161608695983887,0.0,0.25,0.16161608695983887,0.05,0.0,2.0,0.0,0.05,2.0,0.0,0.02539081498980522,1.0,0.992408037185669,0.0,5.0,0.0,0.0,0.0,0.9818482398986816,1.0289478302001953,0.04624027758836746,6.452202796936035e-05,0.13012845814228058,0.09332030266523361,0.19626818597316742,region,1.0,0.75,0.05,0.2888889014720917,0.07407407462596893,0.6370370388031006,609.6000366210938,outer,1.0,0.75,0.05,0.19923719763755798,0.05493934825062752,0.006465607322752476,0.16161608695983887,0.115375816822052,0.16460393369197845,0.11212989687919617
70,positive,0.6331620812416077,0.6331620812416077,0.628369927406311,1.0,-0.009204636327922344,0.06297118216753006,-0.0007988340221345425,0.005103709176182747,-0.009204636327922344,0.06297118216753006,0.06297118216753006,null,null,null,null,log_ratio,1e-06,1.0,0.08478228747844696,0.08558112382888794,0.08284033089876175,0.07773661613464355,0.75,0.5311439633369446,4.254854947147121,0.6403696537017822,0.6403696537017822,0.08478228747844696,0.0,0.25,0.08478228747844696,0.05,0.001484203734435141,2.0,0.0,0.05,2.0,0.0,0.024947430938482285,1.0,0.992424726486206,0.0,5.0,0.001484203734435141,0.015536111779510975,0.3125,0.9906657338142395,1.065653920173645,0.0019419621676206589,0.0010762214660644531,0.10990950465202332,0.0783170759677887,0.12473715841770172,region,1.0,0.75,0.05,0.25555557012557983,0.06790123879909515,0.6765432357788086,551.300048828125,outer,1.0,0.75,0.05,0.10421894490718842,0.03986788168549538,0.005560882855206728,0.08478228747844696,0.08284033089876175,0.08558112382888794,0.07773661613464355
80,positive,0.6392534971237183,0.6392534971237183,0.6344772577285767,1.0,-0.013456731103360653,0.03501438349485397,-0.0008593415841460228,0.0016741110011935234,-0.013456731103360653,0.03501438349485397,0.03501438349485397,null,null,null,null,log_ratio,1e-06,1.0,0.06202737241983414,0.06288671493530273,0.05067627504467964,0.049002163112163544,1.0,0.5277344584465027,2.860521530218416,0.6430906057357788,0.6430906057357788,0.06202737241983414,0.0,0.25,0.06202737241983414,0.05,0.00036786802229471505,2.0,0.0,0.05,2.0,0.0,0.02221032604575157,1.0,0.9925268888473511,0.0,5.0,0.00036786802229471505,0.005885888356715441,0.0625,0.9863350987434387,1.0341640710830688,0.011351097375154495,0.00020369328558444977,0.15278765559196472,0.10991263389587402,0.21419242024421692,region,1.0,0.75,0.05,0.23607254028320312,0.06300154328346252,0.7009259462356567,515.7593994140625,outer,1.0,0.75,0.05,0.07754209637641907,0.02809344418346882,0.003249255008995533,0.06202737241983414,0.05067627504467964,0.06288671493530273,0.049002163112163544
90,positive,0.648328959941864,0.648328959941864,0.6435745358467102,1.0,-0.01631859503686428,0.012031368911266327,-0.000648085493594408,0.0003854802343994379,-0.01631859503686428,0.012031368911266327,0.012031368911266327,null,null,null,null,log_ratio,1e-06,1.0,0.041056834161281586,0.041704922914505005,0.03324924781918526,0.032863765954971313,0.75,0.5241392850875854,4.8958574318840915,0.6590553522109985,0.6590553522109985,0.041056834161281586,0.0,0.25,0.041056834161281586,0.05,0.0043367650359869,2.0,0.0,0.05,2.0,0.0,0.019326437264680862,1.0,0.9926331639289856,0.0,5.0,0.0043367650359869,0.025107815861701965,0.3125,0.9844601154327393,1.0117297172546387,0.007807589136064053,-6.565079092979431e-05,0.14192819595336914,0.08547067642211914,0.20967432856559753,region,1.0,0.75,0.05,0.20370371639728546,0.055555559694767,0.7407407760620117,457.5,outer,1.0,0.75,0.05,0.05389885604381561,0.013078834861516953,0.0019010488176718354,0.041056834161281586,0.03324924781918526,0.041704922914505005,0.032863765954971313
100,positive,0.6142935752868652,0.6142935752868652,0.6094529628753662,1.0,-0.02046319469809532,0.04991701990365982,-0.007571257650852203,0.016616743057966232,-0.02046319469809532,0.04991701990365982,0.04991701990365982,null,null,null,null,log_ratio,1e-06,1.0,0.36529234051704407,0.37286362051963806,0.34207820892333984,0.3254614770412445,1.0,0.5410851836204529,1.7540713058987214,0.6325581669807434,0.6325581669807434,0.36529234051704407,0.0,0.25,0.36529234051704407,0.05,0.0,2.0,0.0,0.05,2.0,0.0,0.032942451536655426,1.0,0.9921182990074158,0.0,5.0,0.0,0.0,0.0,0.9796942472457886,1.051055908203125,0.023214144632220268,0.0022613555192947388,0.16589616239070892,0.14656393229961395,0.1839328408241272,region,1.0,0.75,0.05,0.25968363881111145,0.06408179551362991,0.6762346029281616,553.3218994140625,outer,1.0,0.75,0.05,0.4460354447364807,0.1712689846754074,0.020994028076529503,0.36529234051704407,0.34207820892333984,0.37286362051963806,0.3254614770412445
110,positive,0.622453510761261,0.622453510761261,0.617633581161499,1.0,-0.004800261929631233,0.09945979714393616,-0.00018231477588415146,0.0030383500270545483,-0.004800261929631233,0.09945979714393616,0.09945979714393616,null,null,null,null,log_ratio,1e-06,1.0,0.035219065845012665,0.03540138155221939,0.032179445028305054,0.029141094535589218,1.0,0.5370137095451355,8.770474549596583,0.6323934197425842,0.6323934197425842,0.035219065845012665,0.0,0.25,0.035219065845012665,0.05,0.004089486785233021,2.0,0.0,0.05,2.0,0.0,0.029665211215615273,1.0,0.9922453761100769,0.0,5.0,0.004089486785233021,0.01572013460099697,0.375,0.9948500394821167,1.104263424873352,0.0030396203510463238,0.000714009627699852,0.13082405924797058,0.0981038436293602,0.17619389295578003,region,1.0,0.75,0.05,0.2660493850708008,0.06851851940155029,0.6654321551322937,568.1500244140625,outer,1.0,0.75,0.05,0.04332999512553215,0.01473485492169857,0.0020001062657684088,0.035219065845012665,0.032179445028305054,0.03540138155221939,0.029141094535589218
120,positive,0.6312910318374634,0.6312910318374634,0.6264939308166504,1.0,-0.016167784109711647,0.038674741983413696,-0.0023241271264851093,0.005621697288006544,-0.016167784109711647,0.038674741983413696,0.038674741983413696,null,null,null,null,log_ratio,1e-06,1.0,0.14967074990272522,0.15199488401412964,0.15342511236667633,0.1478034257888794,1.0,0.5322507619857788,2.0814703291682752,0.6405960321426392,0.6405960321426392,0.14967074990272522,0.0,0.25,0.14967074990272522,0.05,0.0009107149671763182,2.0,0.0,0.05,2.0,0.0,0.02583646960556507,1.0,0.9923912882804871,0.0,5.0,0.0009107149671763182,0.01457143947482109,0.0625,0.9847091436386108,1.0380349159240723,-0.0037543619982898235,0.0008243918418884277,0.15289586782455444,0.10502016544342041,0.2393379509449005,region,1.0,0.75,0.05,0.2546682357788086,0.06462191790342331,0.6807098984718323,546.2156982421875,outer,1.0,0.75,0.05,0.1763691008090973,0.10529378801584244,0.01365644671022892,0.14967074990272522,0.15342511236667633,0.15199488401412964,0.1478034257888794
130,positive,0.5896365642547607,0.5896365642547607,0.5847318172454834,1.0,-0.02733635902404785,0.0667651817202568,-0.005686960183084011,0.010169072076678276,-0.02733635902404785,0.0667651817202568,0.0667651817202568,null,null,null,null,log_ratio,1e-06,1.0,0.20657449960708618,0.21226146817207336,0.16264982521533966,0.15248075127601624,0.75,0.5548133850097656,2.5413168329363334,0.5999652743339539,0.5999652743339539,0.20657449960708618,0.0,0.25,0.20657449960708618,0.05,0.0,2.0,0.0,0.05,2.0,0.0,0.0440276563167572,1.0,0.9916728138923645,0.0,5.0,0.0,0.0,0.0,0.9732077121734619,1.0666909217834473,0.04392467439174652,0.0011205226182937622,0.17557507753372192,0.05493873357772827,0.3005533218383789,region,1.0,0.75,0.05,0.2765432298183441,0.06913580745458603,0.654321014881134,585.0,outer,1.0,0.75,0.05,0.2514551281929016,0.08970405161380768,0.012434963136911392,0.20657449960708618,0.16264982521533966,0.21226146817207336,0.15248075127601624
140,positive,0.6204593181610107,0.6204593181610107,0.6156344413757324,1.0,-0.017631985247135162,0.05096963047981262,-0.00458250567317009,0.012686144560575485,-0.017631985247135162,0.05096963047981262,0.05096963047981262,null,null,null,null,log_ratio,1e-06,1.0,0.25831860303878784,0.2629011273384094,0.25413352251052856,0.24144738912582397,1.0,0.5378952026367188,2.089099928980144,0.6356155872344971,0.6356155872344971,0.25831860303878784,0.0,0.25,0.25831860303878784,0.05,0.0011201695306226611,2.0,0.0,0.05,2.0,0.0,0.030374392867088318,1.0,0.992218017578125,0.0,5.0,0.0011201695306226611,0.017922712489962578,0.0625,0.9825693964958191,1.052541971206665,0.004185098223388195,0.002025902271270752,0.18113571405410767,0.14756770431995392,0.23799799382686615,region,1.0,0.75,0.05,0.20320217311382294,0.0602237693965435,0.736574113368988,462.0218811035156,outer,1.0,0.75,0.05,0.33447036147117615,0.11736800521612167,0.011464954353868961,0.25831860303878784,0.25413352251052856,0.2629011273384094,0.24144738912582397
150,positive,0.7429015636444092,0.7429015636444092,0.738385021686554,0.75,0.03631550818681717,0.07095924019813538,0.00023308485106099397,0.00035258513526059687,0.03631550818681717,0.07095924019813538,0.07095924019813538,null,null,null,null,log_ratio,1e-06,1.0,0.006721949204802513,0.006488863844424486,0.00534363416954875,0.004991048946976662,1.0,0.47679704427719116,23.86329809619644,0.8206825256347656,0.8206825256347656,0.006721949204802513,0.0,0.25,0.006721949204802513,0.05,0.03872242569923401,2.0,0.0,0.05,2.0,0.0,-0.018575698137283325,1.0,0.9938971400260925,0.0,5.0,0.03872242569923401,0.07461432367563248,0.875,1.0359208583831787,1.0706435441970825,0.0013783146860077977,0.00014641787856817245,0.07176567614078522,-0.09287849068641663,0.15563838183879852,region,1.0,0.75,0.05,0.26543211936950684,0.06728395074605942,0.6672839522361755,565.800048828125,outer,1.0,0.75,0.05,0.008517679758369923,0.0016244627768173814,0.00014572852523997426,0.006721949204802513,0.00534363416954875,0.006488863844424486,0.004991048946976662
160,positive,0.5563333034515381,0.5563333034515381,0.5513415336608887,1.0,0.0019965257961302996,0.24598000943660736,2.6391702704131603e-05,0.0038687707856297493,0.0019965257961302996,0.24598000943660736,0.24598000943660736,null,null,null,null,log_ratio,1e-06,1.0,0.012072918005287647,0.012046527117490768,0.017785029485821724,0.01391625963151455,0.75,0.5738293528556824,12.249033612371537,0.5750001668930054,0.5750001668930054,0.012072918005287647,0.0,0.25,0.012072918005287647,0.05,0.009031621739268303,2.0,0.0,0.05,2.0,0.0,0.05949847772717476,1.0,0.9910090565681458,0.0,5.0,0.009031621739268303,0.03024590201675892,0.5625,1.0021907091140747,1.2780035734176636,-0.005712111946195364,0.000973790418356657,0.17119431495666504,0.06229889392852783,0.2974923849105835,region,1.0,0.75,0.05,0.2712577283382416,0.057793211191892624,0.6709491014480591,564.003173828125,outer,1.0,0.75,0.05,0.014296780340373516,0.006753233727067709,0.0009829499758780003,0.012072918005287647,0.017785029485821724,0.012046527117490768,0.01391625963151455
170,positive,0.6113519668579102,0.6113519668579102,0.6065034866333008,1.0,-0.017929676920175552,0.06618574261665344,-0.0031808344647288322,0.010782509110867977,-0.017929676920175552,0.06618574261665344,0.06618574261665344,null,null,null,null,log_ratio,1e-06,1.0,0.17516516149044037,0.17834600806236267,0.16817542910575867,0.15739291906356812,1.0,0.5429887175559998,2.189835545244606,0.6202941536903381,0.6202941536903381,0.17516516149044037,0.0,0.25,0.17516516149044037,0.05,9.19579470064491e-05,2.0,0.0,0.05,2.0,0.0,0.03447611257433891,1.0,0.9920580983161926,0.0,5.0,9.19579470064491e-05,0.0013405631761997938,0.125,0.982164740562439,1.0685069561004639,0.006989736109972,0.001900412142276764,0.29785609245300293,0.17238056659698486,0.42206093668937683,region,1.0,0.75,0.05,0.22962963581085205,0.06296296417713165,0.7074074149131775,505.8000183105469,outer,1.0,0.75,0.05,0.21890385448932648,0.08730987459421158,0.008501149713993073,0.17516516149044037,0.16817542910575867,0.17834600806236267,0.15739291906356812
