step,variant_name,total_loss,dpo_loss,warp_loss,m_w,m_l,m_w_ref,m_l_ref,raw_win_gap,raw_lose_gap,norm_win_gap,norm_lose_gap,norm_lose_gap_clipped,winner_abs_reg,winner_gap_reg,loser_dominant_ratio,grad_norm,adapter_grad_norm,base_grad_norm,flow_feat_norm,adapter_residual_norm,adapter_to_base_ratio,alpha_scale_1,alpha_scale_2,alpha_scale_3,gate_mean,gate_p10,gate_p50,gate_p90,nonzero_gate_ratio,flow_conf_mean,valid_flow_ratio,mean_flow_magnitude,forward_backward_error,lr
1,exp19b_boundary_gated_flow_adapter,0.693655252456665,0.6931471824645996,,0.010161993093788624,0.008069738745689392,0.010161993093788624,0.008069738745689392,0.0,0.0,0.0,0.0,0.0,0.010161993093788624,0.0,0.0,0.0011092631149312655,0.0011092631149312655,0.0,1123.555908203125,0.0,,1.0,1.0,1.0,0.015330110676586628,0.0,0.0,0.0,0.0329241082072258,0.5340576171875,0.6262918710708618,3.3153443336486816,,1e-05
10,exp19b_boundary_gated_flow_adapter,0.6954429745674133,0.6937775611877441,,0.024110544472932816,0.026706427335739136,0.024104297161102295,0.026706557720899582,6.2487670220434666e-06,-1.3026874512434006e-07,0.00023003840760793537,-8.419674122706056e-05,-8.419674122706056e-05,0.024110544472932816,0.0004598840605467558,0.0,0.000529684658507584,0.000529684658507584,0.0,969.9522705078125,0.011677903239615262,,1.0,1.0,1.0,0.010572221130132675,0.0,0.0,0.0,0.0474330373108387,0.3526648283004761,0.5411253571510315,21.356922149658203,,1e-05
20,exp19b_boundary_gated_flow_adapter,0.6968096494674683,0.6931707859039307,,0.06605318188667297,0.0526578426361084,0.06605630367994308,0.052671462297439575,-3.1259842216968536e-06,-1.362222246825695e-05,-6.430099892895669e-05,-0.0002909781760536134,-0.0002909781760536134,0.06605318188667297,0.00033621786860749125,0.0,0.0004941786746153004,0.0004941786746153004,0.0,1146.6654052734375,0.02641916833817959,,1.0,1.0,1.0,0.006016669329255819,0.0,0.0,0.0,0.0212053582072258,0.5954691171646118,0.678535521030426,3.570413112640381,,1e-05
30,exp19b_boundary_gated_flow_adapter,0.6958085894584656,0.692501425743103,,0.06267336010932922,0.12227913737297058,0.06269213557243347,0.12231400609016418,-1.8775928765535355e-05,-3.4871045500040054e-05,-0.0002733196597546339,-5.716973100788891e-05,-5.716973100788891e-05,0.06267336010932922,0.0001735281985020265,0.0,0.0003877889506911654,0.0003877889506911654,0.0,1164.033935546875,0.03502541407942772,,1.0,1.0,1.0,0.008309125900268555,0.0,0.0,0.0,0.0239955373108387,0.6393497586250305,0.7056767344474792,5.225071430206299,,1e-05
40,exp19b_boundary_gated_flow_adapter,0.7092533111572266,0.6931799650192261,,0.3174506425857544,0.2959288954734802,0.3174465298652649,0.29591691493988037,4.084780812263489e-06,1.1995434761047363e-05,2.156712071155198e-05,3.488398215267807e-05,3.488398215267807e-05,0.3174506425857544,0.00020083248091395944,0.0,0.00010939192558459067,0.00010939192558459067,0.0,744.7467651367188,0.014978677267208695,,1.0,1.0,1.0,0.005544948857277632,0.0,0.0,0.0,0.0262276791036129,0.18147674202919006,0.4803530275821686,12.452057838439941,,1e-05
50,exp19b_boundary_gated_flow_adapter,0.7116883993148804,0.6939030289649963,,0.3497430682182312,0.3738529086112976,0.34966129064559937,0.37398451566696167,8.180923759937286e-05,-0.00013162102550268173,0.0002384931140113622,-0.00025439815362915397,-0.00025439815362915397,0.3497430682182312,0.0002981811994686723,0.0,0.000158324375136387,0.000158324375136387,0.0,836.9191284179688,0.03432275541126728,,1.0,1.0,1.0,0.006970386952161789,0.0,0.0,0.0,0.0390625,0.20663614571094513,0.3550136387348175,10.299698829650879,,1e-05
60,exp19b_boundary_gated_flow_adapter,0.6959666013717651,0.6917912364006042,,0.08038771897554398,0.07876472175121307,0.08042075484991074,0.0787244439125061,-3.30447219312191e-05,4.027644172310829e-05,-0.00042359897634014487,0.0004798457375727594,0.0004798457375727594,0.08038771897554398,0.00015596489538438618,1.0,0.0005032186914674815,0.0005032186914674815,0.0,1181.3892822265625,0.05303097888827324,,1.0,1.0,1.0,0.004579816944897175,0.0,0.0,0.0,0.008370536379516125,0.6403726935386658,0.6970998644828796,2.259782552719116,,1e-05
70,exp19b_boundary_gated_flow_adapter,0.6971455812454224,0.6922159790992737,,0.09470178931951523,0.08379703015089035,0.09473277628421783,0.08377978205680847,-3.098882734775543e-05,1.7237383872270584e-05,-0.0003130689437966794,0.00024109041260089725,0.00024109041260089725,0.09470178931951523,0.0001944718969753012,0.0,0.0002895140404044313,0.0002895140404044313,0.0,1022.9015502929688,0.04944038949906826,,1.0,1.0,1.0,0.0043160575442016125,0.0,0.0,0.0,0.008370536379516125,0.4913823902606964,0.6925160884857178,2.153773069381714,,1e-05
80,exp19b_boundary_gated_flow_adapter,0.6964640021324158,0.6932626366615295,,0.05785662308335304,0.0456853061914444,0.057855553925037384,0.045688778162002563,1.0731164366006851e-06,-3.473600372672081e-06,2.802513336064294e-05,-6.958353333175182e-05,-6.958353333175182e-05,0.05785662308335304,0.00030854225042276084,0.0,0.000436554793552152,0.000436554793552152,0.0,1070.0343017578125,0.022468801587820053,,1.0,1.0,1.0,0.0093912398442626,0.0,0.0,0.0,0.0251116082072258,0.5482755899429321,0.7086522579193115,1.2500369548797607,,1e-05
90,exp19b_boundary_gated_flow_adapter,0.6954708695411682,0.69418865442276,,0.0034850439988076687,0.0032186233438551426,0.0034830993972718716,0.003217490389943123,1.9445433281362057e-06,1.1327065294608474e-06,0.0005226013017818332,0.000448662496637553,0.000448662496637553,0.0034850439988076687,0.0011079834075644612,0.0,0.0005575323377594788,0.0005575323377594788,0.0,953.9777221679688,0.029306898824870586,,1.0,1.0,1.0,0.002818865468725562,0.0,0.0,0.0,0.0161830373108387,0.4380407929420471,0.6507396697998047,3.757115125656128,,1e-05
