step,variant_name,total_loss,dpo_loss,warp_loss,warp_loss_forward,warp_loss_backward,lambda_warp,m_w,m_l,m_w_ref,m_l_ref,norm_win_gap,norm_lose_gap,norm_lose_gap_clipped,winner_abs_reg,winner_gap_reg,loser_dominant_ratio,grad_norm,adapter_grad_norm,base_grad_norm,adapter_residual_norm,adapter_to_base_ratio,residual_scale,confidence_exponent,gate_mean,flow_conf_mean,valid_flow_ratio,warp_valid_ratio,mean_flow_magnitude,motion_score,motion_bin,lr
1,exp19c_lambda010,0.702388346195221,0.6934249997138977,0.3046875,0.302734375,0.3046875,0.01,0.1097889170050621,0.10687407851219177,0.10977528989315033,0.10683345794677734,0.00020261856843717396,0.00036877632373943925,0.00036877632373943925,0.1097889170050621,0.00042212955304421484,0.0,0.00012560937419633459,0.00012560937419633459,0.0,0.10116134397685528,,0.5,2.0,0.010570315644145012,0.5340576171875,0.6262918710708618,0.031378600746393204,3.3153443336486816,0.04231526693889626,low,1e-05
10,exp19c_lambda010,0.7005907297134399,0.6927989721298218,0.251953125,0.2451171875,0.259765625,0.01,0.10151099413633347,0.1296822726726532,0.10152656584978104,0.129703089594841,-0.00019020108447875828,-0.00020079589739907533,-0.00020079589739907533,0.10151099413633347,0.00019849033560603857,0.0,9.522493567072738e-05,9.522493567072738e-05,0.0,0.030884839477948844,,0.5,2.0,0.004617577418684959,0.3526648283004761,0.5411253571510315,0.052345678210258484,21.356922149658203,0.4646033208436971,high,1e-05
20,exp19c_lambda010,0.706158459186554,0.6940381526947021,0.3359375,0.333984375,0.337890625,0.01,0.1667453646659851,0.1341976523399353,0.1666976809501648,0.1342209130525589,0.0003069839149247855,-0.00019509068806655705,-0.00019509068806655705,0.1667453646659851,0.0004261352587491274,0.0,9.107979863221394e-05,9.107979863221394e-05,0.0,0.057769302278757095,,0.5,2.0,0.004822365939617157,0.5954691171646118,0.678535521030426,0.021646090783178806,3.570413112640381,0.0272805408867067,low,1e-05
30,exp19c_lambda010,0.6971883773803711,0.6925991773605347,0.3125,0.32421875,0.302734375,0.01,0.02331653982400894,0.021857837215065956,0.0233220923691988,0.02185564488172531,-0.00019234427600167692,0.00011190526856807992,0.00011190526856807992,0.02331653982400894,0.00029536933288909495,0.0,0.0002513717297691361,0.0002513717297691361,0.0,0.06558483839035034,,0.5,2.0,0.005510781425982714,0.6393497586250305,0.7056767344474792,0.02026748936623335,5.225071430206299,0.04330730777939738,low,1e-05
40,exp19c_lambda010,0.69620680809021,0.6934643983840942,0.1435546875,0.1328125,0.154296875,0.01,0.02242385409772396,0.019057922065258026,0.022424623370170593,0.01906653493642807,1.6433128621429205e-05,-0.00044073181925341487,-0.00044073181925341487,0.02242385409772396,0.0001869398111011833,0.0,0.00011385104079369427,0.00011385104079369427,0.0,0.018302647105883807,,0.5,2.0,0.00216442858800292,0.18147674202919006,0.4803530275821686,0.02724279835820198,12.452057838439941,0.13093651898103706,medium,1e-05
50,exp19c_lambda010,0.6964802742004395,0.6930102705955505,0.30859375,0.30078125,0.314453125,0.01,0.0028873004484921694,0.0018193402793258429,0.0028899319004267454,0.001825261628255248,-0.000855259015224874,-0.003190215677022934,-0.003190215677022934,0.0028873004484921694,0.0002433797635603696,0.0,0.00014024456212572057,0.00014024456212572057,0.0,0.04613766446709633,,0.5,2.0,0.0036674237344413996,0.20663614571094513,0.3550136387348175,0.027654320001602173,10.299698829650879,0.09282183928537667,medium,1e-05
60,exp19c_lambda010,0.7019956111907959,0.6935162544250488,0.36328125,0.36328125,0.361328125,0.01,0.08841411024332047,0.0935896784067154,0.08840493857860565,0.09359367191791534,0.00013459801266435534,-4.800102033186704e-05,-4.800102033186704e-05,0.08841411024332047,0.00042707304237410426,0.0,0.00013025362689999891,0.00013025362689999891,0.0,0.07199775986373425,,0.5,2.0,0.0031270640902221203,0.6403726935386658,0.6970998644828796,0.020082304254174232,2.259782552719116,0.014479700241926869,low,1e-05
70,exp19c_lambda010,0.6972128748893738,0.692879319190979,0.212890625,0.2099609375,0.2158203125,0.01,0.03925906866788864,0.03135908395051956,0.039264462888240814,0.03136926144361496,-0.00018790246394928545,-0.00031969850533641875,-0.00031969850533641875,0.03925906866788864,0.0002343605156056583,0.0,0.00018527947934507963,0.00018527947934507963,0.0,0.05318708438426256,,0.5,2.0,0.0027134760748595,0.4913823902606964,0.6925160884857178,0.015843620523810387,2.153773069381714,0.016260480567726554,low,1e-05
80,exp19c_lambda010,0.7010831236839294,0.6927355527877808,0.33984375,0.33984375,0.337890625,0.01,0.09368948638439178,0.07712560892105103,0.09370171278715134,0.07711174339056015,-0.0001246700994670391,0.00016294328088406473,0.00016294328088406473,0.09368948638439178,0.0002604009350761771,1.0,0.00010952253278098063,0.00010952253278098063,0.0,0.02984718047082424,,0.5,2.0,0.006394420750439167,0.5482755899429321,0.7086522579193115,0.016419753432273865,1.2500369548797607,0.007418859310402104,low,1e-05
90,exp19c_lambda010,0.6989380717277527,0.6947705745697021,0.31640625,0.31640625,0.31640625,0.01,0.0054628318175673485,0.004962155595421791,0.0054604364559054375,0.004967099986970425,0.0004013808793388307,-0.0009776505175977945,-0.0009776505175977945,0.0054628318175673485,0.0007357601425610483,0.0,0.00010039777530409713,0.00010039777530409713,0.0,0.02717926912009716,,0.5,2.0,0.001350542064756155,0.4380407929420471,0.6507396697998047,0.017530864104628563,3.757115125656128,0.028229704461835925,low,1e-05
