video_id,reason,frames,masks
003234408d,insufficient_49f,36,36
0043f083b5,insufficient_49f,20,20
0044fa5fba,insufficient_49f,18,18
005a527edd,insufficient_49f,29,29
0065b171f9,insufficient_49f,36,36
00917dcfc4,insufficient_49f,20,20
00a23ccf53,insufficient_49f,36,36
00ad5016a4,insufficient_49f,19,19
01082ae388,insufficient_49f,30,30
011ac0a06f,insufficient_49f,36,36
013099c098,insufficient_49f,19,19
0155498c85,insufficient_49f,36,36
01694ad9c8,insufficient_49f,19,19
017ac35701,insufficient_49f,36,36
01b80e8e1a,insufficient_49f,13,13
01baa5a4e1,insufficient_49f,30,30
01c3111683,insufficient_49f,36,36
01c4cb5ffe,insufficient_49f,36,36
01c76f0a82,insufficient_49f,20,20
01c783268c,insufficient_49f,36,36
01e64dd36a,insufficient_49f,19,19
01ed275c6e,insufficient_49f,20,20
01ff60d1fa,insufficient_49f,36,36
020cd28cd2,insufficient_49f,28,28
02264db755,insufficient_49f,36,36
0248626d9a,insufficient_49f,19,19
02668dbffa,insufficient_49f,30,30
0274193026,insufficient_49f,29,29
02d28375aa,insufficient_49f,36,36
02f3a5c4df,insufficient_49f,10,10
031ccc99b1,insufficient_49f,19,19
0321b18c10,insufficient_49f,19,19
0348a45bca,insufficient_49f,36,36
0355e92655,insufficient_49f,19,19
0358b938c1,insufficient_49f,19,19
0368107cf1,insufficient_49f,20,20
0379ddf557,insufficient_49f,36,36
038b2cc71d,insufficient_49f,19,19
038c15a5dd,insufficient_49f,36,36
03a06cc98a,insufficient_49f,20,20
03a63e187f,insufficient_49f,36,36
03c95b4dae,insufficient_49f,19,19
03e2b57b0e,insufficient_49f,30,30
04194e1248,insufficient_49f,36,36
04259896e2,insufficient_49f,36,36
0444918a5f,insufficient_49f,20,20
04460a7a52,insufficient_49f,36,36
04474174a4,insufficient_49f,36,36
0450095513,insufficient_49f,29,29
045f00aed2,insufficient_49f,36,36
04667fabaa,insufficient_49f,36,36
04735c5030,insufficient_49f,19,19
04990d1915,insufficient_49f,19,19
04d62d9d98,insufficient_49f,20,20
04f21da964,insufficient_49f,36,36
04fbad476e,insufficient_49f,36,36
04fe256562,insufficient_49f,20,20
0503bf89c9,insufficient_49f,30,30
0536c9eed0,insufficient_49f,19,19
054acb238f,insufficient_49f,36,36
05579ca250,insufficient_49f,30,30
056c200404,insufficient_49f,20,20
05774f3a2c,insufficient_49f,36,36
058a7592c8,insufficient_49f,20,20
05a0a513df,insufficient_49f,20,20
05a569d8aa,insufficient_49f,19,19
05aa652648,insufficient_49f,30,30
05d7715782,insufficient_49f,20,20
05e0b0f28f,insufficient_49f,30,30
05fdbbdd7a,insufficient_49f,14,14
05ffcfed85,insufficient_49f,36,36
0630391881,insufficient_49f,30,30
06840b2bbe,insufficient_49f,19,19
068f7dce6f,insufficient_49f,36,36
0693719753,insufficient_49f,30,30
06ce2b51fb,insufficient_49f,19,19
06e224798e,insufficient_49f,36,36
06ee361788,insufficient_49f,19,19
06fbb3fa2c,insufficient_49f,18,18
0700264286,insufficient_49f,19,19
070c918ca7,insufficient_49f,36,36
07129e14a4,insufficient_49f,36,36
07177017e9,insufficient_49f,18,18
07238ffc58,insufficient_49f,36,36
07353b2a89,insufficient_49f,30,30
0738493cbf,insufficient_49f,18,18
075926c651,insufficient_49f,18,18
075c701292,insufficient_49f,36,36
0762ea9a30,insufficient_49f,20,20
07652ee4af,insufficient_49f,30,30
076f206928,insufficient_49f,20,20
077d32af19,insufficient_49f,20,20
079049275c,insufficient_49f,29,29
07913cdda7,insufficient_49f,19,19
07a11a35e8,insufficient_49f,36,36
07ac33b6df,insufficient_49f,30,30
07b6e8fda8,insufficient_49f,10,10
07c62c3d11,insufficient_49f,36,36
07cc1c7d74,insufficient_49f,36,36
080196ef01,insufficient_49f,36,36
081207976e,insufficient_49f,20,20
081ae4fa44,insufficient_49f,30,30
081d8250cb,insufficient_49f,20,20
082900c5d4,insufficient_49f,20,20
0860df21e2,insufficient_49f,36,36
0866d4c5e3,insufficient_49f,19,19
0891ac2eb6,insufficient_49f,17,17
08931bc458,insufficient_49f,36,36
08aa2705d5,insufficient_49f,36,36
08c8450db7,insufficient_49f,20,20
08d50b926c,insufficient_49f,36,36
08e1e4de15,insufficient_49f,36,36
08e48c1a48,insufficient_49f,19,19
08f561c65e,insufficient_49f,36,36
08feb87790,insufficient_49f,20,20
09049f6fe3,insufficient_49f,30,30
092e4ff450,insufficient_49f,36,36
09338adea8,insufficient_49f,36,36
093c335ccc,insufficient_49f,29,29
0970d28339,insufficient_49f,36,36
0974a213dc,insufficient_49f,20,20
097b471ed8,insufficient_49f,20,20
0990941758,insufficient_49f,36,36
09a348f4fa,insufficient_49f,30,30
09a6841288,insufficient_49f,20,20
09c5bad17b,insufficient_49f,20,20
09c9ce80c7,insufficient_49f,36,36
09ff54fef4,insufficient_49f,30,30
0a23765d15,insufficient_49f,19,19
0a275e7f12,insufficient_49f,20,20
0a2f2bd294,insufficient_49f,20,20
0a7a2514aa,insufficient_49f,20,20
0a7b27fde9,insufficient_49f,35,35
0a8c467cc3,insufficient_49f,36,36
0ac8c560ae,insufficient_49f,20,20
0b1627e896,insufficient_49f,20,20
0b285c47f6,insufficient_49f,29,29
0b34ec1d55,insufficient_49f,36,36
0b5b5e8e5a,insufficient_49f,20,20
0b68535614,insufficient_49f,36,36
0b6f9105fc,insufficient_49f,36,36
0b7dbfa3cb,insufficient_49f,19,19
0b9cea51ca,insufficient_49f,36,36
0b9d012be8,insufficient_49f,36,36
0bcfc4177d,insufficient_49f,20,20
0bd37b23c1,insufficient_49f,20,20
0bd864064c,insufficient_49f,32,32
0c11c6bf7b,insufficient_49f,36,36
0c26bc77ac,insufficient_49f,36,36
0c3a04798c,insufficient_49f,20,20
0c44a9d545,insufficient_49f,36,36
0c817cc390,insufficient_49f,36,36
0ca839ee9a,insufficient_49f,36,36
0cd7ac0ac0,insufficient_49f,30,30
0ce06e0121,insufficient_49f,36,36
0cfe974a89,insufficient_49f,36,36
0d2fcc0dcd,insufficient_49f,20,20
0d3aad05d2,insufficient_49f,29,29
0d40b015f4,insufficient_49f,36,36
0d97fba242,insufficient_49f,19,19
0d9cc80d7e,insufficient_49f,11,11
0dab85b6d3,insufficient_49f,29,29
0db5c427a5,insufficient_49f,20,20
0dbaf284f1,insufficient_49f,20,20
0de4923598,insufficient_49f,20,20
0df28a9101,insufficient_49f,30,30
0e04f636c4,insufficient_49f,30,30
0e05f0e232,insufficient_49f,36,36
0e0930474b,insufficient_49f,19,19
0e27472bea,insufficient_49f,36,36
0e30020549,insufficient_49f,29,29
0e621feb6c,insufficient_49f,36,36
0e803c7d73,insufficient_49f,19,19
0e9ebe4e3c,insufficient_49f,19,19
0e9f2785ec,insufficient_49f,20,20
0ea68d418b,insufficient_49f,20,20
0eb403a222,insufficient_49f,20,20
0ee92053d6,insufficient_49f,20,20
0eefca067f,insufficient_49f,30,30
0f17fa6fcb,insufficient_49f,36,36
0f1ac8e9a3,insufficient_49f,36,36
0f202e9852,insufficient_49f,19,19
0f2ab8b1ff,insufficient_49f,36,36
0f51a78756,insufficient_49f,30,30
0f5fbe16b0,insufficient_49f,36,36
0f6072077b,insufficient_49f,19,19
0f6b69b2f4,insufficient_49f,36,36
0f6c2163de,insufficient_49f,29,29
0f74ec5599,insufficient_49f,36,36
0f9683715b,insufficient_49f,20,20
0fa7b59356,insufficient_49f,36,36
0fb173695b,insufficient_49f,20,20
0fc958cde2,insufficient_49f,30,30
0fe7b1a621,insufficient_49f,36,36
0ffcdb491c,insufficient_49f,20,20
101caff7d4,insufficient_49f,20,20
1022fe8417,insufficient_49f,20,20
1032e80b37,insufficient_49f,20,20
103f501680,insufficient_49f,36,36
104e64565f,insufficient_49f,20,20
104f1ab997,insufficient_49f,19,19
106242403f,insufficient_49f,20,20
10b31f5431,insufficient_49f,36,36
10eced835e,insufficient_49f,19,19
110d26fa3a,insufficient_49f,30,30
1122c1d16a,insufficient_49f,36,36
1145b49a5f,insufficient_49f,36,36
11485838c2,insufficient_49f,20,20
114e7676ec,insufficient_49f,36,36
1157472b95,insufficient_49f,36,36
115ee1072c,insufficient_49f,19,19
1171141012,insufficient_49f,30,30
117757b4b8,insufficient_49f,36,36
1178932d2f,insufficient_49f,36,36
117cc76bda,insufficient_49f,36,36
1180cbf814,insufficient_49f,36,36
1187bbd0e3,insufficient_49f,20,20
1197e44b26,insufficient_49f,36,36
119cf20728,insufficient_49f,36,36
119dd54871,insufficient_49f,32,32
11a0c3b724,insufficient_49f,19,19
11a6ba8c94,insufficient_49f,36,36
11c722a456,insufficient_49f,36,36
11cbcb0b4d,insufficient_49f,20,20
11ccf5e99d,insufficient_49f,20,20
11ce6f452e,insufficient_49f,19,19
11e53de6f2,insufficient_49f,10,10
11feabe596,insufficient_49f,30,30
120cb9514d,insufficient_49f,36,36
12156b25b3,insufficient_49f,36,36
122896672d,insufficient_49f,36,36
1232b2f1d4,insufficient_49f,8,8
1233ac8596,insufficient_49f,20,20
1239c87234,insufficient_49f,36,36
1250423f7c,insufficient_49f,20,20
1257a1bc67,insufficient_49f,35,35
125d1b19dd,insufficient_49f,36,36
126d203967,insufficient_49f,36,36
1295e19071,insufficient_49f,20,20
