model,inference_status,dpo_smoke_status,blocker
DiffuEraser,EXISTING_PROJECT_BACKBONE_PENDING_EXP24_REVALIDATION,PENDING_EXP24_NATIVE_SMOKE,
VideoPainter,PENDING_ASSET_DEPLOY,PENDING_BACKEND,
CoCoCo,PENDING_ASSET_DEPLOY,PENDING_BACKEND,
VideoComposer,PENDING_PROJECT_DISAMBIGUATION,PENDING_BACKEND,official project ambiguity
VACE,PENDING_ASSET_DEPLOY,PENDING_WAN_FLOW_MATCHING_BACKEND,
MiniMax-Remover,PENDING_ASSET_DEPLOY,PENDING_NATIVE_TRAIN_FORWARD_AUDIT,
FloED,PENDING_OFFICIAL_RELEASE_AUDIT,BLOCKED_UNTIL_REAL_CODE_WEIGHTS_CONFIRMED,complete code/weights unconfirmed
EffectErase,PENDING_ASSET_DEPLOY,WAITING_AUTH_FOR_VOR_FORMAL_DATA,VOR data waiting auth
ProPainter,PENDING_BASELINE_SMOKE,NOT_APPLICABLE_NON_DIFFUSION_DPO,non-diffusion

