filename,group,size
README.md,README,2769
VOR-Eval.tar.gz.part_000,VOR-Eval,237430605
VOR-Train-MASK.tar.gz.part_000,VOR-Train-MASK,10737418240
VOR-Train-MASK.tar.gz.part_001,VOR-Train-MASK,10737418240
VOR-Train-MASK.tar.gz.part_002,VOR-Train-MASK,5662130020
VOR-Train.tar.gz.part_000,VOR-Train,10737418240
VOR-Train.tar.gz.part_001,VOR-Train,10737418240
VOR-Train.tar.gz.part_002,VOR-Train,10737418240
VOR-Train.tar.gz.part_003,VOR-Train,10737418240
VOR-Train.tar.gz.part_004,VOR-Train,10737418240
VOR-Train.tar.gz.part_005,VOR-Train,10737418240
VOR-Train.tar.gz.part_006,VOR-Train,10737418240
VOR-Train.tar.gz.part_007,VOR-Train,10737418240
VOR-Train.tar.gz.part_008,VOR-Train,10737418240
VOR-Train.tar.gz.part_009,VOR-Train,10737418240
VOR-Train.tar.gz.part_010,VOR-Train,10737418240
VOR-Train.tar.gz.part_011,VOR-Train,10737418240
VOR-Train.tar.gz.part_012,VOR-Train,10737418240
VOR-Train.tar.gz.part_013,VOR-Train,10737418240
VOR-Train.tar.gz.part_014,VOR-Train,10737418240
VOR-Train.tar.gz.part_015,VOR-Train,10737418240
VOR-Train.tar.gz.part_016,VOR-Train,10737418240
VOR-Train.tar.gz.part_017,VOR-Train,10737418240
VOR-Train.tar.gz.part_018,VOR-Train,10737418240
VOR-Train.tar.gz.part_019,VOR-Train,10737418240
VOR-Train.tar.gz.part_020,VOR-Train,10737418240
VOR-Train.tar.gz.part_021,VOR-Train,10737418240
VOR-Train.tar.gz.part_022,VOR-Train,10737418240
VOR-Train.tar.gz.part_023,VOR-Train,10737418240
VOR-Train.tar.gz.part_024,VOR-Train,10737418240
VOR-Train.tar.gz.part_025,VOR-Train,10737418240
VOR-Train.tar.gz.part_026,VOR-Train,10737418240
VOR-Train.tar.gz.part_027,VOR-Train,10737418240
VOR-Train.tar.gz.part_028,VOR-Train,10737418240
VOR-Train.tar.gz.part_029,VOR-Train,10737418240
VOR-Train.tar.gz.part_030,VOR-Train,10737418240
VOR-Train.tar.gz.part_031,VOR-Train,3496579072
