experiment_id,short_name,registry_status,dpo_diag_csv,diag_file_status,row_count,first_step,last_step,dpo_loss_first,dpo_loss_last,dpo_loss_mean,dpo_loss_median,dpo_loss_p90,dpo_loss_min,dpo_loss_frac_lt_1e_3,implicit_acc_mean,implicit_acc_frac_gt_0_99,mse_w_first,mse_w_last,mse_w_mean,mse_w_median,mse_w_p90,mse_w_max,ref_mse_w_first,ref_mse_w_last,ref_mse_w_mean,ref_mse_w_median,mse_l_first,mse_l_last,mse_l_mean,mse_l_median,mse_l_p90,mse_l_max,ref_mse_l_first,ref_mse_l_last,ref_mse_l_mean,ref_mse_l_median,win_gap_first,win_gap_last,win_gap_mean,win_gap_median,win_gap_p90,win_gap_max,win_gap_frac_gt_0_5,lose_gap_first,lose_gap_last,lose_gap_mean,lose_gap_median,lose_gap_p90,lose_gap_max,winner_abs_reg_first,winner_abs_reg_last,winner_abs_reg_mean,winner_abs_reg_median,winner_abs_reg_p90,winner_abs_reg_max,winner_gap_reg_first,winner_gap_reg_last,winner_gap_reg_mean,winner_gap_reg_median,winner_gap_reg_p90,winner_gap_reg_max,mse_w_over_ref_mse_w_mean,mse_w_over_ref_mse_w_median,mse_w_over_ref_mse_w_p90,mse_w_over_ref_mse_w_max,mse_w_over_ref_mse_w_frac_gt_5,mse_l_over_ref_mse_l_mean,mse_l_over_ref_mse_l_median,mse_l_over_ref_mse_l_p90,mse_l_over_ref_mse_l_max,sigma_term_mean,sigma_term_frac_gt_0_99,kl_divergence_mean,kl_divergence_frac_gt_1_0,loser_dominant_ratio_mean,loser_dominant_ratio_frac_gt_0_9,grad_norm_mean,grad_norm_max,diag_status
exp01,diffueraser_reproduction_sft,historical_complete_registry_partial,not DPO,NOT_DPO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_DPO
exp02,official_videodpo_vc2,historical_complete_registry_partial_missing_diag,MISSING_DPO_DIAG,MISSING_DIAG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_DIAG
exp03,official_videodpo_diffueraser,historical_complete_registry_partial_missing_diag,MISSING_DPO_DIAG,MISSING_DIAG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_DIAG
exp04,fullmask_loser_failed_gate,failed_quality_gate_deleted_artifact,not applicable; failed before useful DPO,MISSING_DIAG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_DIAG
exp05_old,old_d2_comp_plain_failed,failed_collapse_remote_diag_found,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260526_172044_exp5_d2_comp_k4_stage1_full/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260527_181634_exp5_d2_comp_k4_stage2_full/dpo_diagnostics.csv,REMOTE_DIAG_PATH_FOUND,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INCOMPLETE
exp05_beta10,beta10_plain_failed,failed_collapse_remote_diag_found,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260530_134935_exp5_d2_comp_k4_beta10_s1s2_4000_stage1_beta10_4000/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260530_134935_exp5_d2_comp_k4_beta10_s1s2_4000_stage2_beta10_4000/dpo_diagnostics.csv,REMOTE_DIAG_PATH_FOUND,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INCOMPLETE
exp05_new,new_d2_comp_wingap_lose025,completed_improved_remote_diag_found_not_final,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260531_134817_exp5_d2_comp_k4_wingap_lose025_beta10_s1s2_4000_stage1/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260531_134817_exp5_d2_comp_k4_wingap_lose025_beta10_s1s2_4000_stage2/dpo_diagnostics.csv,REMOTE_DIAG_PATH_FOUND,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INCOMPLETE
exp06_new,new_d2_nocomp_wingap_lose025,completed_h20_diag_local,reports/dpo_diag_snapshots/exp06_new_stage1_dpo_diagnostics.csv;reports/dpo_diag_snapshots/exp06_new_stage2_dpo_diagnostics.csv,FOUND,802,1,4000,0.693148,0.157803,0.314314,0.0276825,0.690619,0.000428392,0.0723192,0.960308,0.834165,0.236177,0.612154,0.145762,0.0708879,0.308115,4.67013,0.236176,0.00382945,0.109349,0.0593569,0.243833,3.938,2.89485,3.22404,5.45673,6.31808,0.243832,0.00386675,0.114661,0.0630736,7.26432e-07,0.608324,0.0364131,-0.0006596,0.00737511,4.66029,0.0162095,1.30199e-06,3.93413,2.78019,3.12375,5.33823,6.19656,0.236177,0.612154,0.145762,0.0708879,0.308115,4.67013,1.29733e-06,0.608324,0.0379919,7.1436e-05,0.008048,4.66029,6.03493,0.988972,1.15361,1396.69,0.0311721,103.484,30.8184,274.393,1688.25,0.834513,0.410224,0.70415,0.38404,0.899917,0.795511,51.223,2291.35,DPO_SATURATED;LOSER_DOMINANT;COLLAPSE_RISK
exp07_current,partialmask_task_current_failed,failed_or_suspicious_remote_diag_found,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260601_065618_exp7_d2_comp_k4_partial_wingap_lose025_beta10_s1s2_gate1500_stage1/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260601_065618_exp7_d2_comp_k4_partial_wingap_lose025_beta10_s1s2_gate1500_stage2/dpo_diagnostics.csv,REMOTE_DIAG_PATH_FOUND,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INCOMPLETE
exp07_fix,fix_smallmask_prior,data_generation_running_h20,MISSING_DPO_DIAG,MISSING_DIAG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_DIAG
exp07_hybrid,dpoS1_sftS2_hybrid,eval_complete_negative,not training; see Exp7 diag,MISSING_DIAG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_DIAG
exp08,regionloss_diagnostic,PAI_gate_remote_diag_found_eval_pending,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260526_172044_exp8_youtubevos_d3_comp_regionloss_wingap_lose025_stage1_gate1500_stage1/dpo_diagnostics.csv,REMOTE_DIAG_PATH_FOUND,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INCOMPLETE
exp09_comp,d3_comp_target_gate,PAI_clean_gate_complete_eval_complete_remote_diag_found,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260604_020643_exp9_youtubevos_d3_partialmask_wingap_lose025_stage1_gate1500_stage1/dpo_diagnostics.csv,REMOTE_DIAG_PATH_FOUND,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INCOMPLETE
