global_step,dpo_loss,implicit_acc,win_gap,lose_gap,mse_w,ref_mse_w,mse_l,ref_mse_l,loser_dominant_ratio,sigma_term,grad_norm,total_loss,anchored_total_loss,sft_loss,sft_reg_weight,lose_gap_weight,winner_abs_reg,winner_abs_reg_weight,winner_gap_reg,winner_gap_reg_weight,winner_gap_reg_margin,relu_win_gap_mean,relu_win_gap_max,win_gap_positive_ratio,mse_w_over_ref_mse_w,mse_l_over_ref_mse_l,reward_margin,kl_divergence,inside_term_mean,inside_term_min,inside_term_max
1,0.6931481957435608,0.3333333432674408,7.264316082000732e-07,1.301988959312439e-06,0.23617713153362274,0.23617641627788544,0.2438332736492157,0.24383196234703064,1.0,0.4999995231628418,0.5033787715121998,0.7049583792686462,0.7049583792686462,0.23617713153362274,0.0,0.25,0.23617713153362274,0.05,1.2973323464393616e-06,1.0,0.0,1.2973323464393616e-06,4.51505184173584e-06,0.625,1.0000029802322388,1.0000053644180298,-0.007656131871044636,5.066394805908203e-07,-1.8807866126735462e-06,-5.722395144402981e-06,1.080334186553955e-06
10,0.6925069093704224,1.0,-0.00030995288398116827,-0.00021488085621967912,0.01837884448468685,0.01868879795074463,0.017023535445332527,0.017238415777683258,0.0,0.5003202557563782,0.10417060587221921,0.6934258341789246,0.6934258341789246,0.01837884448468685,0.0,0.25,0.01837884448468685,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9834150075912476,0.9875348210334778,0.001355308573693037,-0.00013120844960212708,0.0011454944033175707,0.0009134541032835841,0.0013545650290325284
20,0.6926191449165344,1.0,-0.00024295301409438252,-0.00012666458496823907,0.005199059844017029,0.0054420121014118195,0.005067461170256138,0.005194125697016716,0.0,0.5002641081809998,0.05587374106257553,0.6928808093070984,0.6928808093070984,0.005199059844017029,0.0,0.25,0.005199059844017029,0.05,1.7400889191776514e-06,1.0,0.0,1.7400889191776514e-06,2.7841422706842422e-05,0.0625,0.9553561806678772,0.9756138920783997,0.0001315985864493996,-9.24041960388422e-05,0.0007462466019205749,0.0005990135832689703,0.001056434353813529
30,0.6925338506698608,1.0,-0.0003206280816812068,-0.0003007331979461014,0.008056409657001495,0.008377037942409515,0.008656490594148636,0.00895722210407257,0.1666666716337204,0.5003067851066589,0.030244023107682056,0.6929478645324707,0.6929478645324707,0.008056409657001495,0.0,0.25,0.008056409657001495,0.05,1.1198746506124735e-05,1.0,0.0,1.1198746506124735e-05,0.00017917994409799576,0.0625,0.9617253541946411,0.9664258360862732,-0.0006000791909173131,-0.00015533994883298874,0.0008740322082303464,4.9640693760011345e-05,0.0015954745467752218
40,0.6906207799911499,1.0,-0.0011633695103228092,-0.0006053796969354153,0.04981457442045212,0.05097794532775879,0.04813984036445618,0.04874522238969803,0.0,0.5012650489807129,0.14596182904010163,0.6931114792823792,0.6931114792823792,0.04981457442045212,0.0,0.25,0.04981457442045212,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9771789312362671,0.9875807166099548,0.0016747345216572285,-0.00044218823313713074,0.006210844032466412,0.004207700956612825,0.010703464969992638
50,0.6919890642166138,1.0,-0.0005971983191557229,-0.0005344911478459835,0.009173592552542686,0.009770791046321392,0.009782598353922367,0.010317089036107063,0.0,0.5005794763565063,0.038315420916032884,0.6924477219581604,0.6924477219581604,0.009173592552542686,0.0,0.25,0.009173592552542686,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9388791918754578,0.9481936693191528,-0.000609005568549037,-0.00028292182832956314,0.002268062438815832,0.001718888757750392,0.0028766943141818047
60,0.6884678602218628,1.0,-0.002280496060848236,-0.0016150311566889286,0.12827841937541962,0.13055893778800964,0.12601512670516968,0.12763017416000366,0.0,0.5023459196090698,0.14938180923696642,0.694881796836853,0.694881796836853,0.12827841937541962,0.0,0.25,0.12827841937541962,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9825326800346375,0.9873458743095398,0.002263292670249939,-0.0009738877415657043,0.014341672882437706,0.009383691474795341,0.01912970095872879
70,0.6907250285148621,1.0,-0.0012551180552691221,-0.0011381066869944334,0.0638207495212555,0.06507586687803268,0.06095149368047714,0.062089599668979645,0.0,0.5012132525444031,0.14537152219464042,0.6939438581466675,0.6939438581466675,0.0638207495212555,0.0,0.25,0.0638207495212555,0.05,2.7785077691078186e-05,1.0,0.0,2.7785077691078186e-05,0.000444561243057251,0.0625,0.9807130098342896,0.9816699624061584,0.0028692539781332016,-0.0005983058363199234,0.009638214483857155,0.004852957092225552,0.015032235532999039
80,0.6906844973564148,1.0,-0.001128458185121417,-0.0005674546118825674,0.043179117143154144,0.04430757462978363,0.04346097260713577,0.044028427451848984,0.0,0.5012332201004028,0.102432591623265,0.6928434371948242,0.6928434371948242,0.043179117143154144,0.0,0.25,0.043179117143154144,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9745312929153442,0.9871116280555725,-0.0002818584907799959,-0.0004239790141582489,0.010007061064243317,0.004932972602546215,0.013803958892822266
90,0.690971851348877,1.0,-0.0012370506301522255,-0.0014619077555835247,0.07749098539352417,0.07872802764177322,0.07704219222068787,0.07850410044193268,0.0,0.5010894536972046,0.1365453494639387,0.6948463916778564,0.6948463916778564,0.07749098539352417,0.0,0.25,0.07749098539352417,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9842871427536011,0.9813779592514038,0.00044878851622343063,-0.0006747394800186157,0.009719050489366055,0.0043578683398664,0.013679923489689827
