global_step,dpo_loss,implicit_acc,win_gap,lose_gap,mse_w,ref_mse_w,mse_l,ref_mse_l,loser_dominant_ratio,sigma_term,grad_norm,total_loss,anchored_total_loss,sft_loss,sft_reg_weight,lose_gap_weight,winner_abs_reg,winner_abs_reg_weight,winner_gap_reg,winner_gap_reg_weight,winner_gap_reg_margin,relu_win_gap_mean,relu_win_gap_max,win_gap_positive_ratio,mse_w_over_ref_mse_w,mse_l_over_ref_mse_l,reward_margin,kl_divergence,inside_term_mean,inside_term_min,inside_term_max
1,0.6931474208831787,0.1666666716337204,7.753260433673859e-08,-5.313195288181305e-07,0.06273601949214935,0.06273594498634338,0.0610879547894001,0.06108848378062248,0.0,0.49999988079071045,0.21169548043427505,0.6962850093841553,0.6962850093841553,0.06273601949214935,0.0,0.0,0.06273601949214935,0.05,7.813796401023865e-07,1.0,0.0,7.813796401023865e-07,2.950429916381836e-06,0.625,1.0000011920928955,0.9999913573265076,0.001648062840104103,-1.1548399925231934e-07,-2.1614445699924545e-07,-1.0104849934577942e-06,1.3737007975578308e-06
10,0.6929678320884705,1.0,-7.174057827796787e-05,1.837615855038166e-06,0.002769970102235675,0.002841710578650236,0.0038679339922964573,0.003866096492856741,0.0,0.5000896453857422,0.024870926669768006,0.693108856678009,0.693108856678009,0.002769970102235675,0.0,0.0,0.002769970102235675,0.05,2.4982145987451077e-06,1.0,0.0,2.4982145987451077e-06,3.997143357992172e-05,0.0625,0.9747544527053833,1.000475287437439,-0.0010979636572301388,-1.7475802451372147e-05,0.0002418177609797567,0.00014594690583180636,0.0003587029059417546
20,0.6930975914001465,1.0,-1.985712515306659e-05,-2.7559381123865023e-05,0.0008680514292791486,0.0008879086235538125,0.0007725703180767596,0.0008001297246664762,0.0,0.5000248551368713,0.01547508064770336,0.693140983581543,0.693140983581543,0.0008680514292791486,0.0,0.0,0.0008680514292791486,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9776359796524048,0.9655563235282898,9.548111847834662e-05,-1.1854135664179921e-05,0.00012006174074485898,9.928562212735415e-05,0.00013978721108287573
30,0.693071722984314,1.0,-3.017098060809076e-05,-5.151691584615037e-05,0.0011533075012266636,0.001183478394523263,0.0013589758891612291,0.0014104926958680153,0.0,0.5000377297401428,0.010094714070749848,0.6931293606758118,0.6931293606758118,0.0011533075012266636,0.0,0.0,0.0011533075012266636,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9745066165924072,0.9634760022163391,-0.00020566832972690463,-2.0421925000846386e-05,0.0001499432255513966,7.564594852738082e-05,0.00020191341172903776
40,0.6925519108772278,1.0,-0.00023819308262318373,-0.0002354211756028235,0.01883988454937935,0.019078077748417854,0.011701668612658978,0.011937089264392853,0.0,0.5002977252006531,0.042671045930744674,0.6934939026832581,0.6934939026832581,0.01883988454937935,0.0,0.0,0.01883988454937935,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9875147938728333,0.9802781939506531,0.007138216868042946,-0.00011840322986245155,0.0009389552287757397,0.0006219465285539627,0.0011909654131159186
50,0.6930667161941528,1.0,-3.219075733795762e-05,-6.676708289887756e-05,0.0021590692922472954,0.002191259991377592,0.0014182876329869032,0.001485054730437696,0.0,0.5000402331352234,0.016697732204794972,0.6931762099266052,0.6931762099266052,0.0021590692922472954,0.0,0.0,0.0021590692922472954,0.05,1.5202531358227134e-06,1.0,0.0,1.5202531358227134e-06,1.3432465493679047e-05,0.125,0.9853094816207886,0.9550406336784363,0.0007407816592603922,-2.473947824910283e-05,0.0002272326819365844,3.0716528272023425e-05,0.00046663207467645407
60,0.6920249462127686,1.0,-0.0004492681473493576,-0.0003532168921083212,0.028171056881546974,0.028620325028896332,0.024275783449411392,0.024629000574350357,0.0,0.5005615949630737,0.06373059285710665,0.693437933921814,0.693437933921814,0.028171056881546974,0.0,0.0,0.028171056881546974,0.05,4.402711056172848e-06,1.0,0.0,4.402711056172848e-06,7.044337689876556e-05,0.0625,0.9843024611473083,0.9856584668159485,0.003895274130627513,-0.0002006208524107933,0.002134176669642329,0.0008732004789635539,0.002920063678175211
70,0.692556619644165,1.0,-0.00023638736456632614,-0.0002863846020773053,0.02695152536034584,0.02718791365623474,0.024798277765512466,0.025084663182497025,0.0,0.5002954602241516,0.05616364756045984,0.6939241290092468,0.6939241290092468,0.02695152536034584,0.0,0.0,0.02695152536034584,0.05,1.991773024201393e-05,1.0,0.0,1.991773024201393e-05,0.0001468304544687271,0.25,0.991305410861969,0.9885832667350769,0.0021532487589865923,-0.00013069342821836472,0.0022074482403695583,0.001159588573500514,0.003660133108496666
80,0.6926804780960083,1.0,-0.00018671911675482988,-0.00021349149756133556,0.02018662542104721,0.02037334442138672,0.013742133975028992,0.013955624774098396,0.0,0.5002334117889404,0.028714398987402374,0.6936898231506348,0.6936898231506348,0.02018662542104721,0.0,0.0,0.02018662542104721,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9908351302146912,0.9847021698951721,0.006444490980356932,-0.00010005198419094086,0.0012885022442787886,0.0009335955837741494,0.001815914292819798
90,0.6923178434371948,1.0,-0.0003319330280646682,-0.0001433615107089281,0.021379858255386353,0.021711790934205055,0.016100771725177765,0.016244133934378624,0.0,0.5004149079322815,0.04249893901402929,0.6933868527412415,0.6933868527412415,0.021379858255386353,0.0,0.0,0.021379858255386353,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9847118854522705,0.9911745190620422,0.0052790860645473,-0.00011882372200489044,0.0015645583625882864,0.0012026794720441103,0.002305834088474512
