global_step,dpo_loss,implicit_acc,win_gap,lose_gap,mse_w,ref_mse_w,mse_l,ref_mse_l,loser_dominant_ratio,sigma_term,grad_norm,total_loss,anchored_total_loss,sft_loss,sft_reg_weight,lose_gap_weight,winner_abs_reg,winner_abs_reg_weight,winner_gap_reg,winner_gap_reg_weight,winner_gap_reg_margin,relu_win_gap_mean,relu_win_gap_max,win_gap_positive_ratio,mse_w_over_ref_mse_w,mse_l_over_ref_mse_l,reward_margin,kl_divergence,inside_term_mean,inside_term_min,inside_term_max
1,0.6931471824645996,0.5,7.753260433673859e-08,3.557652235031128e-07,0.06273601949214935,0.06273594498634338,0.17491692304611206,0.1749165803194046,1.0,0.5,0.2828929834071403,0.6962847709655762,0.6962847709655762,0.06273601949214935,0.0,0.25,0.06273601949214935,0.05,7.813796401023865e-07,1.0,0.0,7.813796401023865e-07,2.950429916381836e-06,0.625,1.0000011920928955,1.0000019073486328,-0.1121809184551239,1.043081283569336e-07,9.041590232072849e-08,-1.437729224562645e-06,2.190936356782913e-06
10,0.692946195602417,1.0,-3.961326729040593e-05,0.00016313893138431013,0.0028020974714308977,0.002841710578650236,0.00644517969340086,0.006282040849328041,1.0,0.5001004934310913,0.03443857379650085,0.693088710308075,0.693088710308075,0.0028020974714308977,0.0,0.25,0.0028020974714308977,0.05,2.4074834072962403e-06,1.0,0.0,2.4074834072962403e-06,3.8519734516739845e-05,0.0625,0.9860601425170898,1.0259690284729004,-0.003643082221969962,3.0881259590387344e-05,0.00027141033206135035,0.00015766157594043761,0.0004019899934064597
20,0.6931101083755493,1.0,-5.608198989648372e-07,5.708324897568673e-05,0.0008873477345332503,0.0008879086235538125,0.0013029302936047316,0.0012458472047001123,1.0,0.5000185370445251,0.03075768450370527,0.6931567192077637,0.6931567192077637,0.0008873477345332503,0.0,0.25,0.0008873477345332503,0.05,2.292115823365748e-06,1.0,0.0,2.292115823365748e-06,9.481620509177446e-06,0.4375,0.9993683099746704,1.0458186864852905,-0.00041558261727914214,1.4130491763353348e-05,9.370492625748739e-05,5.180438165552914e-05,0.00014519439719151706
30,0.6930350065231323,1.0,-7.510381692554802e-06,0.00014943092537578195,0.001175968092866242,0.001183478394523263,0.0025181928649544716,0.002368762157857418,1.0,0.5000560879707336,0.024651556311280128,0.6930945515632629,0.6930945515632629,0.001175968092866242,0.0,0.25,0.001175968092866242,0.05,7.487251423299313e-07,1.0,0.0,7.487251423299313e-07,9.243492968380451e-06,0.25,0.9936540722846985,1.0630838871002197,-0.0013422247720882297,3.5480072256177664e-05,0.0001712249795673415,0.00010843577911145985,0.00022434056154452264
40,0.6925859451293945,1.0,-9.802635759115219e-06,0.0008590876823291183,0.019068274646997452,0.019078077748417854,0.018502922728657722,0.01764383539557457,1.0,0.5002807378768921,0.07052210942025808,0.6935657262802124,0.6935657262802124,0.019068274646997452,0.0,0.25,0.019068274646997452,0.05,2.635351847857237e-05,1.0,0.0,2.635351847857237e-05,0.00016671046614646912,0.4375,0.9994861483573914,1.0486905574798584,0.0005653528496623039,0.00021232105791568756,0.0019786865450441837,0.0011228728108108044,0.0027803145349025726
50,0.693085789680481,1.0,6.678761565126479e-06,0.00012483715545386076,0.002197938971221447,0.002191259991377592,0.002244515810161829,0.00211967877112329,1.0,0.5000306963920593,0.02983518132426112,0.6932113170623779,0.6932113170623779,0.002197938971221447,0.0,0.25,0.002197938971221447,0.05,1.563392288517207e-05,1.0,0.0,1.563392288517207e-05,5.55508304387331e-05,0.5625,1.003048062324524,1.0588942766189575,-4.6577049943152815e-05,3.287906292825937e-05,0.00027052636141888797,2.296521415701136e-05,0.0005301228957250714
60,0.6897826194763184,1.0,-0.0002936694072559476,0.004218519665300846,0.02832665666937828,0.028620325028896332,0.0595974400639534,0.05537892132997513,1.0,0.501685380935669,0.11340679768771207,0.6912288665771484,0.6912288665771484,0.02832665666937828,0.0,0.25,0.02832665666937828,0.05,2.99293315038085e-05,1.0,0.0,2.99293315038085e-05,0.000478869304060936,0.0625,0.989739179611206,1.076175570487976,-0.03127078711986542,0.0009812116622924805,0.007354188710451126,0.006215738132596016,0.00994790531694889
70,0.6916134357452393,1.0,6.331154145300388e-05,0.0027098506689071655,0.0272512249648571,0.02718791365623474,0.04201905429363251,0.03930920362472534,1.0,0.500767707824707,0.07690161196475093,0.6931666135787964,0.6931666135787964,0.0272512249648571,0.0,0.25,0.0272512249648571,0.05,0.00019059458281844854,1.0,0.0,0.00019059458281844854,0.000521000474691391,0.5625,1.002328634262085,1.068936824798584,-0.014767829328775406,0.0006932914257049561,0.00498596066609025,0.0029492382891476154,0.007450011558830738
80,0.6920172572135925,1.0,3.561482299119234e-05,0.001951480400748551,0.020408958196640015,0.02037334442138672,0.02539133094251156,0.02343985065817833,1.0,0.5005653500556946,0.05940518880197726,0.6931089758872986,0.6931089758872986,0.020408958196640015,0.0,0.25,0.020408958196640015,0.05,7.1296701207757e-05,1.0,0.0,7.1296701207757e-05,0.0001985933631658554,0.625,1.0017480850219727,1.0832548141479492,-0.004982372280210257,0.0004967739805579185,0.002473016967996955,0.0011017598444595933,0.003382714930921793
90,0.6915901899337769,1.0,3.832858055830002e-06,0.0025087541434913874,0.021715624257922173,0.021711790934205055,0.03092903643846512,0.028420284390449524,1.0,0.5007791519165039,0.06340665592655194,0.6927772760391235,0.6927772760391235,0.021715624257922173,0.0,0.25,0.021715624257922173,0.05,0.00010133488103747368,1.0,0.0,0.00010133488103747368,0.00040930695831775665,0.5,1.0001765489578247,1.088273286819458,-0.009213414043188095,0.0006281472742557526,0.003585380967706442,0.0020785608794540167,0.004705354105681181
