filename,size,required_group,lfs_sha256,blob_id
.gitattributes,2504,,,bed0738c7eeb449bca98b5d2f33c89a1ee56349a
README.md,2769,README,,11a924b7957625755fa9f1a63dfed71231027365
VOR-Eval.tar.gz.part_000,237430605,VOR-Eval,fca348aba1e082ca336117e766f23c43063637b59806a5c0d4ca538a14fc5614,1e8cd3dee8e3418eaf015425a35e7be98e72ae76
VOR-Train-MASK.tar.gz.part_000,10737418240,VOR-Train-MASK,98834f76581758ef43f4e07b239d60c5a2ea4a4cc558a6d94aaf62c24b9cb5c1,7703294e15126a0c4f9deb8079d88ff672572a4e
VOR-Train-MASK.tar.gz.part_001,10737418240,VOR-Train-MASK,cdc82163875c89a247369aa6f3b71a03971175283b58473d435827d2c8f6f0fb,4b23532455f654e743d0386afd281553e09635b8
VOR-Train-MASK.tar.gz.part_002,5662130020,VOR-Train-MASK,132af81718d87d30aadb998f68f6054dddeeb24e888ac2c5fbafcd8d952f39fa,e89a040986a71fda654417e1b01460ee6d77b200
VOR-Train.tar.gz.part_000,10737418240,VOR-Train,a1800fe2f02aa66f1424cd5342a598a66ce605bf870bf3eae6a05fe7c9756837,0989aeeb1c31d1a68dae0e43a03155adebfe483a
VOR-Train.tar.gz.part_001,10737418240,VOR-Train,27d95e36699bc14215787209e0fd95948c968b8cddbdbb133aa3012e02358826,a2070a17bb0e582f3a7bf18cf654dd24d335fddd
VOR-Train.tar.gz.part_002,10737418240,VOR-Train,0b7a9db441139e811b42342d5156c86e4432406f3e0d0df88963589b1c594f38,581e8a2b675e9847530cea4af116e6f0dceac57b
VOR-Train.tar.gz.part_003,10737418240,VOR-Train,7f206d3eea0d50cca6e47f9b5e43bedf328f86821c3796ee5612063b0d468d2e,1270f7c02ba4860099833e0eb9a7588ea832de37
VOR-Train.tar.gz.part_004,10737418240,VOR-Train,9ee6a9bf00f41401cec43fb39d702babfa1753e232a7dcf2bf909673cb0c57f7,6ff6550e325ec4e9a12154a18aa8780cd278a5b9
VOR-Train.tar.gz.part_005,10737418240,VOR-Train,18ffd1dcfb912a918a33a91e7a1b12af67827a741abd6078235936cbebe13321,e6182b1136c253d97946937010bf27ba87fdf6b2
VOR-Train.tar.gz.part_006,10737418240,VOR-Train,7d45a07f98371657ebe565eef477ebf2c5657dff5e436095501e581beb257bc2,c2bf8b8dcdc8dfbf72128f0a5877635540034ed7
VOR-Train.tar.gz.part_007,10737418240,VOR-Train,2f1ba265d31c71da76ac6cc5cc2fc05dcdb2b814d6a5d776f35f136b9bb7c643,da853161ba698c93ebddceaa9e8da290ead18a5c
VOR-Train.tar.gz.part_008,10737418240,VOR-Train,049d37526af9d4b19e524db621ecb2ce255b47f08525cf074420dcc4c8b92f4f,bdd9d01adcee40bc3681e3ddd376fd885cbd3c1f
VOR-Train.tar.gz.part_009,10737418240,VOR-Train,29e565b1f3d6ecda8dde923f9e00afaa57697bef4a827ef119243d34d866f734,0015a6cfc51ab0e02c61a4ebb5e4b0251c433ba0
VOR-Train.tar.gz.part_010,10737418240,VOR-Train,e1709646d33fe53df12b648e33b35a694949361f1c8644b8e11102bbe9cd298b,bab458b1ec4d77d68640c1343ae156e71baa4aba
VOR-Train.tar.gz.part_011,10737418240,VOR-Train,10f1697fb94882c44b7aa26890b082bdf6f8e692b8a14ab86027bb0842c8446d,7fa23fa16bd6402a35fcd0c67a0fabc2c850acc0
VOR-Train.tar.gz.part_012,10737418240,VOR-Train,dd1b8355c7da732a0aefa4358a1b484e496618335ac470bdd2d387de37ed139c,80ede0e18615ec1f9d94f74bec5436dc25d77eac
VOR-Train.tar.gz.part_013,10737418240,VOR-Train,903255970373fadbdd58054eca41cc0505efb29ae742f782b2467257ddf306e5,8258fba2bee0e9ca6122a71fcf37fe14c921e1dc
VOR-Train.tar.gz.part_014,10737418240,VOR-Train,432f60f452d74675286bbd10cc1a85eec6d368664a3c15047aefa58650469f13,b3fcf0a3ffc2b3bf4ce28ef232890b37abdea94a
VOR-Train.tar.gz.part_015,10737418240,VOR-Train,3f7fbf694cddcbb58068589c8380b67221715dd3665fa451e491da01855e4545,614512ea2ab0e001da29b5439de4b688a2d9ef70
VOR-Train.tar.gz.part_016,10737418240,VOR-Train,04896b47c3e73ceba999902ac43b0787887e3a487cca8527a3bc86e45f3e5d3f,e8351ee8e2c9725d58e05fa8886b65424afa1eb7
VOR-Train.tar.gz.part_017,10737418240,VOR-Train,b5462d3ff249eaf6a555294a3719879fcc20aacb48703c79a17716ea2673cbbf,fadc23a4e471c02f38dca89975112e72397330e7
VOR-Train.tar.gz.part_018,10737418240,VOR-Train,5942e36b2bb8aac888c91d0069b3345ae33f9e20438cdc36edfa444d245a32b5,dfd255c392f0e8f6a48ee399c15acb4e7cb19e27
VOR-Train.tar.gz.part_019,10737418240,VOR-Train,b4a13a0894a68ed100681f5e1c6799d0580a4c1c2dde7ef0112857418313f319,e30ac0f97699c7b8ca7deac9b96940d458b2c18f
VOR-Train.tar.gz.part_020,10737418240,VOR-Train,c1f4fa85cba8f51c0a7a2965c4b0ece251c0e4378520ee26e54e8fd7fa9ae60d,9fc0c4a32711b658a07b8eadaf894f9ddebb4537
VOR-Train.tar.gz.part_021,10737418240,VOR-Train,fe4bbb6627243a0864b744c201f0ef8b7e3c3af109ec86696ae4d3133f7574f6,9a783159f76782bde794e65cadc269390d242da1
VOR-Train.tar.gz.part_022,10737418240,VOR-Train,632f01cee20728e22098c52f9f0631f57d4252807c56b2ba0c58ef09d90d827a,6cbd5fd1b7394ce758d2ed75e80a5d1e3a17b7af
VOR-Train.tar.gz.part_023,10737418240,VOR-Train,afbb66bef827ed2441f0aaffbb0ea58d3160b626ad21ed56c9226ebc2fdec17b,4ce998c611933bda2d9f8c722ac55256858d6cc5
VOR-Train.tar.gz.part_024,10737418240,VOR-Train,d44a92afa0eba2b6bef77f31b83c598f3d1f534f54edecce1abbcfa17e05a300,c17f57e91d70a762870d2d9732fc4bab6c554210
VOR-Train.tar.gz.part_025,10737418240,VOR-Train,80dd962919b3459b463061520f0907a43cbfa9424fd8ca323f1d0e396d8e92ce,77108e66ade8b29069d7124093d92d57bbaf9af2
VOR-Train.tar.gz.part_026,10737418240,VOR-Train,44952fcce865146c75c7a364de7df9e73e0050ac3bf18a258ff054663bf4b2e8,ea7ec78e39f3428ba2d32e4aaffb7e8a266ea86d
VOR-Train.tar.gz.part_027,10737418240,VOR-Train,9849eca15af84d7aaaa14d41e5e184f596f4bdbd7c86304e45a20b7b2f7f1d6c,b301bc8f1685d2a487339bd03632edbe7c4f48b7
VOR-Train.tar.gz.part_028,10737418240,VOR-Train,30a2cc6bfc7aa0b27f617052ff621a96bb54e45e4fac9111818005f21d062602,22916ec2a1cebe147a6052c0edee68fe9791140e
VOR-Train.tar.gz.part_029,10737418240,VOR-Train,672b7e3976bae1347cc64fdce1c86cf7bad5cc6594aed212c04f628c6c60845e,ca17532852fdf5c582658c6a3bc39fd717bf23d7
VOR-Train.tar.gz.part_030,10737418240,VOR-Train,5454daab9a5c17c62f7fd5bec1948f0789b5288515a82b6586e703744aadff21,c2bc68a6e012079585c4fd1aa71d593bcb28e57c
VOR-Train.tar.gz.part_031,3496579072,VOR-Train,6c8ed5c76b47050d099219062bded9331cf60f90f16e2685a856dc9b471c2e16,6ce11c90cb6b4726a7e21b99eecb0fff736b0b40
VOR-Wild.tar.gz.part_000,3855258741,,cce1548d55c3f52bae5dc056ec38a54be2a9030253a6eea3a2a101d009326484,b9c8f82fc5538c437f5693c4a01f118594103934
