video_name,selection_note,ours_PSNR_bg,sft_PSNR_bg,propainter_PSNR_bg,ours_minus_sft_PSNR_bg,ours_minus_propainter_PSNR_bg,ours_SSIM_bg,sft_SSIM_bg,propainter_SSIM_bg,ours_minus_sft_SSIM_bg
kite-surf,metric-preselected: Ours improves over SFT,29.88882865024078,29.40311410307697,35.1199004861746,0.48571454716380913,-5.231071835933822,0.9653012791868798,0.9639755584098728,0.9904420896951034,0.001325720777006989
mallard-water,metric-preselected: Ours improves over SFT,26.9082562685628,26.586048795553154,33.13397213779358,0.3222074730096445,-6.225715869230779,0.9682479227543128,0.966354308249123,0.9939160030509815,0.0018936145051897668
bus,metric-preselected: Ours improves over SFT,24.336359229526114,24.075458256485405,27.232991828699607,0.2609009730407088,-2.8966325991734934,0.9210208545042151,0.9161960643350386,0.9491388668078506,0.004824790169176474
bear,metric-preselected: Ours improves over SFT,26.485269909494292,26.228460774354833,32.45861596980907,0.25680913513945924,-5.973346060314775,0.9523992871669639,0.9543624056528497,0.9866453265208251,-0.0019631184858858175
drift-straight,metric-preselected: Ours improves over SFT,27.957985552857032,27.73261823292791,36.136221805389305,0.2253673199291235,-8.178236252532272,0.9813616083643324,0.9811367655668698,0.9956081660506257,0.00022484279746259883
goat,metric-preselected: Ours improves over SFT,28.057324555474022,27.857614450136225,34.39810446175831,0.19971010533779676,-6.340779906284286,0.9803554360084833,0.9794887855454102,0.9953327124947922,0.0008666504630731042
cows,metric-preselected: Ours improves over SFT,25.435217035292514,25.32337743357005,30.278773195224744,0.11183960172246188,-4.8435561599322305,0.950346558322291,0.9497317883471048,0.9868895214439728,0.000614769975186169
hike,metric-preselected: Ours improves over SFT,27.253300515515257,27.15446277605116,34.74160745733341,0.09883773946409491,-7.488306941818152,0.9668404788092392,0.9667319305085996,0.9959908208708225,0.0001085483006395549
paragliding-launch,metric-preselected: Ours improves over SFT,30.523146189444436,30.427571502427135,37.81403982111984,0.09557468701730087,-7.290893631675406,0.965972248985328,0.9657823643604724,0.9971369859449922,0.00018988462485558522
hockey,metric-preselected: Ours improves over SFT,30.803992031161748,30.738554718557044,37.71708795325861,0.06543731260470409,-6.913095922096865,0.9817552305297522,0.981717579854027,0.9971540028881835,3.765067572525371e-05
paragliding,metric-preselected: high Ours background preservation,32.234328029779654,32.23471116943196,43.551640198434875,-0.000383139652306852,-11.31731216865522,0.9648883100182138,0.9649669103334343,0.9978162035087532,-7.860031522044508e-05
drift-chicane,metric-preselected: high Ours background preservation,31.32643937470609,31.283716059927876,42.99289879734218,0.04272331477821467,-11.666459422636088,0.9710375376507925,0.9709059696780643,0.9980965198212876,0.0001315679727281749
surf,metric-preselected: high Ours background preservation,31.27439126361,31.351323625066772,37.614112262824044,-0.07693236145677318,-6.339720999214045,0.976026641904981,0.9762814193700621,0.9966513931809091,-0.0002547774650810686
libby,metric-preselected: high Ours background preservation,31.123965011069288,31.095751125431672,41.42076270034349,0.028213885637615732,-10.2967976892742,0.9692628792683601,0.9690686673176141,0.9962982233143934,0.00019421195074598163
bmx-bumps,metric-preselected: high Ours background preservation,30.65646335996228,30.71681639784789,38.693019667407526,-0.06035303788560853,-8.036556307445245,0.9675573798582247,0.9677242618267352,0.9969072294431011,-0.00016688196851055714
motocross-bumps,metric-preselected: high Ours background preservation,30.60639119252376,30.668194109219865,38.44546003471349,-0.061802916696105825,-7.839068842189732,0.97161139042624,0.9719945791601691,0.9949677581383521,-0.00038318873392906294
boat,representative harder/failure case,28.59058929109542,28.914297600956004,34.32613917646447,-0.3237083098605851,-5.735549885369053,0.9661490607188563,0.9680003216161297,0.9924950954052315,-0.001851260897273388
motorbike,representative harder/failure case,28.566005306712462,28.87907743645625,34.122276022383105,-0.3130721297437873,-5.556270715670642,0.9661710657674754,0.9670062256816067,0.9915154328433753,-0.0008351599141313004
motocross-jump,representative harder/failure case,29.39983620594897,29.673118838486566,36.54606175815428,-0.27328263253759744,-7.146225552205312,0.9719017233073937,0.9738725302610212,0.9930386208090078,-0.001970806953627502
car-turn,representative harder/failure case,29.231445769370954,29.491665943709826,38.01296881941928,-0.26022017433887257,-8.781523050048325,0.9543229807144659,0.9562564071729044,0.9902270423360082,-0.0019334264584385252
