video,status,sample_root,forward_flow_path,backward_flow_path,confidence_path,fb_error_path,flow_conf_mean,valid_flow_ratio,mean_flow_magnitude,forward_backward_error
boat,reused,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/boat,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/boat/completed_forward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/boat/completed_backward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/boat/flow_confidence.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/boat/forward_backward_error.npy,0.6293585300445557,0.8294061158078369,1.0965416431427002,0.34611639380455017
rhino,reused,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/rhino,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/rhino/completed_forward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/rhino/completed_backward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/rhino/flow_confidence.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/rhino/forward_backward_error.npy,0.8293482661247253,0.9074652777777777,1.4264365434646606,0.12389636039733887
dog-agility,reused,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/dog-agility,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/dog-agility/completed_forward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/dog-agility/completed_backward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/dog-agility/flow_confidence.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/dog-agility/forward_backward_error.npy,0.6175828576087952,0.7936149691358024,2.8737094402313232,2.3438720703125
blackswan,reused,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/blackswan,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/blackswan/completed_forward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/blackswan/completed_backward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/blackswan/flow_confidence.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/blackswan/forward_backward_error.npy,0.7345701456069946,0.8904060990338164,3.6116318702697754,0.3867315948009491
lucia,reused,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/lucia,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/lucia/completed_forward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/lucia/completed_backward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/lucia/flow_confidence.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/lucia/forward_backward_error.npy,0.8735973238945007,0.9438049349168008,4.165023326873779,0.19958153367042542
dance-jump,reused,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/dance-jump,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/dance-jump/completed_forward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/dance-jump/completed_backward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/dance-jump/flow_confidence.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/dance-jump/forward_backward_error.npy,0.7818522453308105,0.8954735305958132,4.287666320800781,0.4184902310371399
flamingo,reused,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/flamingo,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/flamingo/completed_forward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/flamingo/completed_backward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/flamingo/flow_confidence.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/flamingo/forward_backward_error.npy,0.8230169415473938,0.9390599838969405,3.5026895999908447,0.23771242797374725
soccerball,reused,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/soccerball,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/soccerball/completed_forward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/soccerball/completed_backward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/soccerball/flow_confidence.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/soccerball/forward_backward_error.npy,0.8509278893470764,0.9081215613258186,0.5421538949012756,0.20309996604919434
camel,reused,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/camel,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/camel/completed_forward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/camel/completed_backward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/camel/flow_confidence.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/camel/forward_backward_error.npy,0.7277835011482239,0.8137777610037574,2.5553805828094482,0.26594382524490356
car-roundabout,reused,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/car-roundabout,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/car-roundabout/completed_forward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/car-roundabout/completed_backward_flow.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/car-roundabout/flow_confidence.npy,/mnt/nas/hj/H20_Video_inpainting_DPO/data/cache/exp19_davis10_propainter_completed_flow/samples/car-roundabout/forward_backward_error.npy,0.75071120262146,0.9241940083199142,7.079518795013428,0.5802199244499207
