video,motion_score,flow_conf_mean,valid_flow_ratio,mean_flow_magnitude,gate_mean,gate_p10,gate_p50,gate_p90,nonzero_gate_ratio,motion_bin
boat,0.0061218637458769504,0.603135347366333,0.7948475480079651,1.0923269987106323,0.00417461059987545,0.0,0.0,0.0,0.007050942163914442,low
rhino,0.006997108240001095,0.7947921752929688,0.8696542382240295,1.3999476432800293,0.003528141649439931,0.0,0.0,0.0,0.005747251212596893,low
dog-agility,0.01672892758809632,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466,high
blackswan,0.016250568946053895,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898,medium
lucia,0.013714186436705739,0.8371973037719727,0.9044797420501709,4.068275451660156,0.0021414111834019423,0.0,0.0,0.0,0.0037270125467330217,low
dance-jump,0.027009211791058942,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743,high
flamingo,0.01642345058847635,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646,medium
soccerball,0.002737175387202965,0.8154722452163696,0.8702831864356995,0.530766487121582,0.004123906139284372,0.0,0.0,0.0,0.005925684701651335,low
camel,0.012953714182639063,0.69745934009552,0.779870331287384,2.495544672012329,0.003717071143910289,0.0,0.0,0.0,0.006655896548181772,low
car-roundabout,0.043346292461962546,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447,high
