video,label,psnr,ssim,mask_bbox_psnr,strict_mask_psnr,boundary_psnr,lpips,ewarp,residual_scale,confidence_exponent,psnr_delta_vs_exp11,ewarp_delta_vs_exp11,lpips_delta_vs_exp11,strict_mask_psnr_delta_vs_exp11,boundary_psnr_delta_vs_exp11,flow_flow_conf_mean,flow_valid_flow_ratio,flow_mean_flow_magnitude,flow_gate_mean,flow_gate_p10,flow_gate_p50,flow_gate_p90,flow_nonzero_gate_ratio
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
dance-jump,Exp19R0,34.43677746597448,0.9820325647871025,26.339445811305634,22.709662281931468,26.724128110059045,0.011160518818845352,4.111839002808151,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.03661402832424,0.9574493071279648,20.366606045714473,17.33563186173485,26.656202544663557,0.023938843165524304,23.183665238320827,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
flamingo,Exp19R0,33.964230488040165,0.988288022254174,22.65013522617174,20.113593042979986,23.972636321068222,0.008092871265641103,3.6243590445298213,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
blackswan,Exp19R0,32.895038091720025,0.9673486787417235,24.49088639087869,21.85605411082737,27.193158804949615,0.017299579029592376,4.843387398463877,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
dance-jump,Exp19R0,34.43677746597448,0.9820325647871025,26.339445811305634,22.709662281931468,26.724128110059045,0.011160518818845352,4.111839002808151,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.03661402832424,0.9574493071279648,20.366606045714473,17.33563186173485,26.656202544663557,0.023938843165524304,23.183665238320827,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
flamingo,Exp19R0,33.964230488040165,0.988288022254174,22.65013522617174,20.113593042979986,23.972636321068222,0.008092871265641103,3.6243590445298213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
blackswan,Exp19R0,32.895038091720025,0.9673486787417235,24.49088639087869,21.85605411082737,27.193158804949615,0.017299579029592376,4.843387398463877,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
