motion_bin,label,videos,psnr,ssim,strict_mask_psnr,boundary_psnr,lpips,ewarp
low,exp11,5,27.217502547,0.948472202,16.743468499,23.772488616,0.028161989,6.492635932
low,exp19b,5,27.217468840,0.948470210,16.743434792,23.772247693,0.028162530,6.492350348
low,lambda000,5,27.217028546,0.948467697,16.742994498,23.772618522,0.028155813,6.492625223
low,lambda005,5,27.217127360,0.948467959,16.743093312,23.772344401,0.028157665,6.492623021
low,lambda010,5,27.217337613,0.948470056,16.743303565,23.772379694,0.028156437,6.492638505
low,lambda020,5,27.217416727,0.948471169,16.743382679,23.772383311,0.028157189,6.492646053
medium,exp11,2,33.429634290,0.977818350,20.984823577,25.582897563,0.012696225,4.233873221
medium,exp19b,2,33.430053238,0.977818965,20.985242525,25.583570148,0.012692651,4.233862552
medium,lambda000,2,33.429416226,0.977817670,20.984605513,25.582806665,0.012694479,4.233892638
medium,lambda005,2,33.430049851,0.977819596,20.985239138,25.583618139,0.012691374,4.233882373
medium,lambda010,2,33.429195134,0.977816269,20.984384421,25.583000543,0.012689187,4.233892177
medium,lambda020,2,33.429802864,0.977818759,20.984992151,25.583576037,0.012693502,4.233905367
high,exp11,3,31.782102927,0.978189927,19.876086520,25.515590365,0.013450875,14.125456328
high,exp19b,3,31.782415022,0.978192261,19.876398616,25.515113313,0.013449171,14.125256286
high,lambda000,3,31.782111267,0.978190628,19.876094861,25.515284624,0.013452953,14.125175551
high,lambda005,3,31.782295790,0.978191363,19.876279383,25.515370615,0.013449074,14.125338475
high,lambda010,3,31.782194842,0.978191376,19.876178436,25.515497265,0.013449970,14.125676650
high,lambda020,3,31.782331842,0.978192574,19.876315436,25.514833147,0.013449945,14.125235551
