row_index,sample_id,mask_id,mask_path,n_frames,empty_frames,area_median,perimeter_median,ap_median,sqrt_area_median,ap_mean,sqrt_area_mean
0,youtubevos_000000_003234408d,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000000_000001/candidates/youtubevos_000000_003234408d/mask_000/mask,16,0,36162.0,880.4234427213669,41.073417909255305,107.2880333689561,41.073417909255305,107.2880333689561
1,youtubevos_000001_0043f083b5,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000001_000002/candidates/youtubevos_000001_0043f083b5/mask_000/mask,16,0,40450.0,951.5605231523514,42.50911951033479,113.47085483124877,42.50911951033479,113.47085483124877
2,youtubevos_000002_0044fa5fba,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000002_000003/candidates/youtubevos_000002_0044fa5fba/mask_000/mask,16,0,48268.0,1083.2833935022354,44.55713093131654,123.95233594539157,44.55713093131654,123.95233594539157
3,youtubevos_000003_005a527edd,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000003_000004/candidates/youtubevos_000003_005a527edd/mask_000/mask,16,0,47861.0,998.8082234859467,47.91810767532533,123.4286411763591,47.91810767532533,123.4286411763591
4,youtubevos_000004_0065b171f9,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000004_000005/candidates/youtubevos_000004_0065b171f9/mask_003/mask,16,0,38449.0,841.9036697149277,45.64712048654842,110.62864373154254,45.656368973235466,110.62395431398701
5,youtubevos_000005_00917dcfc4,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000005_000006/candidates/youtubevos_000005_00917dcfc4/mask_000/mask,16,0,35927.0,867.3767552375793,41.42029375707606,106.93885767542614,41.42029375707606,106.93885767542614
6,youtubevos_000006_00a23ccf53,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000006_000007/candidates/youtubevos_000006_00a23ccf53/mask_001/mask,16,0,42321.0,913.369619011879,46.335020477016315,116.06546727250189,46.335020477016315,116.06546727250189
7,youtubevos_000007_00ad5016a4,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000007_000008/candidates/youtubevos_000007_00ad5016a4/mask_003/mask,16,0,43626.5,878.2985500097275,49.698116611638056,117.84203436592679,49.680192964907334,117.85644725270492
8,youtubevos_000008_01082ae388,mask_002,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000008_000009/candidates/youtubevos_000008_01082ae388/mask_002/mask,16,0,37496.0,802.6143596172333,46.71733012337561,109.2490159788518,46.730154047508755,109.26211730982632
9,youtubevos_000009_011ac0a06f,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000009_000010/candidates/youtubevos_000009_011ac0a06f/mask_000/mask,16,0,38953.0,850.624455332756,45.79341653745655,111.35135830566773,45.79341653745655,111.35135830566773
