model_label,rows,frames_mean,whole_video_psnr_mean,whole_video_ssim_mean,strict_mask_pixel_psnr_mean,boundary_pixel_psnr_mean,whole_video_lpips_mean,tc_mean,ewarp_mean,vfid,eval_dir
P0_s20260619,20,24.0,29.502416653602637,0.9692434529710597,18.209545956207855,25.440119198837102,0.017898182287657015,0.9753030732921933,8.95197374939807,0.21369990760059476,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_P0_1d8cd54758b73251/eval_shadow/EQ_P0_shadow
P4_s20260619,20,24.0,29.496017576012427,0.9690997944185492,18.20314687861765,25.43993719749683,0.01812664337339811,0.9755002687806668,8.928928612959167,0.21659189831609638,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_P4_edbea07bb785e769/eval_shadow/EQ_P4_shadow
BF07_s20260619,20,24.0,29.43940451006813,0.9686135291086015,18.146533812673347,25.40045730718493,0.01853261725045741,0.9753605762253637,8.905798795651366,0.22378450976596165,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_BF07_2bc98e58514fb1da/eval_shadow/EQ_BF07_shadow
AD04_s20260619,20,24.0,29.50099576842673,0.9691642918864414,18.208125071031958,25.446934127303297,0.018038722427445465,0.9753928325746373,8.936125551712315,0.2155030390151107,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_AD04_77a0ed002ad3955d/eval_shadow/EQ_AD04_shadow
BF07_s20260620,20,24.0,29.326340363458606,0.9677969098508914,18.033469666063827,25.385628908868945,0.018715858542903637,0.9749546260937398,8.903027809387625,0.22524570834825663,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_BF07_s20260620_b1a2af0e6583af5c/eval_shadow/MSEQ_BF07_s20260620_shadow
BF07_s20260621,20,24.0,29.34974096171964,0.9678106462592652,18.056870264324868,25.38556913339338,0.018822448137992373,0.9750975029624025,8.896794913633368,0.22894121454574634,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_BF07_s20260621_b0f4cdd5be0a0136/eval_shadow/MSEQ_BF07_s20260621_shadow
P0_s20260620,20,24.0,29.36824133681518,0.968481398851386,18.0753706394204,25.4133735741416,0.01793605379740863,0.9752712271783663,8.958384796326003,0.21347761961660794,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P0_s20260620_2e233781ed5e1d4c/eval_shadow/MSEQ_P0_s20260620_shadow
P0_s20260621,20,24.0,29.419252903806715,0.9686648985876426,18.126382206411936,25.42341819098511,0.01807001157333919,0.9753722383924155,8.949225721390455,0.21997688873457788,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P0_s20260621_5f51b788f9bc6ba0/eval_shadow/MSEQ_P0_s20260621_shadow
P4_s20260620,20,24.0,29.365911492415375,0.9682872531132724,18.073040795020596,25.420540830472657,0.018259367965705074,0.9751773109902506,8.926212284843684,0.21735179070480992,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P4_s20260620_c6668196e7108e8e/eval_shadow/MSEQ_P4_s20260620_shadow
P4_s20260621,20,24.0,29.386545304328855,0.9682918320690602,18.09367460693408,25.422462325617182,0.01842068822976823,0.9752245103535444,8.921425539523153,0.2215328861838164,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P4_s20260621_46ae4bf5601388ea/eval_shadow/MSEQ_P4_s20260621_shadow
