video,delta_psnr,delta_lpips,delta_boundary_psnr,delta_ewarp,metric_seed_class,visual_review,new_artifact,sheet_path,manual_note
bear,-0.08246413208258474,-0.00028042506892234087,-0.004501692043227479,0.03230875438970049,fresh_clearly_better_metric_seed,fresh_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/bear.jpg,no clear visual separation; treat as tie/marginal
blackswan,1.3610581473073182,-0.0017339299277712925,0.2568769895595828,0.01698006551874709,candidate_clearly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/blackswan.jpg,candidate visibly cleaner mask fill and boundary; strong positive case
bmx-bumps,0.2626210958127828,-0.0002579496164495758,0.2627880254057047,0.022027459319518883,candidate_clearly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/bmx-bumps.jpg,candidate clearer local structure
bmx-trees,0.26219887540680986,-2.7997312524045796e-05,0.1290731758915804,-0.00959845340770249,candidate_clearly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/bmx-trees.jpg,candidate slightly cleaner structure
boat,0.40626493441717315,0.004948655143380165,0.5681452068084631,-0.06077118703852591,tie_metric_seed,candidate_slightly_better,candidate_perceptual_or_texture_penalty,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/boat.jpg,"candidate PSNR up, but visible texture/perceptual penalty; not a clean win"
breakdance,-0.315060947740637,0.0010068791452795267,-0.3945367326279694,0.10188843083122556,fresh_clearly_better_metric_seed,fresh_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/breakdance.jpg,fresh sharper local structure
breakdance-flare,0.1047114599908987,-0.00019935262389481068,0.2880426903083304,-0.01299916260430356,candidate_clearly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/breakdance-flare.jpg,candidate cleaner localized fill
bus,-0.187806342606347,0.00015241315122693777,-0.038522305564796966,0.004656197827147324,fresh_clearly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/bus.jpg,no clear visual separation; treat as tie/marginal
camel,-0.561712117333478,0.0007187699278195653,-0.12621901173070782,0.16922337691421063,fresh_clearly_better_metric_seed,fresh_slightly_better,candidate_perceptual_or_texture_penalty,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/camel.jpg,fresh cleaner; candidate artifact risk
car-roundabout,0.06213012696495923,2.9069720767438412e-05,0.019239392996698967,-0.005919931699398973,candidate_clearly_better_metric_seed,tie,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/car-roundabout.jpg,no clear visual separation; treat as tie/marginal
