sample_id,source_type,classification
REAL_ENV157_00014_005_01,REAL,MEDIUM_HARD_ELIGIBLE
REAL_ENV180_00011_007_03,REAL,HARD_BUT_PLAUSIBLE
REAL_ENV203_00008_002_05,REAL,MEDIUM_HARD_ELIGIBLE
REAL_ENV204_00016_002_05,REAL,TRIVIAL_BAD
REAL_ENV175_00015_004_05,REAL,MEDIUM_HARD_ELIGIBLE
REAL_ENV164_00004_002_04,REAL,HARD_BUT_PLAUSIBLE
REAL_ENV282_00102_005_04,REAL,MEDIUM_HARD_ELIGIBLE
REAL_ENV232_00101_006_05,REAL,TRIVIAL_BAD
BLENDER_STREET001_00003,BLENDER,MEDIUM_HARD_ELIGIBLE
BLENDER_BEDROOM007_00002,BLENDER,HARD_BUT_PLAUSIBLE
BLENDER_BEDROOM004_00005,BLENDER,MEDIUM_HARD_ELIGIBLE
BLENDER_WAREHOUSE034_00002,BLENDER,MEDIUM_HARD_ELIGIBLE
REAL_ENV210_00016_005_05,REAL,HARD_BUT_PLAUSIBLE
REAL_ENV266_00105_001_01,REAL,HARD_BUT_PLAUSIBLE
REAL_ENV270_00102_001_03,REAL,HARD_BUT_PLAUSIBLE
REAL_ENV236_00101_002_03,REAL,HARD_BUT_PLAUSIBLE
