sample_id,model,video_path,review_method,reviewed_frames,blind_class,informed_class,final_class,temporal_artifact,spatial_artifact,object_residual,effect_residual,outside_damage,reason,reviewer_pass
vp2_gate16_BLENDER_CON001_00742,VideoPainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/side_by_side/vp2_gate16_BLENDER_CON001_00742.mp4,contact_sheet_plus_dense16,"0;3;6;9;12;16;19;22;25;28;32;35;38;41;45;48",trivial-bad,trivial-bad,trivial-bad,persistent_region_failure,large_pale_ellipse_patch,high,high,low,Large masked region becomes a persistent mismatched pale patch/object across the whole sequence; true model failure rather than wrapper/frame bug.,true
vp2_gate16_BLENDER_CON001_00744,VideoPainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/side_by_side/vp2_gate16_BLENDER_CON001_00744.mp4,contact_sheet_plus_dense16,"0;3;6;9;12;16;19;22;25;28;32;35;38;41;45;48",hard-plausible,hard-plausible,hard-plausible,stable_local_artifact,synthetic_disc_with_markings,medium,medium,low,Local object-like artifact is obvious but video decodes and remains spatially localized; useful hard-plausible negative.,true
vp2_gate16_BLENDER_FOREST039_00051,VideoPainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/side_by_side/vp2_gate16_BLENDER_FOREST039_00051.mp4,contact_sheet_plus_dense16,"0;3;6;9;12;16;19;22;25;28;32;35;38;41;45;48",hard-plausible,hard-plausible,hard-plausible,stable_local_artifact,text_like_local_patch,medium,medium,low,Rock/terrain scene shows localized text-like patch artifact but no global collapse or frame mismatch.,true
vp2_gate16_BLENDER_FOREST039_00117,VideoPainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/side_by_side/vp2_gate16_BLENDER_FOREST039_00117.mp4,contact_sheet_plus_dense16,"0;3;6;9;12;16;19;22;25;28;32;35;38;41;45;48",medium-hard,medium-hard,medium-hard,stable_boundary_ring,mild_texture_boundary_error,medium,medium,low,Localized terrain mismatch and boundary ring are visible but not catastrophic.,true
vp2_gate16_BLENDER_FOREST039_00360,VideoPainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/side_by_side/vp2_gate16_BLENDER_FOREST039_00360.mp4,contact_sheet_plus_dense16,"0;3;6;9;12;16;19;22;25;28;32;35;38;41;45;48",hard-plausible,hard-plausible,hard-plausible,stable_local_artifact,gray_structure_mismatch,high,medium,low,Large local gray structure is wrong but consistent and localized; hard-plausible rather than technical invalid.,true
vp2_gate16_REAL_ENV024_00002_008_01,VideoPainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/side_by_side/vp2_gate16_REAL_ENV024_00002_008_01.mp4,contact_sheet_plus_dense16,"0;3;6;9;12;16;19;22;25;28;32;35;38;41;45;48",medium-hard,medium-hard,medium-hard,stable_local_artifact,plant/fence_texture_mismatch,medium,medium,low,Localized plant/fence fill is visibly imperfect while global scene stays intact.,true
vp2_gate16_REAL_ENV114_00004_004_02,VideoPainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/side_by_side/vp2_gate16_REAL_ENV114_00004_004_02.mp4,contact_sheet_plus_dense16,"0;3;6;9;12;16;19;22;25;28;32;35;38;41;45;48",medium-hard,medium-hard,medium-hard,stable_boundary_ring,tree/track_boundary_mismatch,medium,medium,low,Track/trees scene has a clear local ring and texture mismatch without technical failure.,true
vp2_gate16_REAL_ENV159_00010_003_05,VideoPainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/side_by_side/vp2_gate16_REAL_ENV159_00010_003_05.mp4,contact_sheet_plus_dense16,"0;3;6;9;12;16;19;22;25;28;32;35;38;41;45;48",medium-hard,medium-hard,medium-hard,stable_local_artifact,synthetic_patch_on_flat_wall,medium,medium,low,Flat wall case creates a clean but wrong synthetic patch; useful medium-hard negative.,true
vp2_gate16_REAL_ENV170_00013_001_05,VideoPainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/side_by_side/vp2_gate16_REAL_ENV170_00013_001_05.mp4,contact_sheet_plus_dense16,"0;3;6;9;12;16;19;22;25;28;32;35;38;41;45;48",hard-plausible,hard-plausible,hard-plausible,stable_local_artifact,pale_window_patch,medium,medium,low,Window/city scene has a visible pale generated patch and local seam but no frame-order issue.,true
vp2_gate16_REAL_ENV171_00016_007_01,VideoPainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/side_by_side/vp2_gate16_REAL_ENV171_00016_007_01.mp4,contact_sheet_plus_dense16,"0;3;6;9;12;16;19;22;25;28;32;35;38;41;45;48",medium-hard,medium-hard,medium-hard,stable_boundary_ring,mild_window/gym_patch,medium,low,low,Localized fill is visible but not severe; medium-hard usable pair.,true
