sample_id,technical_valid,frames,source_video,mask_dir,output_dir,reviewed_frames,mask_area_mean,mask_area_max,edge_touch_frames,motion_proxy,first_frame_gt,condition_definition,psnr,mask_psnr,temporal_absdiff,black_frame_ratio,contact_sheet,visual_review_status,reviewer_pass,classification,failure_mode,reason
vp2_gate16_BLENDER_FOREST039_00117,true,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f/materialized/vp2_gate16_BLENDER_FOREST039_00117/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f_masks/masks/vp2_gate16_BLENDER_FOREST039_00117/masks,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/raw_frames/vp2_gate16_BLENDER_FOREST039_00117,0 24 25 48,0.206631,0.221107,48,375.583731,True,winner * (1 - generated_moving_br_mask),22.057308089219788,16.64419273628984,1.6258168319861095,0.0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_26_27_followup_20260624/exp26_gate16_reclassification_v2/sample_audit_sheets/vp2_gate16_BLENDER_FOREST039_00117.jpg,VISUAL_REVIEW_PENDING_HEADLESS_FRAME_AUDIT_ONLY,false,medium-hard,,valid output with visible finite defect
vp2_gate16_REAL_ENV114_00004_004_02,true,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f/materialized/vp2_gate16_REAL_ENV114_00004_004_02/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f_masks/masks/vp2_gate16_REAL_ENV114_00004_004_02/masks,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/raw_frames/vp2_gate16_REAL_ENV114_00004_004_02,0 16 21 24 48,0.188428,0.203041,0,237.231170,True,winner * (1 - generated_moving_br_mask),21.064718929021588,14.5272236538972,6.303497190276782,0.0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_26_27_followup_20260624/exp26_gate16_reclassification_v2/sample_audit_sheets/vp2_gate16_REAL_ENV114_00004_004_02.jpg,VISUAL_REVIEW_PENDING_HEADLESS_FRAME_AUDIT_ONLY,false,medium-hard,,valid output with visible finite defect
vp2_gate16_REAL_ENV024_00002_008_01,true,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f/materialized/vp2_gate16_REAL_ENV024_00002_008_01/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f_masks/masks/vp2_gate16_REAL_ENV024_00002_008_01/masks,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/raw_frames/vp2_gate16_REAL_ENV024_00002_008_01,0 24 40 48,0.118984,0.128438,0,273.614924,True,winner * (1 - generated_moving_br_mask),22.79363531938074,15.146159456559126,5.537741579115391,0.0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_26_27_followup_20260624/exp26_gate16_reclassification_v2/sample_audit_sheets/vp2_gate16_REAL_ENV024_00002_008_01.jpg,VISUAL_REVIEW_PENDING_HEADLESS_FRAME_AUDIT_ONLY,false,medium-hard,,valid output with visible finite defect
vp2_gate16_REAL_ENV159_00010_003_05,true,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f/materialized/vp2_gate16_REAL_ENV159_00010_003_05/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f_masks/masks/vp2_gate16_REAL_ENV159_00010_003_05/masks,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/raw_frames/vp2_gate16_REAL_ENV159_00010_003_05,0 18 24 25 48,0.066115,0.071143,0,290.129199,True,winner * (1 - generated_moving_br_mask),26.162427288122053,14.753190566688074,1.2340886599073808,0.0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_26_27_followup_20260624/exp26_gate16_reclassification_v2/sample_audit_sheets/vp2_gate16_REAL_ENV159_00010_003_05.jpg,VISUAL_REVIEW_PENDING_HEADLESS_FRAME_AUDIT_ONLY,false,medium-hard,,valid output with visible finite defect
vp2_gate16_REAL_ENV212_00003_003_01,true,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f/materialized/vp2_gate16_REAL_ENV212_00003_003_01/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f_masks/masks/vp2_gate16_REAL_ENV212_00003_003_01/masks,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/raw_frames/vp2_gate16_REAL_ENV212_00003_003_01,0 22 24 48,0.270006,0.291480,24,309.084296,True,winner * (1 - generated_moving_br_mask),15.714277343084312,9.745244660105223,2.893795615682999,0.0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_26_27_followup_20260624/exp26_gate16_reclassification_v2/sample_audit_sheets/vp2_gate16_REAL_ENV212_00003_003_01.jpg,VISUAL_REVIEW_PENDING_HEADLESS_FRAME_AUDIT_ONLY,false,medium-hard,,valid output with visible finite defect
vp2_gate16_REAL_ENV171_00016_007_01,true,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f/materialized/vp2_gate16_REAL_ENV171_00016_007_01/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f_masks/masks/vp2_gate16_REAL_ENV171_00016_007_01/masks,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/raw_frames/vp2_gate16_REAL_ENV171_00016_007_01,0 21 24 41 48,0.064106,0.068653,45,124.955479,True,winner * (1 - generated_moving_br_mask),27.48965355813523,17.118630869564576,2.5576254036277533,0.0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_26_27_followup_20260624/exp26_gate16_reclassification_v2/sample_audit_sheets/vp2_gate16_REAL_ENV171_00016_007_01.jpg,VISUAL_REVIEW_PENDING_HEADLESS_FRAME_AUDIT_ONLY,false,medium-hard,,valid output with visible finite defect
vp2_gate16_REAL_ENV219_00001_001_05,true,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f/materialized/vp2_gate16_REAL_ENV219_00001_001_05/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f_masks/masks/vp2_gate16_REAL_ENV219_00001_001_05/masks,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/raw_frames/vp2_gate16_REAL_ENV219_00001_001_05,0 24 45 48,0.199850,0.215933,0,265.861219,True,winner * (1 - generated_moving_br_mask),24.07006789949064,19.01990924843458,14.290641456842422,0.0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_26_27_followup_20260624/exp26_gate16_reclassification_v2/sample_audit_sheets/vp2_gate16_REAL_ENV219_00001_001_05.jpg,VISUAL_REVIEW_PENDING_HEADLESS_FRAME_AUDIT_ONLY,false,medium-hard,,valid output with visible finite defect
vp2_gate16_BLENDER_CON001_00742,true,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f/materialized/vp2_gate16_BLENDER_CON001_00742/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f_masks/masks/vp2_gate16_BLENDER_CON001_00742/masks,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/raw_frames/vp2_gate16_BLENDER_CON001_00742,0 23 24 36 48,0.194941,0.212606,20,358.444162,True,winner * (1 - generated_moving_br_mask),8.797221092989547,1.3499670061384383,2.592503922060132,0.0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_26_27_followup_20260624/exp26_gate16_reclassification_v2/sample_audit_sheets/vp2_gate16_BLENDER_CON001_00742.jpg,VISUAL_REVIEW_PENDING_HEADLESS_FRAME_AUDIT_ONLY,false,trivial-bad,model_failure,extreme mask-region failure
vp2_gate16_BLENDER_CON001_00744,true,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f/materialized/vp2_gate16_BLENDER_CON001_00744/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f_masks/masks/vp2_gate16_BLENDER_CON001_00744/masks,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/raw_frames/vp2_gate16_BLENDER_CON001_00744,0 11 22 24 48,0.066355,0.071419,0,483.733458,True,winner * (1 - generated_moving_br_mask),17.495470680996082,5.545123247771382,1.4315836193660896,0.0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_26_27_followup_20260624/exp26_gate16_reclassification_v2/sample_audit_sheets/vp2_gate16_BLENDER_CON001_00744.jpg,VISUAL_REVIEW_PENDING_HEADLESS_FRAME_AUDIT_ONLY,false,medium-hard,,valid output with visible finite defect
vp2_gate16_BLENDER_FOREST039_00360,true,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f/materialized/vp2_gate16_BLENDER_FOREST039_00360/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate16_full_from_gate32_49f_masks/masks/vp2_gate16_BLENDER_FOREST039_00360/masks,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/overnight_exp25_26_27_20260624_three_lane_retry2/exp26_gate16_official_inference/raw_frames/vp2_gate16_BLENDER_FOREST039_00360,0 24 44 48,0.235829,0.254166,0,551.808122,True,winner * (1 - generated_moving_br_mask),17.264178320950247,11.507418568470149,2.1129200967649617,0.0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_26_27_followup_20260624/exp26_gate16_reclassification_v2/sample_audit_sheets/vp2_gate16_BLENDER_FOREST039_00360.jpg,VISUAL_REVIEW_PENDING_HEADLESS_FRAME_AUDIT_ONLY,false,medium-hard,,valid output with visible finite defect
