sample_id,scene_group,source_sample_id,classification,area_bucket,motion_bucket,mask_profile,deformation_bucket,edge_touch_target,final_loser_type,final_loser_video_path,video_path,temporal_strip,final_gate64_role
vp2_gate64_012_BLENDER_BEACH028_00003,BLENDER_BEACH028,BLENDER_BEACH028_00003,hard-plausible,small,low,irregular_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_012_BLENDER_BEACH028_00003,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_012_BLENDER_BEACH028_00003.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_012_BLENDER_BEACH028_00003.jpg,primary32
vp2_gate64_030_REAL_ENV800_00024_001_03,REAL_ENV800_00024,REAL_ENV800_00024_001_03,hard-plausible,large,high,object_like_polygon,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_030_REAL_ENV800_00024_001_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_030_REAL_ENV800_00024_001_03.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_030_REAL_ENV800_00024_001_03.jpg,primary32
vp2_gate64_031_REAL_ENV157_00011_003_02,REAL_ENV157_00011,REAL_ENV157_00011_003_02,hard-plausible,medium,medium,object_like_polygon,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_031_REAL_ENV157_00011_003_02,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_031_REAL_ENV157_00011_003_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_031_REAL_ENV157_00011_003_02.jpg,primary32
vp2_gate64_034_REAL_ENV212_00023_002_04,REAL_ENV212_00023,REAL_ENV212_00023_002_04,hard-plausible,medium,high,soft_blob,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_034_REAL_ENV212_00023_002_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_034_REAL_ENV212_00023_002_04.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_034_REAL_ENV212_00023_002_04.jpg,primary32
vp2_gate64_049_REAL_ENV161_00016_002_02,REAL_ENV161_00016,REAL_ENV161_00016_002_02,hard-plausible,medium,medium,ellipse_circle_subset,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_049_REAL_ENV161_00016_002_02,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_049_REAL_ENV161_00016_002_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_049_REAL_ENV161_00016_002_02.jpg,primary32
vp2_gate64_051_REAL_ENV177_00004_003_02,REAL_ENV177_00004,REAL_ENV177_00004_003_02,hard-plausible,large,medium,ellipse_circle_subset,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_051_REAL_ENV177_00004_003_02,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_051_REAL_ENV177_00004_003_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_051_REAL_ENV177_00004_003_02.jpg,primary32
vp2_gate64_053_REAL_ENV181_00006_007_01,REAL_ENV181_00006,REAL_ENV181_00006_007_01,hard-plausible,medium,medium,ellipse_circle_subset,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_053_REAL_ENV181_00006_007_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_053_REAL_ENV181_00006_007_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_053_REAL_ENV181_00006_007_01.jpg,primary32
vp2_gate64_056_REAL_ENV198_00003_006_02,REAL_ENV198_00003,REAL_ENV198_00003_006_02,hard-plausible,small,low,thin_structure_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_source_repair_static_dup_20260625/official_generation/comp_frames/vp2_gate64_056_REAL_ENV198_00003_006_02,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_source_repair_static_dup_20260625/official_generation/side_by_side/vp2_gate64_056_REAL_ENV198_00003_006_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_056_REAL_ENV198_00003_006_02.jpg,primary32
vp2_gate64_057_REAL_ENV242_00119_004_01,REAL_ENV242_00119,REAL_ENV242_00119_004_01,hard-plausible,medium,medium,thin_structure_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_057_REAL_ENV242_00119_004_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_057_REAL_ENV242_00119_004_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_057_REAL_ENV242_00119_004_01.jpg,primary32
vp2_gate64_058_REAL_ENV204_00018_006_03,REAL_ENV204_00018,REAL_ENV204_00018_006_03,hard-plausible,medium,high,thin_structure_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_058_REAL_ENV204_00018_006_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_058_REAL_ENV204_00018_006_03.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_058_REAL_ENV204_00018_006_03.jpg,primary32
