sample_id,model,video_path,contact_sheet,reviewed_frames,classification,temporal_artifact,spatial_artifact,reason,reviewer_pass,visual_review_status,status,frame_count,full_psnr,mask_psnr,full_ssim,temporal_absdiff_mean,temporal_absdiff_max,black_frame_ratio,mask_profile,area_bucket,motion_bucket,evidence_sheet,crop_sheet,manual_review_method,manual_evidence_page,manual_crop_page,manual_reviewed_frames,manual_reviewer_pass,manual_gate_blocker,manual_final_class,manual_reason
vp2_vor_bg_49f_REAL_ENV242_00112_002_03,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.jpg,0 22 24 26 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,22.270421161552587,18.570119132764606,0.7779802083969116,8.047042908767859,10.6597318649292,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.jpg,opened 8 dense temporal evidence pages and 8 crop pages covering all 32 step50 search-dev rows,7,7,"start/middle/end plus temporal strip, mask crop, boundary/affected/outside crop evidence",true,false,medium-hard,"localized finite mask/boundary artifact; no global collapse, frame-order mismatch, or systematic outside damage in dense evidence/crop review"
vp2_vor_bg_49f_REAL_ENV800_00003_001_02,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.jpg,0 24 40 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,20.12789653258838,18.218741376872426,0.7227684162100967,1.621092605094115,5.889337539672852,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.jpg,opened 8 dense temporal evidence pages and 8 crop pages covering all 32 step50 search-dev rows,8,8,"start/middle/end plus temporal strip, mask crop, boundary/affected/outside crop evidence",true,false,medium-hard,"localized finite mask/boundary artifact; no global collapse, frame-order mismatch, or systematic outside damage in dense evidence/crop review"
vp2_vor_bg_49f_REAL_ENV246_00108_004_05,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV246_00108_004_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV246_00108_004_05.jpg,0 24 25 46 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,19.30229510286612,16.511814646205924,0.7662201146690213,15.856390804052353,20.81169319152832,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV246_00108_004_05.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV246_00108_004_05.jpg,opened 8 dense temporal evidence pages and 8 crop pages covering all 32 step50 search-dev rows,7,7,"start/middle/end plus temporal strip, mask crop, boundary/affected/outside crop evidence",true,false,medium-hard,"visible local texture/color artifact retained as failure case, but bounded to task region and not a gate-blocking systematic failure"
vp2_vor_bg_49f_REAL_ENV029_00002_006_01,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV029_00002_006_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV029_00002_006_01.jpg,0 17 24 27 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,23.71365723978703,21.72635255677957,0.9495269145284381,2.2965032731493316,6.492508888244629,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV029_00002_006_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV029_00002_006_01.jpg,opened 8 dense temporal evidence pages and 8 crop pages covering all 32 step50 search-dev rows,3,3,"start/middle/end plus temporal strip, mask crop, boundary/affected/outside crop evidence",true,false,medium-hard,"localized finite mask/boundary artifact; no global collapse, frame-order mismatch, or systematic outside damage in dense evidence/crop review"
vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/side_by_side/vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/contact_sheets/vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011.jpg,0 23 24 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,24.671613816237958,32.891294319117556,0.5871722406270553,0.546569410401086,4.060129165649414,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/evidence_sheets/vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/crop_sheets/vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011.jpg,opened 8 dense temporal evidence pages and 8 crop pages covering all 32 step50 search-dev rows,2,2,"start/middle/end plus temporal strip, mask crop, boundary/affected/outside crop evidence",true,false,medium-hard,"localized finite mask/boundary artifact; no global collapse, frame-order mismatch, or systematic outside damage in dense evidence/crop review"
vp2_vor_bg_49f_REAL_ENV231_00003_003_01,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV231_00003_003_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV231_00003_003_01.jpg,0 20 23 24 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,21.450429536761778,18.174289339403064,0.7332291043534571,7.364583147068818,11.062744140625,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV231_00003_003_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV231_00003_003_01.jpg,opened 8 dense temporal evidence pages and 8 crop pages covering all 32 step50 search-dev rows,6,6,"start/middle/end plus temporal strip, mask crop, boundary/affected/outside crop evidence",true,false,medium-hard,"localized finite mask/boundary artifact; no global collapse, frame-order mismatch, or systematic outside damage in dense evidence/crop review"
vp2_vor_bg_49f_REAL_ENV248_00114_005_05,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV248_00114_005_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV248_00114_005_05.jpg,0 24 45 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,23.749894676002167,21.38602703656724,0.8408545608423195,7.823259721199672,11.973803520202637,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV248_00114_005_05.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV248_00114_005_05.jpg,opened 8 dense temporal evidence pages and 8 crop pages covering all 32 step50 search-dev rows,8,8,"start/middle/end plus temporal strip, mask crop, boundary/affected/outside crop evidence",true,false,medium-hard,"localized finite mask/boundary artifact; no global collapse, frame-order mismatch, or systematic outside damage in dense evidence/crop review"
vp2_vor_bg_49f_REAL_ENV097_00001_001_02,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV097_00001_001_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV097_00001_001_02.jpg,0 24 30 37 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,20.631544008939496,20.00328043390719,0.9509024242965542,3.681716018666824,5.25161075592041,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV097_00001_001_02.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV097_00001_001_02.jpg,opened 8 dense temporal evidence pages and 8 crop pages covering all 32 step50 search-dev rows,3,3,"start/middle/end plus temporal strip, mask crop, boundary/affected/outside crop evidence",true,false,medium-hard,"localized finite mask/boundary artifact; no global collapse, frame-order mismatch, or systematic outside damage in dense evidence/crop review"
vp2_vor_bg_49f_REAL_ENV207_00002_001_01,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV207_00002_001_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV207_00002_001_01.jpg,0 17 24 28 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,23.58014919263524,21.22606314752036,0.8910077822451689,3.432506486773491,7.874965190887451,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV207_00002_001_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV207_00002_001_01.jpg,opened 8 dense temporal evidence pages and 8 crop pages covering all 32 step50 search-dev rows,5,5,"start/middle/end plus temporal strip, mask crop, boundary/affected/outside crop evidence",true,false,medium-hard,"localized finite mask/boundary artifact; no global collapse, frame-order mismatch, or systematic outside damage in dense evidence/crop review"
vp2_vor_bg_49f_REAL_ENV227_00001_005_01,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV227_00001_005_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV227_00001_005_01.jpg,0 23 24 39 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,24.319719733242078,22.470280926089586,0.8146613422705202,3.2377256142596402,5.0381903648376465,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV227_00001_005_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step50_vp_primary32_50step_20260625_171032/step50_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV227_00001_005_01.jpg,opened 8 dense temporal evidence pages and 8 crop pages covering all 32 step50 search-dev rows,6,6,"start/middle/end plus temporal strip, mask crop, boundary/affected/outside crop evidence",true,false,medium-hard,"localized finite mask/boundary artifact; no global collapse, frame-order mismatch, or systematic outside damage in dense evidence/crop review"
