sample_id,frame_dir,mask_dir,frame_count,mask_count,status,scene_group
vp2_vor_bg_49f_REAL_ENV109_00002_005_02,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/materialized_49f/vp2_vor_bg_49f_REAL_ENV109_00002_005_02/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/masks/vp2_vor_bg_49f_REAL_ENV109_00002_005_02/masks,49,49,OK,REAL_ENV109_00002
vp2_vor_bg_49f_BLENDER_FOREST015_00002,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/materialized_49f/vp2_vor_bg_49f_BLENDER_FOREST015_00002/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/masks/vp2_vor_bg_49f_BLENDER_FOREST015_00002/masks,49,49,OK,BLENDER_FOREST015
vp2_vor_bg_49f_REAL_ENV193_00001_002_02,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/materialized_49f/vp2_vor_bg_49f_REAL_ENV193_00001_002_02/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/masks/vp2_vor_bg_49f_REAL_ENV193_00001_002_02/masks,49,49,OK,REAL_ENV193_00001
vp2_vor_bg_49f_REAL_ENV171_00001_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/materialized_49f/vp2_vor_bg_49f_REAL_ENV171_00001_001_01/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/masks/vp2_vor_bg_49f_REAL_ENV171_00001_001_01/masks,49,49,OK,REAL_ENV171_00001
vp2_vor_bg_49f_REAL_ENV135_00001_006_02,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/materialized_49f/vp2_vor_bg_49f_REAL_ENV135_00001_006_02/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/masks/vp2_vor_bg_49f_REAL_ENV135_00001_006_02/masks,49,49,OK,REAL_ENV135_00001
vp2_vor_bg_49f_REAL_ENV179_00002_003_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/materialized_49f/vp2_vor_bg_49f_REAL_ENV179_00002_003_04/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/masks/vp2_vor_bg_49f_REAL_ENV179_00002_003_04/masks,49,49,OK,REAL_ENV179_00002
vp2_vor_bg_49f_BLENDER_RIVER016_00009,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/materialized_49f/vp2_vor_bg_49f_BLENDER_RIVER016_00009/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/masks/vp2_vor_bg_49f_BLENDER_RIVER016_00009/masks,49,49,OK,BLENDER_RIVER016
vp2_vor_bg_49f_REAL_ENV191_00012_006_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/materialized_49f/vp2_vor_bg_49f_REAL_ENV191_00012_006_04/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/masks/vp2_vor_bg_49f_REAL_ENV191_00012_006_04/masks,49,49,OK,REAL_ENV191_00012
vp2_vor_bg_49f_REAL_ENV205_00001_002_05,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/materialized_49f/vp2_vor_bg_49f_REAL_ENV205_00001_002_05/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/masks/vp2_vor_bg_49f_REAL_ENV205_00001_002_05/masks,49,49,OK,REAL_ENV205_00001
vp2_vor_bg_49f_REAL_ENV222_00101_004_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/materialized_49f/vp2_vor_bg_49f_REAL_ENV222_00101_004_03/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/masks/vp2_vor_bg_49f_REAL_ENV222_00101_004_03/masks,49,49,OK,REAL_ENV222_00101
