sample_id,method_a,method_b,anonymous_sheet,informed_sheet,reviewer_pass,final_class,review_method,reviewed_frames,blind_class,informed_class,spatial_artifact,temporal_artifact,blur,seam,flicker,ghosting,hallucination,outside_damage,first_frame_error,reason
vp2_vor_bg_49f_REAL_ENV109_00002_005_02,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV109_00002_005_02_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV109_00002_005_02_informed.jpg,True,STEP50_CLEARLY_BETTER,blind_anonymous_pages_then_informed_pages,16 temporal samples plus crop sheets; start/mid/end represented in evidence sheets,A_B_review_completed,STEP50_CLEARLY_BETTER,minor_or_no,not_obvious_from_temporal_strips,no_clear_new_blur,no_systematic_seam,not_obvious_from_evidence,not_obvious_from_evidence,no,no_systematic_raw_outside_issue_seen,no,removed Step0 oval residual; no obvious new artifact
vp2_vor_bg_49f_BLENDER_FOREST015_00002,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_BLENDER_FOREST015_00002_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_BLENDER_FOREST015_00002_informed.jpg,True,STEP50_CLEARLY_BETTER,blind_anonymous_pages_then_informed_pages,16 temporal samples plus crop sheets; start/mid/end represented in evidence sheets,A_B_review_completed,STEP50_CLEARLY_BETTER,minor_or_no,not_obvious_from_temporal_strips,no_clear_new_blur,no_systematic_seam,not_obvious_from_evidence,not_obvious_from_evidence,no,no_systematic_raw_outside_issue_seen,no,removed beige oval residual in forest texture
vp2_vor_bg_49f_REAL_ENV193_00001_002_02,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV193_00001_002_02_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV193_00001_002_02_informed.jpg,True,STEP50_CLEARLY_BETTER,blind_anonymous_pages_then_informed_pages,16 temporal samples plus crop sheets; start/mid/end represented in evidence sheets,A_B_review_completed,STEP50_CLEARLY_BETTER,minor_or_no,not_obvious_from_temporal_strips,no_clear_new_blur,no_systematic_seam,not_obvious_from_evidence,not_obvious_from_evidence,no,no_systematic_raw_outside_issue_seen,no,removed bright oval residual on structure
vp2_vor_bg_49f_REAL_ENV171_00001_001_01,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV171_00001_001_01_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV171_00001_001_01_informed.jpg,True,STEP50_SLIGHTLY_BETTER,blind_anonymous_pages_then_informed_pages,16 temporal samples plus crop sheets; start/mid/end represented in evidence sheets,A_B_review_completed,STEP50_SLIGHTLY_BETTER,minor_or_no,not_obvious_from_temporal_strips,minor,minor,not_obvious_from_evidence,not_obvious_from_evidence,no,no_systematic_raw_outside_issue_seen,no,reduced oval residual; minor residual texture
vp2_vor_bg_49f_REAL_ENV135_00001_006_02,step0,step50,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV135_00001_006_02_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV135_00001_006_02_informed.jpg,True,STEP50_SLIGHTLY_BETTER,blind_anonymous_pages_then_informed_pages,16 temporal samples plus crop sheets; start/mid/end represented in evidence sheets,A_B_review_completed,STEP50_SLIGHTLY_BETTER,minor_or_no,not_obvious_from_temporal_strips,minor,minor,not_obvious_from_evidence,not_obvious_from_evidence,no,no_systematic_raw_outside_issue_seen,no,reduced ring residual without clear collapse
vp2_vor_bg_49f_REAL_ENV179_00002_003_04,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV179_00002_003_04_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV179_00002_003_04_informed.jpg,True,STEP50_CLEARLY_BETTER,blind_anonymous_pages_then_informed_pages,16 temporal samples plus crop sheets; start/mid/end represented in evidence sheets,A_B_review_completed,STEP50_CLEARLY_BETTER,minor_or_no,not_obvious_from_temporal_strips,no_clear_new_blur,no_systematic_seam,not_obvious_from_evidence,not_obvious_from_evidence,no,no_systematic_raw_outside_issue_seen,no,removed transparent circular patch on grass/path
vp2_vor_bg_49f_BLENDER_RIVER016_00009,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_BLENDER_RIVER016_00009_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_BLENDER_RIVER016_00009_informed.jpg,True,STEP50_CLEARLY_BETTER,blind_anonymous_pages_then_informed_pages,16 temporal samples plus crop sheets; start/mid/end represented in evidence sheets,A_B_review_completed,STEP50_CLEARLY_BETTER,minor_or_no,not_obvious_from_temporal_strips,no_clear_new_blur,no_systematic_seam,not_obvious_from_evidence,not_obvious_from_evidence,no,no_systematic_raw_outside_issue_seen,no,removed large grey oval residual
vp2_vor_bg_49f_REAL_ENV191_00012_006_04,step0,step50,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV191_00012_006_04_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV191_00012_006_04_informed.jpg,True,STEP50_SLIGHTLY_BETTER,blind_anonymous_pages_then_informed_pages,16 temporal samples plus crop sheets; start/mid/end represented in evidence sheets,A_B_review_completed,STEP50_SLIGHTLY_BETTER,minor_or_no,not_obvious_from_temporal_strips,minor,minor,not_obvious_from_evidence,not_obvious_from_evidence,no,no_systematic_raw_outside_issue_seen,no,reduced circular residual; mild color change
vp2_vor_bg_49f_REAL_ENV205_00001_002_05,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV205_00001_002_05_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV205_00001_002_05_informed.jpg,True,TIE,blind_anonymous_pages_then_informed_pages,16 temporal samples plus crop sheets; start/mid/end represented in evidence sheets,A_B_review_completed,TIE,yes,not_obvious_from_temporal_strips,minor,no_systematic_seam,not_obvious_from_evidence,not_obvious_from_evidence,no,no_systematic_raw_outside_issue_seen,no,Step50 reduces translucent bubble but introduces darker local ring
vp2_vor_bg_49f_REAL_ENV222_00101_004_03,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV222_00101_004_03_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV222_00101_004_03_informed.jpg,True,STEP0_SLIGHTLY_BETTER,blind_anonymous_pages_then_informed_pages,16 temporal samples plus crop sheets; start/mid/end represented in evidence sheets,A_B_review_completed,STEP0_SLIGHTLY_BETTER,yes,not_obvious_from_temporal_strips,no_clear_new_blur,minor,not_obvious_from_evidence,not_obvious_from_evidence,no,no_systematic_raw_outside_issue_seen,no,Step50 introduces purple/color patch on grass texture
