sample_id,method_a,method_b,anonymous_sheet,informed_sheet,reviewer_pass,final_class
vp2_vor_bg_49f_REAL_ENV109_00002_005_02,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV109_00002_005_02_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV109_00002_005_02_informed.jpg,False,VISUAL_REVIEW_PENDING
vp2_vor_bg_49f_BLENDER_FOREST015_00002,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_BLENDER_FOREST015_00002_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_BLENDER_FOREST015_00002_informed.jpg,False,VISUAL_REVIEW_PENDING
vp2_vor_bg_49f_REAL_ENV193_00001_002_02,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV193_00001_002_02_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV193_00001_002_02_informed.jpg,False,VISUAL_REVIEW_PENDING
vp2_vor_bg_49f_REAL_ENV171_00001_001_01,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV171_00001_001_01_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV171_00001_001_01_informed.jpg,False,VISUAL_REVIEW_PENDING
vp2_vor_bg_49f_REAL_ENV135_00001_006_02,step0,step50,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV135_00001_006_02_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV135_00001_006_02_informed.jpg,False,VISUAL_REVIEW_PENDING
vp2_vor_bg_49f_REAL_ENV179_00002_003_04,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV179_00002_003_04_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV179_00002_003_04_informed.jpg,False,VISUAL_REVIEW_PENDING
vp2_vor_bg_49f_BLENDER_RIVER016_00009,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_BLENDER_RIVER016_00009_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_BLENDER_RIVER016_00009_informed.jpg,False,VISUAL_REVIEW_PENDING
vp2_vor_bg_49f_REAL_ENV191_00012_006_04,step0,step50,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV191_00012_006_04_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV191_00012_006_04_informed.jpg,False,VISUAL_REVIEW_PENDING
vp2_vor_bg_49f_REAL_ENV205_00001_002_05,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV205_00001_002_05_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV205_00001_002_05_informed.jpg,False,VISUAL_REVIEW_PENDING
vp2_vor_bg_49f_REAL_ENV222_00101_004_03,step50,step0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV222_00101_004_03_anonymous.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV222_00101_004_03_informed.jpg,False,VISUAL_REVIEW_PENDING
