sample_id,model,video_path,contact_sheet,reviewed_frames,classification,temporal_artifact,spatial_artifact,reason,reviewer_pass,visual_review_status,status,frame_count,full_psnr,mask_psnr,full_ssim,temporal_absdiff_mean,temporal_absdiff_max,black_frame_ratio,mask_profile,area_bucket,motion_bucket,evidence_sheet,crop_sheet
vp2_vor_bg_49f_REAL_ENV242_00112_002_03,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.jpg,0 24 26 40 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,18.17742920664095,17.781773906218422,0.6221299098462475,19.050599416097004,27.49822998046875,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.jpg
vp2_vor_bg_49f_REAL_ENV800_00003_001_02,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.jpg,0 24 40 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,15.602914814553225,13.546217677997424,0.5814687475866201,3.4264927034576735,9.003067970275879,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.jpg
vp2_vor_bg_49f_REAL_ENV246_00108_004_05,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV246_00108_004_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV246_00108_004_05.jpg,0 24 25 44 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,15.445528046794722,14.273844902807681,0.6444120188148654,35.439217199881874,49.79627990722656,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV246_00108_004_05.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV246_00108_004_05.jpg
vp2_vor_bg_49f_REAL_ENV029_00002_006_01,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV029_00002_006_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV029_00002_006_01.jpg,0 24 27 37 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,22.950572717853746,20.983483960971103,0.9054452290340346,3.136861657102903,5.0473737716674805,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV029_00002_006_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV029_00002_006_01.jpg
vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/side_by_side/vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/contact_sheets/vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011.jpg,0 16 23 24 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,21.768677652154153,17.900644847390435,0.7409723595697053,0.8952730987221003,3.6445388793945312,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/evidence_sheets/vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/crop_sheets/vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011.jpg
vp2_vor_bg_49f_REAL_ENV231_00003_003_01,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV231_00003_003_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV231_00003_003_01.jpg,0 23 24 44 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,17.281538160978144,16.495926373829814,0.6088444529747477,14.622947116692862,25.188270568847656,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV231_00003_003_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV231_00003_003_01.jpg
vp2_vor_bg_49f_REAL_ENV248_00114_005_05,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV248_00114_005_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV248_00114_005_05.jpg,0 24 44 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,18.572337060896473,18.78791481967401,0.6568955365492373,19.26772944132487,32.881591796875,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV248_00114_005_05.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV248_00114_005_05.jpg
vp2_vor_bg_49f_REAL_ENV097_00001_001_02,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV097_00001_001_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV097_00001_001_02.jpg,0 24 30 43 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,22.658121009220764,18.45450388259051,0.8633634204767189,7.968860584000747,11.545475959777832,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV097_00001_001_02.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV097_00001_001_02.jpg
vp2_vor_bg_49f_REAL_ENV207_00002_001_01,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV207_00002_001_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV207_00002_001_01.jpg,0 24 28 32 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,19.28562646409365,15.878264298693532,0.7547977043657886,5.783301678796609,12.630096435546875,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV207_00002_001_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV207_00002_001_01.jpg
vp2_vor_bg_49f_REAL_ENV227_00001_005_01,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV227_00001_005_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV227_00001_005_01.jpg,0 16 23 24 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse,false,DENSE_EVIDENCE_GENERATED_HUMAN_REVIEW_REQUIRED,OK,49,20.058421004969173,17.832494158617802,0.6526057939140164,6.742937366167705,11.551637649536133,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV227_00001_005_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step10_vp_primary32_10step_retry1_20260625_151020/step10_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV227_00001_005_01.jpg
