sample_id,scene_group,source_type,mask_bucket,non_empty_mask_frames,mask_area_total,mask_area_median,mask_area_min,mask_area_max,condition_frame_count,winner_frame_count,mask_frame_count,resolution,masked_absdiff_mean,accepted,reject_reason
REAL_ENV249_00103_004_04,REAL_ENV249_00103,REAL,small,0,0.0,0.0,0.0,0.0,17,17,17,512x512,0.0,False,too_few_non_empty_mask_frames;median_mask_area_too_small;all_black_mask;condition_winner_too_similar_inside_mask
REAL_ENV231_00010_003_03,REAL_ENV231_00010,REAL,medium,17,1.5695762634277344,0.09827423095703125,0.019657135009765625,0.14136886596679688,17,17,17,512x512,85.02060071159812,True,
REAL_ENV166_00002_001_02,REAL_ENV166_00002,REAL,large,17,4.718311309814453,0.2854270935058594,0.21574783325195312,0.2998237609863281,17,17,17,512x512,35.61963249655331,True,
BLENDER_FOREST026_00020,BLENDER_FOREST026,BLENDER,small,17,0.2640113830566406,0.01555633544921875,0.014667510986328125,0.016605377197265625,17,17,17,512x512,36.88730307186351,True,
BLENDER_BEDROOM009_00083,BLENDER_BEDROOM009,BLENDER,medium,17,0.4242439270019531,0.0250244140625,0.024738311767578125,0.02509307861328125,17,17,17,512x512,65.78032459932216,True,
BLENDER_FOREST010_00004,BLENDER_FOREST010,BLENDER,large,17,4.665195465087891,0.2751922607421875,0.2664222717285156,0.28022003173828125,17,17,17,512x512,95.23188332950367,True,
REAL_ENV248_00118_005_03,REAL_ENV248_00118,REAL,small,17,0.6088104248046875,0.034763336181640625,0.033298492431640625,0.041584014892578125,17,17,17,512x512,125.43652568143956,True,
REAL_ENV212_00006_001_02,REAL_ENV212_00006,REAL,medium,17,2.8899154663085938,0.17013168334960938,0.1682891845703125,0.17109298706054688,17,17,17,512x512,55.847654679242304,True,
REAL_ENV216_00004_001_02,REAL_ENV216_00004,REAL,large,17,2.870361328125,0.16765975952148438,0.16570281982421875,0.17580413818359375,17,17,17,512x512,86.00061439065372,True,
BLENDER_MOUNTAIN002_00001,BLENDER_MOUNTAIN002,BLENDER,small,17,0.22106552124023438,0.013027191162109375,0.0127105712890625,0.013050079345703125,17,17,17,512x512,173.24037349925322,True,
BLENDER_BEACH036_00001,BLENDER_BEACH036,BLENDER,medium,17,1.0745353698730469,0.06363677978515625,0.061649322509765625,0.06435012817382812,17,17,17,512x512,29.811309590059167,True,
BLENDER_WAREHOUSE001_00004,BLENDER_WAREHOUSE001,BLENDER,large,17,2.283092498779297,0.13418197631835938,0.13016510009765625,0.13695526123046875,17,17,17,512x512,15.506969003116383,True,
REAL_ENV144_00001_002_01,REAL_ENV144_00001,REAL,small,17,0.7049369812011719,0.04152679443359375,0.041088104248046875,0.04160308837890625,17,17,17,512x512,55.58471186020795,True,
REAL_ENV158_00001_006_04,REAL_ENV158_00001,REAL,medium,17,0.9784812927246094,0.057613372802734375,0.05701446533203125,0.057769775390625,17,17,17,512x512,136.62447850844438,True,
REAL_ENV155_00015_003_02,REAL_ENV155_00015,REAL,large,17,5.203773498535156,0.306182861328125,0.3055572509765625,0.3062896728515625,17,17,17,512x512,79.2840441535501,True,
BLENDER_FOREST009_00013,BLENDER_FOREST009,BLENDER,small,17,0.4919700622558594,0.029003143310546875,0.02813720703125,0.029056549072265625,17,17,17,512x512,18.80791967055377,True,
BLENDER_WAREHOUSE018_00001,BLENDER_WAREHOUSE018,BLENDER,medium,17,0.07909393310546875,0.004695892333984375,0.00421142578125,0.004749298095703125,17,17,17,512x512,66.02237432143268,True,
BLENDER_WAREHOUSE024_00004,BLENDER_WAREHOUSE024,BLENDER,large,17,4.403511047363281,0.2590141296386719,0.2587242126464844,0.2594566345214844,17,17,17,512x512,53.16498947143555,True,
REAL_ENV005_00003_003_05,REAL_ENV005_00003,REAL,small,17,0.8988227844238281,0.050655364990234375,0.04587554931640625,0.06350326538085938,17,17,17,512x512,49.772514792049634,True,
REAL_ENV198_00006_001_02,REAL_ENV198_00006,REAL,medium,17,3.8987045288085938,0.22910308837890625,0.20751571655273438,0.2539863586425781,17,17,17,512x512,110.96803552964154,True,
REAL_ENV167_00007_001_04,REAL_ENV167_00007,REAL,large,17,4.537956237792969,0.2654457092285156,0.2620277404785156,0.2775115966796875,17,17,17,512x512,42.14599183026482,True,
BLENDER_RIVER001_00002,BLENDER_RIVER001,BLENDER,small,17,0.9127006530761719,0.054046630859375,0.05062103271484375,0.0559539794921875,17,17,17,512x512,87.53294193043428,True,
BLENDER_CARTOON002_00001,BLENDER_CARTOON002,BLENDER,medium,17,1.2103729248046875,0.07126235961914062,0.07071685791015625,0.07141494750976562,17,17,17,512x512,72.54886537439683,True,
BLENDER_BEACH030_00003,BLENDER_BEACH030,BLENDER,large,17,2.737163543701172,0.16107940673828125,0.15990829467773438,0.16115188598632812,17,17,17,512x512,91.76859373204849,True,
REAL_ENV097_00001_002_02,REAL_ENV097_00001,REAL,small,17,0.12630844116210938,0.007396697998046875,0.00705718994140625,0.00794219970703125,17,17,17,512x512,15.506517129785875,True,
REAL_ENV239_00102_001_01,REAL_ENV239_00102,REAL,medium,17,4.099967956542969,0.2413330078125,0.22681427001953125,0.2544670104980469,17,17,17,512x512,57.03364450791303,True,
REAL_ENV172_00008_007_01,REAL_ENV172_00008,REAL,large,17,3.5780410766601562,0.20977401733398438,0.18629837036132812,0.23932647705078125,17,17,17,512x512,34.909803839290845,True,
BLENDER_WAREHOUSE012_00766,BLENDER_WAREHOUSE012,BLENDER,small,0,0.0,0.0,0.0,0.0,17,17,17,512x512,0.0,False,too_few_non_empty_mask_frames;median_mask_area_too_small;all_black_mask;condition_winner_too_similar_inside_mask
BLENDER_DESERT004_00001,BLENDER_DESERT004,BLENDER,medium,17,0.7860603332519531,0.046314239501953125,0.0449371337890625,0.046421051025390625,17,17,17,512x512,63.67430316700655,True,
BLENDER_WAREHOUSE005_00005,BLENDER_WAREHOUSE005,BLENDER,large,17,1.6647872924804688,0.09794235229492188,0.09640884399414062,0.09850311279296875,17,17,17,512x512,58.860643947825714,True,
REAL_ENV242_00110_001_04,REAL_ENV242_00110,REAL,small,17,3.0895767211914062,0.17827987670898438,0.15576553344726562,0.20830154418945312,17,17,17,512x512,64.29107867970185,True,
REAL_ENV194_00006_003_05,REAL_ENV194_00006,REAL,medium,17,0.14196395874023438,0.009548187255859375,0.004566192626953125,0.010524749755859375,17,17,17,512x512,68.13514081169578,True,
