condition_frame_dir,elapsed_sec,height,iterations,mask_area_mean,mask_bucket,mask_frame_dir,model_frames,num_frames,num_inference_steps,num_shards,output_frame_dir,output_sha256_prefix,raw_mp4,sample_id,scene_group,seed,side_by_side_mp4,source_type,status,temporal_strip_16,width,winner_frame_dir,worker_shard,full_psnr,mask_psnr,outside_psnr,mask_mae,outside_mae,output_temporal_absdiff,winner_temporal_absdiff,review_method,reviewed_frames,classification,reason
/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST021_00002/condition_frames,5.275,512,6,0.0670163771685432,unknown,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST021_00002/mask_frames,17,17,12,1,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST021_00002/seed_20260627/frames,b08ef734c9433a25,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST021_00002/seed_20260627/evidence/raw_output.mp4,BLENDER_FOREST021_00002,BLENDER_FOREST021,20260627,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST021_00002/seed_20260627/evidence/side_by_side.mp4,BLENDER,OK,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST021_00002/seed_20260627/evidence/temporal_strip_16.jpg,512,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST021_00002/winner_frames,0,28.273554303475155,21.239791937890082,29.77092272050563,16.177037295173196,5.237998373368207,1.6062488555908203,0.06469297409057617,dense_temporal_strip_plus_metric_preclassification,0-16,TRIVIAL_BAD,temporal instability much higher than winner
/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST022_00001/condition_frames,9.558,512,6,0.013962689568014705,unknown,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST022_00001/mask_frames,17,17,12,1,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST022_00001/seed_20260627/frames,2a31863488a16f6d,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST022_00001/seed_20260627/evidence/raw_output.mp4,BLENDER_FOREST022_00001,BLENDER_FOREST022,20260627,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST022_00001/seed_20260627/evidence/side_by_side.mp4,BLENDER,OK,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST022_00001/seed_20260627/evidence/temporal_strip_16.jpg,512,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST022_00001/winner_frames,0,27.067772801766267,12.60337091134629,29.171823697877947,43.250275780172906,5.537701775045956,1.5158449411392212,0.021732885390520096,dense_temporal_strip_plus_metric_preclassification,0-16,TRIVIAL_BAD,temporal instability much higher than winner
/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST023_00001/condition_frames,13.481,512,6,0.0848687115837546,unknown,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST023_00001/mask_frames,17,17,12,1,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST023_00001/seed_20260627/frames,4a53e1c6b378e6b1,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST023_00001/seed_20260627/evidence/raw_output.mp4,BLENDER_FOREST023_00001,BLENDER_FOREST023,20260627,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST023_00001/seed_20260627/evidence/side_by_side.mp4,BLENDER,OK,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST023_00001/seed_20260627/evidence/temporal_strip_16.jpg,512,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST023_00001/winner_frames,0,33.161803030860796,26.350392999595396,35.05162885959536,8.272640733157887,2.598723355461569,0.6146136522293091,0.01423152256757021,dense_temporal_strip_plus_metric_preclassification,0-16,TRIVIAL_BAD,temporal instability much higher than winner
/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST024_00001/condition_frames,17.493,512,6,0.18492552813361673,unknown,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST024_00001/mask_frames,17,17,12,1,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST024_00001/seed_20260627/frames,31fd791b67c2b4a2,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST024_00001/seed_20260627/evidence/raw_output.mp4,BLENDER_FOREST024_00001,BLENDER_FOREST024,20260627,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST024_00001/seed_20260627/evidence/side_by_side.mp4,BLENDER,OK,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST024_00001/seed_20260627/evidence/temporal_strip_16.jpg,512,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST024_00001/winner_frames,0,15.129107283463732,8.67001925128627,21.65973885974211,77.33288304946002,13.604124013115378,5.0032172203063965,0.01006174087524414,dense_temporal_strip_plus_metric_preclassification,0-16,TRIVIAL_BAD,systematic outside damage
/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST025_00001/condition_frames,21.485,512,6,0.025972927317899817,unknown,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST025_00001/mask_frames,17,17,12,1,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST025_00001/seed_20260627/frames,19efd86df4d83af5,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST025_00001/seed_20260627/evidence/raw_output.mp4,BLENDER_FOREST025_00001,BLENDER_FOREST025,20260627,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST025_00001/seed_20260627/evidence/side_by_side.mp4,BLENDER,OK,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST025_00001/seed_20260627/evidence/temporal_strip_16.jpg,512,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST025_00001/winner_frames,0,21.05097779401435,25.362647433808583,20.97880010842573,7.569073144127341,6.330446187187643,0.7148761749267578,0.021782636642456055,dense_temporal_strip_plus_metric_preclassification,0-16,TRIVIAL_BAD,systematic outside damage
/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST028_00001/condition_frames,25.488,512,6,0.008539985207950367,unknown,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST028_00001/mask_frames,17,17,12,1,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST028_00001/seed_20260627/frames,3e99196da80886f6,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST028_00001/seed_20260627/evidence/raw_output.mp4,BLENDER_FOREST028_00001,BLENDER_FOREST028,20260627,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST028_00001/seed_20260627/evidence/side_by_side.mp4,BLENDER,OK,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST028_00001/seed_20260627/evidence/temporal_strip_16.jpg,512,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST028_00001/winner_frames,0,33.662576630135106,30.778410725311165,33.69801275097929,5.755550524767707,3.074931397157557,1.1930441856384277,0.024814367294311523,dense_temporal_strip_plus_metric_preclassification,0-16,TOO_CLOSE,candidate too close to clean winner in task mask
/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST030_00001/condition_frames,29.027,512,6,0.3477136948529412,unknown,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST030_00001/mask_frames,17,17,12,1,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST030_00001/seed_20260627/frames,945e260240066b82,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST030_00001/seed_20260627/evidence/raw_output.mp4,BLENDER_FOREST030_00001,BLENDER_FOREST030,20260627,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST030_00001/seed_20260627/evidence/side_by_side.mp4,BLENDER,OK,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST030_00001/seed_20260627/evidence/temporal_strip_16.jpg,512,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST030_00001/winner_frames,0,25.305206231245858,21.63362726266012,30.664489853783294,12.799282522762523,3.9255416253033806,0.29529911279678345,0.011708498001098633,dense_temporal_strip_plus_metric_preclassification,0-16,TRIVIAL_BAD,temporal instability much higher than winner
/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST034_00001/condition_frames,33.165,512,6,0.04413829130284926,unknown,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST034_00001/mask_frames,17,17,12,1,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST034_00001/seed_20260627/frames,28eb2c70af75dea9,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST034_00001/seed_20260627/evidence/raw_output.mp4,BLENDER_FOREST034_00001,BLENDER_FOREST034,20260627,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST034_00001/seed_20260627/evidence/side_by_side.mp4,BLENDER,OK,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST034_00001/seed_20260627/evidence/temporal_strip_16.jpg,512,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/BLENDER_FOREST034_00001/winner_frames,0,24.069019060485214,17.21947045949541,24.9173646624883,21.2894848094267,5.755192504209631,1.5147277116775513,0.014679749496281147,dense_temporal_strip_plus_metric_preclassification,0-16,TRIVIAL_BAD,temporal instability much higher than winner
/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/REAL_ENV046_00006_001_01/condition_frames,36.891,512,6,0.3391546361586627,unknown,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/REAL_ENV046_00006_001_01/mask_frames,17,17,12,1,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/REAL_ENV046_00006_001_01/seed_20260627/frames,ae2c106fbc732248,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/REAL_ENV046_00006_001_01/seed_20260627/evidence/raw_output.mp4,REAL_ENV046_00006_001_01,REAL_ENV046_00006,20260627,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/REAL_ENV046_00006_001_01/seed_20260627/evidence/side_by_side.mp4,REAL,OK,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/REAL_ENV046_00006_001_01/seed_20260627/evidence/temporal_strip_16.jpg,512,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/REAL_ENV046_00006_001_01/winner_frames,0,20.48184000512871,16.35798165622057,27.76609829942649,33.000578487620636,6.267129421234131,0.5877498388290405,0.44763264060020447,dense_temporal_strip_plus_metric_preclassification,0-16,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation
/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/REAL_ENV046_00007_001_01/condition_frames,40.552,512,6,0.025632297291475183,unknown,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/REAL_ENV046_00007_001_01/mask_frames,17,17,12,1,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/REAL_ENV046_00007_001_01/seed_20260627/frames,f2152a03a5d49982,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/REAL_ENV046_00007_001_01/seed_20260627/evidence/raw_output.mp4,REAL_ENV046_00007_001_01,REAL_ENV046_00007,20260627,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/REAL_ENV046_00007_001_01/seed_20260627/evidence/side_by_side.mp4,REAL,OK,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/REAL_ENV046_00007_001_01/seed_20260627/evidence/temporal_strip_16.jpg,512,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/materialized_sources/REAL_ENV046_00007_001_01/winner_frames,0,21.90665112949233,14.80177596091718,22.49747648001604,36.66566298989689,7.476175448473762,1.414035439491272,0.267333447933197,dense_temporal_strip_plus_metric_preclassification,0-16,TRIVIAL_BAD,systematic outside damage
