sample_id,model,profile_or_seed,classification_final,technical_valid,usable,source,mask_psnr,outside_psnr,temporal_ratio,evidence
BLENDER_FOREST006_00001,controlled_corruption_v3,CC-v3-B,TRIVIAL_BAD,yes,no,controlled_v3_primary,19.344719517180724,55.01847182332473,6.933753249570509,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST006_00001/evidence/temporal_strip_16.jpg
BLENDER_FOREST007_00001,controlled_corruption_v3,CC-v3-B,MEDIUM_HARD_ELIGIBLE,yes,yes,controlled_v3_primary,15.80973103642649,47.48271675871625,0.8590283697390885,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST007_00001/evidence/temporal_strip_16.jpg
BLENDER_FOREST008_00001,controlled_corruption_v3,CC-v3-B,TRIVIAL_BAD,yes,no,controlled_v3_primary,20.636611952663532,47.72794973850805,5.418688438774351,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST008_00001/evidence/temporal_strip_16.jpg
BLENDER_FOREST015_00001,controlled_corruption_v3,CC-v3-A,MEDIUM_HARD_ELIGIBLE,yes,yes,controlled_v3_primary,22.633894106622108,54.98828641598319,2.244723010764777,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-A/BLENDER_FOREST015_00001/evidence/temporal_strip_16.jpg
BLENDER_FOREST016_00001,controlled_corruption_v3,CC-v3-B,TRIVIAL_BAD,yes,no,controlled_v3_primary,20.208074690742823,53.942126645457286,18.32620870787708,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST016_00001/evidence/temporal_strip_16.jpg
BLENDER_FOREST017_00001,controlled_corruption_v3,CC-v3-B,MEDIUM_HARD_ELIGIBLE,yes,yes,controlled_v3_primary,18.773336373481097,62.51420673541693,1.3570405266612475,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST017_00001/evidence/temporal_strip_16.jpg
BLENDER_FOREST018_00001,controlled_corruption_v3,CC-v3-B,MEDIUM_HARD_ELIGIBLE,yes,yes,controlled_v3_primary,27.57497192083902,61.13957487830861,2.1262506216149726,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST018_00001/evidence/temporal_strip_16.jpg
BLENDER_FOREST019_00001,controlled_corruption_v3,CC-v3-B,MEDIUM_HARD_ELIGIBLE,yes,yes,controlled_v3_primary,20.839422413607675,57.36676869070875,1.5863926500467804,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST019_00001/evidence/temporal_strip_16.jpg
REAL_ENV044_00005_001_01,controlled_corruption_v3,CC-v3-B,MEDIUM_HARD_ELIGIBLE,yes,yes,controlled_v3_primary,15.776359056428479,47.205590978301345,1.0149927674313015,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/REAL_ENV044_00005_001_01/evidence/temporal_strip_16.jpg
REAL_ENV045_00001_001_01,controlled_corruption_v3,CC-v3-B,MEDIUM_HARD_ELIGIBLE,yes,yes,controlled_v3_primary,21.65917804686305,49.836075979736144,1.1633351981569722,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/REAL_ENV045_00001_001_01/evidence/temporal_strip_16.jpg
