sample_id,model,profile_or_seed,classification_final,technical_valid,usable,source,mask_psnr,outside_psnr,temporal_ratio,evidence,visual_reason
BLENDER_FOREST021_00002,propainter,official_full16,MEDIUM_HARD_ELIGIBLE,yes,yes,verified_generator_full16,21.751491084558094,36.04885638338743,1.973484799625565,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST021_00002_review.jpg,visual review: bounded local residual/texture defect with acceptable outside preservation
BLENDER_FOREST022_00001,propainter,official_full16,HARD_BUT_PLAUSIBLE,yes,yes,verified_generator_full16,13.996153838346558,37.758381760612046,2.214756670392605,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST022_00001_review.jpg,visual review: bounded local residual/texture defect with acceptable outside preservation
BLENDER_FOREST023_00001,minimax_official_v3,seed20260627,TRIVIAL_BAD,yes,no,minimax_v3_seed20260627,26.350392999595396,35.05162885959536,43.186781267511556,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST023_00001/seed_20260627/evidence/temporal_strip_16.jpg,temporal instability much higher than winner
BLENDER_FOREST024_00001,controlled_corruption_v3,CC-v3-B,TRIVIAL_BAD,yes,no,controlled_v3_primary,24.357550769110574,47.716823031818144,23.53375136249467,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST024_00001/evidence/temporal_strip_16.jpg,temporal instability too high
BLENDER_FOREST025_00001,controlled_corruption_v3,CC-v3-B,TRIVIAL_BAD,yes,no,controlled_v3_primary,16.95082594331466,52.59437015528688,2.600768363560741,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST025_00001/evidence/temporal_strip_16.jpg,temporal instability too high
BLENDER_FOREST028_00001,propainter,official_full16,MEDIUM_HARD_ELIGIBLE,yes,yes,verified_generator_full16,23.4732184134419,38.45269039082219,2.0528060415645806,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST028_00001_review.jpg,visual review: bounded local residual/texture defect with acceptable outside preservation
BLENDER_FOREST030_00001,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,17.663745818885328,31.160366402876413,32.48582999042945,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST030_00001_review.jpg,"visual review: too strong, too clean, or visible artifact; not medium-hard"
BLENDER_FOREST034_00001,controlled_corruption_v3,CC-v3-B,TRIVIAL_BAD,yes,no,controlled_v3_primary,17.726969959115205,47.25856984257648,6.46447511559414,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST034_00001/evidence/temporal_strip_16.jpg,temporal instability too high
REAL_ENV046_00006_001_01,minimax_official_v3,seed20260627,MEDIUM_HARD_ELIGIBLE,yes,yes,minimax_v3_seed20260627,16.35798165622057,27.76609829942649,1.3130182777577637,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/REAL_ENV046_00006_001_01/seed_20260627/evidence/temporal_strip_16.jpg,finite local defect with acceptable outside preservation
REAL_ENV046_00007_001_01,controlled_corruption_v3,CC-v3-B,MEDIUM_HARD_ELIGIBLE,yes,yes,controlled_v3_primary,18.659158528641274,55.28432901173875,1.4161037486028774,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/REAL_ENV046_00007_001_01/evidence/temporal_strip_16.jpg,local residual with clean outside
REAL_ENV047_00001_001_01,controlled_corruption_v3,CC-v3-B,MEDIUM_HARD_ELIGIBLE,yes,yes,controlled_v3_primary,18.948767010386543,59.81411342337362,1.153859901614928,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/REAL_ENV047_00001_001_01/evidence/temporal_strip_16.jpg,local residual with clean outside
REAL_ENV047_00003_001_01,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,15.402845667364902,10.136278826135234,45.00519646351125,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV047_00003_001_01_review.jpg,"visual review: too strong, too clean, or visible artifact; not medium-hard"
REAL_ENV049_00001_001_01,controlled_corruption_v3,CC-v3-B,MEDIUM_HARD_ELIGIBLE,yes,yes,controlled_v3_primary,19.78588818223105,52.044223366330534,1.1651193410708602,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/REAL_ENV049_00001_001_01/evidence/temporal_strip_16.jpg,local residual with clean outside
REAL_ENV049_00002_001_01,controlled_corruption_v3,CC-v3-B,MEDIUM_HARD_ELIGIBLE,yes,yes,controlled_v3_primary,19.89940819591853,55.98296264492089,1.081815406270878,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/REAL_ENV049_00002_001_01/evidence/temporal_strip_16.jpg,local residual with clean outside
REAL_ENV054_00002_001_01,controlled_corruption_v3,CC-v3-B,MEDIUM_HARD_ELIGIBLE,yes,yes,controlled_v3_primary,23.98865268544113,75.69963059580743,1.6273233798545264,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/REAL_ENV054_00002_001_01/evidence/temporal_strip_16.jpg,local residual with clean outside
REAL_ENV055_00001_001_01,controlled_corruption_v3,CC-v3-B,MEDIUM_HARD_ELIGIBLE,yes,yes,controlled_v3_primary,17.189156615469784,45.160865601110686,1.5229412672531217,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/REAL_ENV055_00001_001_01/evidence/temporal_strip_16.jpg,local residual with clean outside
