sample_id,model,classification_final,technical_valid,usable,mask_psnr,outside_psnr,temporal_ratio,source,profile_or_seed,evidence
BLENDER_FOREST021_00002,controlled_corruption_v3,TRIVIAL_BAD,yes,no,23.294792328151427,55.37876868532836,2.8495427357357137,controlled_v3_primary,CC-v3-B,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST021_00002/evidence/temporal_strip_16.jpg
BLENDER_FOREST021_00002,diffueraser,TRIVIAL_BAD,yes,no,19.61877415350376,30.147254567563067,4.4553073243360775,verified_generator_full16,official_full16,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST021_00002_review.jpg
BLENDER_FOREST021_00002,minimax_official_v3,TRIVIAL_BAD,yes,no,21.239791937890082,29.77092272050563,24.828799080127663,minimax_v3_seed20260627,seed20260627,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST021_00002/seed_20260627/evidence/temporal_strip_16.jpg
BLENDER_FOREST021_00002,propainter,MEDIUM_HARD_ELIGIBLE,yes,yes,21.751491084558094,36.04885638338743,1.973484799625565,verified_generator_full16,official_full16,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST021_00002_review.jpg
BLENDER_FOREST022_00001,controlled_corruption_v3,TRIVIAL_BAD,yes,no,16.181162993892755,52.25175849227977,3.004052022351517,controlled_v3_primary,CC-v3-B,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST022_00001/evidence/temporal_strip_16.jpg
BLENDER_FOREST022_00001,diffueraser,TRIVIAL_BAD,yes,no,14.070947783456146,29.74127661899635,17.88982798231776,verified_generator_full16,official_full16,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST022_00001_review.jpg
BLENDER_FOREST022_00001,minimax_official_v3,TRIVIAL_BAD,yes,no,12.60337091134629,29.171823697877947,69.74890420212836,minimax_v3_seed20260627,seed20260627,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST022_00001/seed_20260627/evidence/temporal_strip_16.jpg
BLENDER_FOREST022_00001,propainter,HARD_BUT_PLAUSIBLE,yes,yes,13.996153838346558,37.758381760612046,2.214756670392605,verified_generator_full16,official_full16,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST022_00001_review.jpg
BLENDER_FOREST023_00001,controlled_corruption_v3,TRIVIAL_BAD,yes,no,27.73996540447595,56.178459404753525,8.95910648668433,controlled_v3_primary,CC-v3-B,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST023_00001/evidence/temporal_strip_16.jpg
BLENDER_FOREST023_00001,diffueraser,TRIVIAL_BAD,yes,no,27.83567912254823,32.74198499374107,4.788176884717021,verified_generator_full16,official_full16,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST023_00001_review.jpg
BLENDER_FOREST023_00001,minimax_official_v3,TRIVIAL_BAD,yes,no,26.350392999595396,35.05162885959536,43.186781267511556,minimax_v3_seed20260627,seed20260627,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST023_00001/seed_20260627/evidence/temporal_strip_16.jpg
BLENDER_FOREST023_00001,propainter,TRIVIAL_BAD,yes,no,31.0532347779978,38.848909998728615,5.310921857700104,verified_generator_full16,official_full16,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST023_00001_review.jpg
BLENDER_FOREST024_00001,controlled_corruption_v3,TRIVIAL_BAD,yes,no,24.357550769110574,47.716823031818144,23.53375136249467,controlled_v3_primary,CC-v3-B,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST024_00001/evidence/temporal_strip_16.jpg
