sample_id,scene_group,source_type,decoded_frames,width,height,mask_area_mean,mask_area_max,affected_mae_mask_mean,source_temporal_strip_16,status
BLENDER_FOREST021_00002,BLENDER_FOREST021,BLENDER,17,512,512,0.0670163771685432,0.06812286376953125,41.361832338220935,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/BLENDER_FOREST021_00002/source_temporal_strip_16.jpg,OK
BLENDER_FOREST022_00001,BLENDER_FOREST022,BLENDER,17,512,512,0.013962689568014705,0.01450347900390625,79.21201863008388,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/BLENDER_FOREST022_00001/source_temporal_strip_16.jpg,OK
BLENDER_FOREST023_00001,BLENDER_FOREST023,BLENDER,17,512,512,0.0848687115837546,0.08648681640625,25.283592224121094,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/BLENDER_FOREST023_00001/source_temporal_strip_16.jpg,OK
BLENDER_FOREST024_00001,BLENDER_FOREST024,BLENDER,17,512,512,0.18492552813361673,0.18519973754882812,1.0780833819333244,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/BLENDER_FOREST024_00001/source_temporal_strip_16.jpg,OK
BLENDER_FOREST025_00001,BLENDER_FOREST025,BLENDER,17,512,512,0.025972927317899817,0.02600860595703125,105.15745409797219,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/BLENDER_FOREST025_00001/source_temporal_strip_16.jpg,OK
BLENDER_FOREST028_00001,BLENDER_FOREST028,BLENDER,17,512,512,0.008539985207950367,0.009174346923828125,31.39979373707491,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/BLENDER_FOREST028_00001/source_temporal_strip_16.jpg,OK
BLENDER_FOREST030_00001,BLENDER_FOREST030,BLENDER,17,512,512,0.3477136948529412,0.3511085510253906,25.15084244223202,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/BLENDER_FOREST030_00001/source_temporal_strip_16.jpg,OK
BLENDER_FOREST034_00001,BLENDER_FOREST034,BLENDER,17,512,512,0.04413829130284926,0.04479217529296875,72.8032756132238,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/BLENDER_FOREST034_00001/source_temporal_strip_16.jpg,OK
REAL_ENV046_00006_001_01,REAL_ENV046_00006,REAL,17,512,512,0.3391546361586627,0.34389495849609375,43.212037927964154,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/REAL_ENV046_00006_001_01/source_temporal_strip_16.jpg,OK
REAL_ENV046_00007_001_01,REAL_ENV046_00007,REAL,17,512,512,0.025632297291475183,0.0264892578125,70.02162910910214,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/REAL_ENV046_00007_001_01/source_temporal_strip_16.jpg,OK
REAL_ENV047_00001_001_01,REAL_ENV047_00001,REAL,17,512,512,0.036103192497702205,0.0370635986328125,77.40137571447036,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/REAL_ENV047_00001_001_01/source_temporal_strip_16.jpg,OK
REAL_ENV047_00003_001_01,REAL_ENV047_00003,REAL,17,512,512,0.09264463536879596,0.27374267578125,62.436279296875,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/REAL_ENV047_00003_001_01/source_temporal_strip_16.jpg,OK
REAL_ENV049_00001_001_01,REAL_ENV049_00001,REAL,17,512,512,0.07511946734260111,0.07564163208007812,62.08606203864603,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/REAL_ENV049_00001_001_01/source_temporal_strip_16.jpg,OK
REAL_ENV049_00002_001_01,REAL_ENV049_00002,REAL,17,512,512,0.02028476490693934,0.020565032958984375,65.88520857867073,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/REAL_ENV049_00002_001_01/source_temporal_strip_16.jpg,OK
REAL_ENV054_00002_001_01,REAL_ENV054_00002,REAL,17,512,512,0.029356563792509192,0.0999755859375,22.094646453857422,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/REAL_ENV054_00002_001_01/source_temporal_strip_16.jpg,OK
REAL_ENV055_00001_001_01,REAL_ENV055_00001,REAL,17,512,512,0.6900975844439339,0.7136917114257812,91.54024774887982,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/materialized_17f_512/source_evidence/REAL_ENV055_00001_001_01/source_temporal_strip_16.jpg,OK
