smoke32_index,sample_id,scene_group,source_type,mask_bucket,effect_type,condition_member_path,winner_member_path,mask_member_path,_source_pool_path,selection_reason
0,BLENDER_FOREST021_00002,BLENDER_FOREST021,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST021_00002.mp4,VOR-Train/BG/BLENDER_FOREST021_00002.mp4,MASK/BLENDER_FOREST021_00002.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_confirmation_from_source_pool_v2_excluding_smoke16_and_known_invalid
1,BLENDER_FOREST022_00001,BLENDER_FOREST022,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST022_00001.mp4,VOR-Train/BG/BLENDER_FOREST022_00001.mp4,MASK/BLENDER_FOREST022_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_confirmation_from_source_pool_v2_excluding_smoke16_and_known_invalid
2,BLENDER_FOREST023_00001,BLENDER_FOREST023,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST023_00001.mp4,VOR-Train/BG/BLENDER_FOREST023_00001.mp4,MASK/BLENDER_FOREST023_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_confirmation_from_source_pool_v2_excluding_smoke16_and_known_invalid
3,BLENDER_FOREST024_00001,BLENDER_FOREST024,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST024_00001.mp4,VOR-Train/BG/BLENDER_FOREST024_00001.mp4,MASK/BLENDER_FOREST024_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_confirmation_from_source_pool_v2_excluding_smoke16_and_known_invalid
4,BLENDER_FOREST025_00001,BLENDER_FOREST025,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST025_00001.mp4,VOR-Train/BG/BLENDER_FOREST025_00001.mp4,MASK/BLENDER_FOREST025_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_confirmation_from_source_pool_v2_excluding_smoke16_and_known_invalid
5,BLENDER_FOREST028_00001,BLENDER_FOREST028,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST028_00001.mp4,VOR-Train/BG/BLENDER_FOREST028_00001.mp4,MASK/BLENDER_FOREST028_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_confirmation_from_source_pool_v2_excluding_smoke16_and_known_invalid
6,BLENDER_FOREST030_00001,BLENDER_FOREST030,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST030_00001.mp4,VOR-Train/BG/BLENDER_FOREST030_00001.mp4,MASK/BLENDER_FOREST030_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_confirmation_from_source_pool_v2_excluding_smoke16_and_known_invalid
7,BLENDER_FOREST034_00001,BLENDER_FOREST034,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST034_00001.mp4,VOR-Train/BG/BLENDER_FOREST034_00001.mp4,MASK/BLENDER_FOREST034_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_confirmation_from_source_pool_v2_excluding_smoke16_and_known_invalid
8,REAL_ENV046_00006_001_01,REAL_ENV046_00006,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV046_00006_001_01.mp4,VOR-Train/BG/REAL_ENV046_00006_001_01.mp4,MASK/REAL_ENV046_00006_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_confirmation_from_source_pool_v2_excluding_smoke16_and_known_invalid
9,REAL_ENV046_00007_001_01,REAL_ENV046_00007,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV046_00007_001_01.mp4,VOR-Train/BG/REAL_ENV046_00007_001_01.mp4,MASK/REAL_ENV046_00007_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_confirmation_from_source_pool_v2_excluding_smoke16_and_known_invalid
