group,member_path,sample_id,type,size,status,reason,output_path
VOR-Train,VOR-Train/BG/REAL_ENV046_00006_001_01.mp4,REAL_ENV046_00006_001_01,file,579879,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV046_00006_001_01.mp4
VOR-Train,VOR-Train/BG/BLENDER_FOREST021_00002.mp4,BLENDER_FOREST021_00002,file,712686,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_FOREST021_00002.mp4
VOR-Train,VOR-Train/BG/BLENDER_FOREST024_00001.mp4,BLENDER_FOREST024_00001,file,919970,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_FOREST024_00001.mp4
VOR-Train,VOR-Train/BG/BLENDER_FOREST030_00001.mp4,BLENDER_FOREST030_00001,file,240560,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_FOREST030_00001.mp4
VOR-Train,VOR-Train/BG/REAL_ENV046_00007_001_01.mp4,REAL_ENV046_00007_001_01,file,444729,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV046_00007_001_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV055_00001_001_01.mp4,REAL_ENV055_00001_001_01,file,494584,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV055_00001_001_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV049_00001_001_01.mp4,REAL_ENV049_00001_001_01,file,653818,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV049_00001_001_01.mp4
VOR-Train,VOR-Train/BG/BLENDER_FOREST025_00001.mp4,BLENDER_FOREST025_00001,file,300596,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_FOREST025_00001.mp4
VOR-Train,VOR-Train/BG/REAL_ENV049_00002_001_01.mp4,REAL_ENV049_00002_001_01,file,672089,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV049_00002_001_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV054_00002_001_01.mp4,REAL_ENV054_00002_001_01,file,378213,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV054_00002_001_01.mp4
