model,sample_id,status,frames,full_psnr,mask_psnr,outside_psnr,mask_mae,outside_mae,output_temporal_absdiff,winner_temporal_absdiff,temporal_ratio,classification_auto,auto_reason,output_dir
propainter,BLENDER_FOREST006_00001,OK,17,25.11081303056379,16.167561732465924,25.58290010850162,30.707416871014765,4.394142038681927,0.02018062397837639,0.003464619629085064,5.824773319692149,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST006_00001
diffueraser,BLENDER_FOREST006_00001,OK,17,23.790740039733944,15.631770195687368,24.1696451690525,33.93387087653665,8.673953561221852,0.4342844486236572,0.003464619629085064,125.34837734506024,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST006_00001
propainter,BLENDER_FOREST007_00001,OK,17,21.40132676544831,17.726963483191266,24.90855654527001,25.529052397784064,5.463765032151166,2.106790781021118,2.2157416343688965,0.9508287195321803,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST007_00001
diffueraser,BLENDER_FOREST007_00001,OK,17,19.662442149640096,15.46519178427919,24.589193140445552,32.013735827277685,7.927290159113267,1.744582176208496,2.2157416343688965,0.7873581238660078,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST007_00001
propainter,BLENDER_FOREST008_00001,OK,17,23.3199337192568,14.647705477905854,25.295145080844378,32.993614196777344,5.529785296496223,0.057859182357788086,0.015848318114876747,3.6508089967903863,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST008_00001
diffueraser,BLENDER_FOREST008_00001,OK,17,22.785785117278202,14.967122569267834,24.274154823590237,31.800482581643497,8.234257277320413,0.42703136801719666,0.015848318114876747,26.944901340435877,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST008_00001
propainter,BLENDER_FOREST015_00001,OK,17,31.406300710746866,20.62457198289698,35.98554580023916,18.24356191298541,2.1068544808556053,0.08739002794027328,0.025448083877563477,3.43405139501766,TRIVIAL_BAD,temporal instability,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST015_00001
diffueraser,BLENDER_FOREST015_00001,OK,17,28.034055611166032,18.7070547387947,30.62628482356933,22.792887855978574,5.492477473090677,0.24365592002868652,0.025448083877563477,9.574627355087738,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST015_00001
propainter,BLENDER_FOREST016_00001,OK,17,20.257352908107336,16.856153406856308,20.608619827619982,29.60260783924776,8.49921708948472,0.07308919727802277,0.004535833839327097,16.113729000457774,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST016_00001
diffueraser,BLENDER_FOREST016_00001,OK,17,19.617637277373692,18.011892839620717,19.74656027826104,24.82346602047191,13.254824021283317,0.5438326001167297,0.004535833839327097,119.89694053638631,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST016_00001
propainter,BLENDER_FOREST017_00001,OK,17,36.7696091434323,29.952712952454323,36.92108838535347,4.942755502813003,2.228915200513952,0.05299520492553711,0.03846915811300278,1.3776024099582376,MEDIUM_HARD_ELIGIBLE,bounded local defect,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST017_00001
diffueraser,BLENDER_FOREST017_00001,OK,17,31.49394873558705,28.095525271065835,31.54108239947937,6.668564319610596,5.088769968818216,0.32127904891967773,0.03846915811300278,8.351600728456901,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST017_00001
propainter,BLENDER_FOREST018_00001,OK,17,38.69187512757094,26.064235102310636,40.766525586015156,9.385331546559053,1.3596672380671782,0.05194767192006111,0.02475826069712639,2.098195529788993,MEDIUM_HARD_ELIGIBLE,bounded local defect,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST018_00001
diffueraser,BLENDER_FOREST018_00001,OK,17,31.528130298066998,25.427913927355483,31.83164490065505,9.369597098406624,5.059047586777631,0.2164064347743988,0.02475826069712639,8.740776964171655,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST018_00001
propainter,BLENDER_FOREST019_00001,OK,17,29.456406926565876,16.123179808270507,30.837864605620666,32.220369563383215,3.6231447949128994,0.4291303753852844,0.034146785736083984,12.567226054656407,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST019_00001
diffueraser,BLENDER_FOREST019_00001,OK,17,28.070264359262758,16.223428041495932,28.981504441346992,29.76969337463379,5.803636410657098,0.7542087435722351,0.034146785736083984,22.087254402256637,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST019_00001
propainter,REAL_ENV044_00005_001_01,OK,17,19.423098645096882,7.836746615505898,24.751269281772142,87.8719711303711,3.515803238924812,1.3454713821411133,1.3671234846115112,0.9841622920576552,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/REAL_ENV044_00005_001_01
diffueraser,REAL_ENV044_00005_001_01,OK,17,19.08555583469907,7.615909627800893,24.125166929063084,87.52171325683594,6.61004571353688,1.4164682626724243,1.3671234846115112,1.0360938705364535,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/REAL_ENV044_00005_001_01
propainter,REAL_ENV045_00001_001_01,OK,17,25.298960970213635,18.55069843218446,31.813325395270613,23.482816696166992,3.6973269827225628,0.5902099013328552,0.528342068195343,1.1170980636632515,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/REAL_ENV045_00001_001_01
diffueraser,REAL_ENV045_00001_001_01,OK,17,24.733949545911813,18.062444579559426,30.924596332530694,25.41609494826373,5.5120501237757065,0.5878490209579468,0.528342068195343,1.1126295942434823,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/REAL_ENV045_00001_001_01
propainter,REAL_ENV045_00002_001_01,OK,17,19.145066273342877,12.851726926836648,26.308402508607195,50.76211839563706,8.163965898401598,1.1722320318222046,1.1667383909225464,1.004708545585197,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/REAL_ENV045_00002_001_01
diffueraser,REAL_ENV045_00002_001_01,OK,17,18.370274386075668,12.249707817986312,24.690276137879863,53.867140377269074,12.437950414769789,1.0572314262390137,1.1667383909225464,0.9061426575695817,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/REAL_ENV045_00002_001_01
propainter,REAL_ENV045_00003_001_01,OK,17,15.741847648047596,13.827387321863014,22.68691412169774,42.57056427001953,17.56993518156164,2.2143735885620117,0.9281061887741089,2.385905422618582,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/REAL_ENV045_00003_001_01
diffueraser,REAL_ENV045_00003_001_01,OK,17,17.96531081537921,16.068568521986798,24.704684720487975,31.72068349052878,13.122147672316608,0.9707563519477844,0.9281061887741089,1.0459539691573547,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/REAL_ENV045_00003_001_01
propainter,REAL_ENV046_00002_001_01,OK,17,18.001967653175235,14.230194010203501,20.627909430990588,41.78178024291992,13.78943566715016,1.8128873109817505,1.3362853527069092,1.3566618142669828,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/REAL_ENV046_00002_001_01
diffueraser,REAL_ENV046_00002_001_01,OK,17,18.335611862216545,15.394268798326884,19.995475173317285,38.713652442483344,16.899018119363223,1.3714287281036377,1.3362853527069092,1.0262993045052382,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/REAL_ENV046_00002_001_01
