sample_id,model,profile_or_seed,classification_final,technical_valid,usable,source,mask_psnr,outside_psnr,temporal_ratio,evidence,visual_reason
BLENDER_FOREST006_00001,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,16.167561732465924,25.58290010850162,5.824773319692149,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST006_00001,outside damage/blur or over-strong raw artifact visible in overview pages
BLENDER_FOREST006_00001,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,15.631770195687368,24.1696451690525,125.34837734506024,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST006_00001,outside damage/blur or over-strong raw artifact visible in overview pages
BLENDER_FOREST007_00001,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,17.726963483191266,24.90855654527001,0.9508287195321803,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST007_00001,outside damage/blur or over-strong raw artifact visible in overview pages
BLENDER_FOREST007_00001,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,15.46519178427919,24.589193140445552,0.7873581238660078,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST007_00001,outside damage/blur or over-strong raw artifact visible in overview pages
BLENDER_FOREST008_00001,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,14.647705477905854,25.295145080844378,3.6508089967903863,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST008_00001,outside damage/blur or over-strong raw artifact visible in overview pages
BLENDER_FOREST008_00001,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,14.967122569267834,24.274154823590237,26.944901340435877,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST008_00001,outside damage/blur or over-strong raw artifact visible in overview pages
BLENDER_FOREST015_00001,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,20.62457198289698,35.98554580023916,3.43405139501766,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST015_00001,outside damage/blur or over-strong raw artifact visible in overview pages
BLENDER_FOREST015_00001,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,18.7070547387947,30.62628482356933,9.574627355087738,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST015_00001,outside damage/blur or over-strong raw artifact visible in overview pages
BLENDER_FOREST016_00001,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,16.856153406856308,20.608619827619982,16.113729000457774,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST016_00001,outside damage/blur or over-strong raw artifact visible in overview pages
BLENDER_FOREST016_00001,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,18.011892839620717,19.74656027826104,119.89694053638631,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST016_00001,outside damage/blur or over-strong raw artifact visible in overview pages
BLENDER_FOREST017_00001,propainter,official_full16,MEDIUM_HARD_ELIGIBLE,yes,yes,verified_generator_full16,29.952712952454323,36.92108838535347,1.3776024099582376,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST017_00001,bounded local defect; visually usable in overview pages
BLENDER_FOREST017_00001,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,28.095525271065835,31.54108239947937,8.351600728456901,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST017_00001,outside damage/blur or over-strong raw artifact visible in overview pages
BLENDER_FOREST018_00001,propainter,official_full16,MEDIUM_HARD_ELIGIBLE,yes,yes,verified_generator_full16,26.064235102310636,40.766525586015156,2.098195529788993,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST018_00001,bounded local defect; visually usable in overview pages
BLENDER_FOREST018_00001,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,25.427913927355483,31.83164490065505,8.740776964171655,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST018_00001,outside damage/blur or over-strong raw artifact visible in overview pages
BLENDER_FOREST019_00001,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,16.123179808270507,30.837864605620666,12.567226054656407,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/BLENDER_FOREST019_00001,outside damage/blur or over-strong raw artifact visible in overview pages
BLENDER_FOREST019_00001,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,16.223428041495932,28.981504441346992,22.087254402256637,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/BLENDER_FOREST019_00001,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV044_00005_001_01,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,7.836746615505898,24.751269281772142,0.9841622920576552,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/REAL_ENV044_00005_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV044_00005_001_01,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,7.615909627800893,24.125166929063084,1.0360938705364535,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/REAL_ENV044_00005_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV045_00001_001_01,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,18.55069843218446,31.813325395270613,1.1170980636632515,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/REAL_ENV045_00001_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV045_00001_001_01,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,18.062444579559426,30.924596332530694,1.1126295942434823,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/REAL_ENV045_00001_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV045_00002_001_01,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,12.851726926836648,26.308402508607195,1.004708545585197,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/REAL_ENV045_00002_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV045_00002_001_01,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,12.249707817986312,24.690276137879863,0.9061426575695817,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/REAL_ENV045_00002_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV045_00003_001_01,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,13.827387321863014,22.68691412169774,2.385905422618582,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/REAL_ENV045_00003_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV045_00003_001_01,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,16.068568521986798,24.704684720487975,1.0459539691573547,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/REAL_ENV045_00003_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV046_00002_001_01,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,14.230194010203501,20.627909430990588,1.3566618142669828,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/REAL_ENV046_00002_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV046_00002_001_01,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,15.394268798326884,19.995475173317285,1.0262993045052382,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/REAL_ENV046_00002_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV046_00003_001_01,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,19.280803176497113,27.04858669655557,1.0441955879652813,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/REAL_ENV046_00003_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV046_00003_001_01,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,19.44189530556437,25.958652788897812,1.0868465373559015,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/REAL_ENV046_00003_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV046_00004_001_01,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,12.052170372634647,21.859187599943258,0.9194803877694395,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/REAL_ENV046_00004_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV046_00004_001_01,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,13.21308013377461,21.39238710888863,0.9713251775914518,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/REAL_ENV046_00004_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV046_00005_001_01,propainter,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,15.878587008315026,23.169435912761273,0.9425474689619392,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/propainter/raw_frames/REAL_ENV046_00005_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
REAL_ENV046_00005_001_01,diffueraser,official_full16,TRIVIAL_BAD,yes,no,verified_generator_full16,17.01495436982694,21.701455917578944,1.1337811549673202,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v3_20260627/verified_generators_full16/diffueraser/raw_frames/REAL_ENV046_00005_001_01,outside damage/blur or over-strong raw artifact visible in overview pages
