model,sample_id,review_sheet,review_method,classification_auto,classification_final,reason
propainter,BLENDER_FOREST021_00002,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST021_00002_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,visual review: bounded local residual/texture defect with acceptable outside preservation
diffueraser,BLENDER_FOREST021_00002,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST021_00002_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
propainter,BLENDER_FOREST022_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST022_00001_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,HARD_BUT_PLAUSIBLE,HARD_BUT_PLAUSIBLE,visual review: bounded local residual/texture defect with acceptable outside preservation
diffueraser,BLENDER_FOREST022_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST022_00001_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
propainter,BLENDER_FOREST023_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST023_00001_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,"visual review: too strong, too clean, or visible artifact; not medium-hard"
diffueraser,BLENDER_FOREST023_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST023_00001_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
propainter,BLENDER_FOREST024_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST024_00001_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,"visual review: too strong, too clean, or visible artifact; not medium-hard"
diffueraser,BLENDER_FOREST024_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST024_00001_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
propainter,BLENDER_FOREST025_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST025_00001_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,"visual review: too strong, too clean, or visible artifact; not medium-hard"
diffueraser,BLENDER_FOREST025_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST025_00001_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
