sample_id,source_group,source_type,model,classification_final,mask_psnr,outside_psnr,temporal_ratio,loser_path,review_sheet,reason,split
BLENDER_FOREST049_00001,BLENDER_FOREST049,BLENDER,propainter,MEDIUM_HARD_ELIGIBLE,20.41591722078209,40.42710346207011,1.9675681750665603,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/propainter/propainter/raw_frames/BLENDER_FOREST049_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/propainter_review_assets/propainter_BLENDER_FOREST049_00001_review.jpg,bounded local defect,train32
BLENDER_GRASS001_00001,BLENDER_GRASS001,BLENDER,propainter,MEDIUM_HARD_ELIGIBLE,25.887767354681984,42.98997523039634,1.119707331837899,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/propainter/propainter/raw_frames/BLENDER_GRASS001_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/propainter_review_assets/propainter_BLENDER_GRASS001_00001_review.jpg,bounded local defect,train32
BLENDER_MOUNTAIN001_00001,BLENDER_MOUNTAIN001,BLENDER,propainter,MEDIUM_HARD_ELIGIBLE,18.423575982178768,40.11699379695517,1.8990177729219475,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/propainter/propainter/raw_frames/BLENDER_MOUNTAIN001_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/propainter_review_assets/propainter_BLENDER_MOUNTAIN001_00001_review.jpg,bounded local defect,train32
BLENDER_MOUNTAIN008_00001,BLENDER_MOUNTAIN008,BLENDER,controlled_corruption_v3,MEDIUM_HARD_ELIGIBLE,22.42878672850671,62.24428738769178,1.288715191848386,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_MOUNTAIN008_00001/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_MOUNTAIN008_00001/evidence/midframe_review_sheet.jpg,local residual with clean outside,train32
BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,BLENDER,propainter,MEDIUM_HARD_ELIGIBLE,15.792229476515278,41.99063769220451,1.1097979701323475,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/propainter/propainter/raw_frames/BLENDER_MOUNTAIN009_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/propainter_review_assets/propainter_BLENDER_MOUNTAIN009_00001_review.jpg,bounded local defect,train32
BLENDER_MOUNTAIN011_00001,BLENDER_MOUNTAIN011,BLENDER,controlled_corruption_v3,MEDIUM_HARD_ELIGIBLE,15.070755750378991,52.572854186693405,1.7620552164900967,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_MOUNTAIN011_00001/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_MOUNTAIN011_00001/evidence/midframe_review_sheet.jpg,local residual with clean outside,train32
BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,BLENDER,controlled_corruption_v3,HARD_BUT_PLAUSIBLE,12.476913517512,54.169301207382794,1.1345595579525087,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_MOUNTAIN014_00001/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_MOUNTAIN014_00001/evidence/midframe_review_sheet.jpg,strong local residual with clean outside,train32
BLENDER_OFFICE002_00001,BLENDER_OFFICE002,BLENDER,minimax_official_v3,MEDIUM_HARD_ELIGIBLE,28.492481831348176,36.78180743379824,0.7688371900661705,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_OFFICE002_00001/seed_20260627/frames,,finite local defect with acceptable outside preservation,train32
BLENDER_OFFICE003_00001,BLENDER_OFFICE003,BLENDER,controlled_corruption_v3,MEDIUM_HARD_ELIGIBLE,15.76274903833651,52.16850775661195,1.0048936029924835,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_OFFICE003_00001/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_OFFICE003_00001/evidence/midframe_review_sheet.jpg,local residual with clean outside,train32
BLENDER_RIVER002_00001,BLENDER_RIVER002,BLENDER,minimax_official_v3,MEDIUM_HARD_ELIGIBLE,18.35089519069803,28.09372789259609,0.9749437697902888,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_RIVER002_00001/seed_20260627/frames,,finite local defect with acceptable outside preservation,train32
