sample_id,source_group,model,candidate_source,checkpoint,step,condition_path,winner_path,loser_path,mask_path,affected_map_path,frames_reviewed,object_removed,effect_removed,mask_region_quality,boundary_quality,affected_region_quality,outside_damage,temporal_flicker,ghosting,color_shift,artifact,classification,reason,review_sheet,temporal_strip_16,selection_role
BLENDER_FOREST049_00001,BLENDER_FOREST049,controlled_corruption_v3,controlled_local_condition_mix_blur_noise_temporal_ema,none,0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_FOREST049_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_FOREST049_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST049_00001/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_FOREST049_00001/mask_frames,,"0,8,16,16-strip",reviewed_candidate,reviewed_candidate,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,reviewed,reviewed_temporal_strip,reviewed,reviewed,reviewed,MEDIUM_HARD_ELIGIBLE,local residual with clean outside,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST049_00001/evidence/midframe_review_sheet.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_FOREST049_00001/evidence/temporal_strip_16.jpg,secondary_or_rejected
BLENDER_FOREST049_00001,BLENDER_FOREST049,diffueraser,diffueraser_verified_gate64_v3,diffueraser verified OR stack,0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_FOREST049_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_FOREST049_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/diffueraser/diffueraser/raw_frames/BLENDER_FOREST049_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_FOREST049_00001/mask_frames,,"0,8,16,16-strip",reviewed_candidate,reviewed_candidate,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,reviewed,reviewed_temporal_strip,reviewed,reviewed,reviewed,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/diffueraser_review_assets/diffueraser_BLENDER_FOREST049_00001_review.jpg,,secondary_or_rejected
BLENDER_FOREST049_00001,BLENDER_FOREST049,minimax_official_v3,minimax_official_v3_seed20260627,MiniMax-Remover official,0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_FOREST049_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_FOREST049_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST049_00001/seed_20260627/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_FOREST049_00001/mask_frames,,"0,8,16,16-strip",reviewed_candidate,reviewed_candidate,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,reviewed,reviewed_temporal_strip,reviewed,reviewed,reviewed,TRIVIAL_BAD,temporal instability much higher than winner,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_FOREST049_00001/seed_20260627/evidence/temporal_strip_16.jpg,secondary_or_rejected
BLENDER_FOREST049_00001,BLENDER_FOREST049,propainter,propainter_verified_gate64_v3,propainter verified OR stack,0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_FOREST049_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_FOREST049_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/propainter/propainter/raw_frames/BLENDER_FOREST049_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_FOREST049_00001/mask_frames,,"0,8,16,16-strip",reviewed_candidate,reviewed_candidate,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,reviewed,reviewed_temporal_strip,reviewed,reviewed,reviewed,MEDIUM_HARD_ELIGIBLE,bounded local defect,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/propainter_review_assets/propainter_BLENDER_FOREST049_00001_review.jpg,,primary_loser
BLENDER_GRASS001_00001,BLENDER_GRASS001,controlled_corruption_v3,controlled_local_condition_mix_blur_noise_temporal_ema,none,0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS001_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS001_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_GRASS001_00001/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS001_00001/mask_frames,,"0,8,16,16-strip",reviewed_candidate,reviewed_candidate,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,reviewed,reviewed_temporal_strip,reviewed,reviewed,reviewed,MEDIUM_HARD_ELIGIBLE,local residual with clean outside,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_GRASS001_00001/evidence/midframe_review_sheet.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_GRASS001_00001/evidence/temporal_strip_16.jpg,secondary_or_rejected
BLENDER_GRASS001_00001,BLENDER_GRASS001,diffueraser,diffueraser_verified_gate64_v3,diffueraser verified OR stack,0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS001_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS001_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/diffueraser/diffueraser/raw_frames/BLENDER_GRASS001_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS001_00001/mask_frames,,"0,8,16,16-strip",reviewed_candidate,reviewed_candidate,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,reviewed,reviewed_temporal_strip,reviewed,reviewed,reviewed,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/diffueraser_review_assets/diffueraser_BLENDER_GRASS001_00001_review.jpg,,secondary_or_rejected
BLENDER_GRASS001_00001,BLENDER_GRASS001,minimax_official_v3,minimax_official_v3_seed20260627,MiniMax-Remover official,0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS001_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS001_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_GRASS001_00001/seed_20260627/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS001_00001/mask_frames,,"0,8,16,16-strip",reviewed_candidate,reviewed_candidate,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,reviewed,reviewed_temporal_strip,reviewed,reviewed,reviewed,TRIVIAL_BAD,temporal instability much higher than winner,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/minimax_v3_seed20260627/candidates/BLENDER_GRASS001_00001/seed_20260627/evidence/temporal_strip_16.jpg,secondary_or_rejected
BLENDER_GRASS001_00001,BLENDER_GRASS001,propainter,propainter_verified_gate64_v3,propainter verified OR stack,0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS001_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS001_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/propainter/propainter/raw_frames/BLENDER_GRASS001_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS001_00001/mask_frames,,"0,8,16,16-strip",reviewed_candidate,reviewed_candidate,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,reviewed,reviewed_temporal_strip,reviewed,reviewed,reviewed,MEDIUM_HARD_ELIGIBLE,bounded local defect,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/propainter_review_assets/propainter_BLENDER_GRASS001_00001_review.jpg,,primary_loser
BLENDER_GRASS002_00001,BLENDER_GRASS002,controlled_corruption_v3,controlled_local_condition_mix_blur_noise_temporal_ema,none,0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS002_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS002_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_GRASS002_00001/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS002_00001/mask_frames,,"0,8,16,16-strip",reviewed_candidate,reviewed_candidate,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,reviewed,reviewed_temporal_strip,reviewed,reviewed,reviewed,TRIVIAL_BAD,temporal instability too high,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_GRASS002_00001/evidence/midframe_review_sheet.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/controlled_corruption_v3/controlled_corruption_v3/CC-v3-B/BLENDER_GRASS002_00001/evidence/temporal_strip_16.jpg,rejected_no_usable_candidate
BLENDER_GRASS002_00001,BLENDER_GRASS002,diffueraser,diffueraser_verified_gate64_v3,diffueraser verified OR stack,0,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS002_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS002_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/diffueraser/diffueraser/raw_frames/BLENDER_GRASS002_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_GRASS002_00001/mask_frames,,"0,8,16,16-strip",reviewed_candidate,reviewed_candidate,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,codex_reviewed_gate64_sheet,reviewed,reviewed_temporal_strip,reviewed,reviewed,reviewed,TRIVIAL_BAD,outside damage,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/verified_generators_gate64/diffueraser_review_assets/diffueraser_BLENDER_GRASS002_00001_review.jpg,,rejected_no_usable_candidate
