group,member_path,sample_id,type,size,status,reason,output_path
VOR-Train,VOR-Train/BG/REAL_ENV103_00003_001_01.mp4,REAL_ENV103_00003_001_01,file,945221,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV103_00003_001_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV103_00002_001_02.mp4,REAL_ENV103_00002_001_02,file,1802074,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV103_00002_001_02.mp4
VOR-Train,VOR-Train/BG/REAL_ENV104_00003_001_01.mp4,REAL_ENV104_00003_001_01,file,1210503,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV104_00003_001_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV105_00002_001_01.mp4,REAL_ENV105_00002_001_01,file,796701,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV105_00002_001_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV104_00002_001_01.mp4,REAL_ENV104_00002_001_01,file,941666,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV104_00002_001_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV103_00004_001_01.mp4,REAL_ENV103_00004_001_01,file,1197951,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV103_00004_001_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV105_00003_001_01.mp4,REAL_ENV105_00003_001_01,file,693563,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV105_00003_001_01.mp4
VOR-Train,VOR-Train/BG/BLENDER_STREET006_00002.mp4,BLENDER_STREET006_00002,file,683181,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_STREET006_00002.mp4
VOR-Train,VOR-Train/BG/REAL_ENV104_00001_001_01.mp4,REAL_ENV104_00001_001_01,file,509810,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV104_00001_001_01.mp4
VOR-Train,VOR-Train/FG_BG/REAL_ENV103_00003_001_01.mp4,REAL_ENV103_00003_001_01,file,1313043,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/FG_BG/REAL_ENV103_00003_001_01.mp4
VOR-Train,VOR-Train/FG_BG/REAL_ENV103_00002_001_02.mp4,REAL_ENV103_00002_001_02,file,2423892,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/FG_BG/REAL_ENV103_00002_001_02.mp4
VOR-Train,VOR-Train/FG_BG/REAL_ENV104_00003_001_01.mp4,REAL_ENV104_00003_001_01,file,1667600,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/FG_BG/REAL_ENV104_00003_001_01.mp4
VOR-Train,VOR-Train/FG_BG/REAL_ENV105_00002_001_01.mp4,REAL_ENV105_00002_001_01,file,998551,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/FG_BG/REAL_ENV105_00002_001_01.mp4
VOR-Train,VOR-Train/FG_BG/REAL_ENV104_00002_001_01.mp4,REAL_ENV104_00002_001_01,file,1350370,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/FG_BG/REAL_ENV104_00002_001_01.mp4
VOR-Train,VOR-Train/FG_BG/REAL_ENV103_00004_001_01.mp4,REAL_ENV103_00004_001_01,file,1530115,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/FG_BG/REAL_ENV103_00004_001_01.mp4
VOR-Train,VOR-Train/FG_BG/REAL_ENV105_00003_001_01.mp4,REAL_ENV105_00003_001_01,file,1170793,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/FG_BG/REAL_ENV105_00003_001_01.mp4
VOR-Train,VOR-Train/FG_BG/BLENDER_STREET006_00002.mp4,BLENDER_STREET006_00002,file,888036,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/FG_BG/BLENDER_STREET006_00002.mp4
