group,member_path,sample_id,type,size,status,reason,output_path
VOR-Train,VOR-Train/BG/BLENDER_RIVER020_00001.mp4,BLENDER_RIVER020_00001,file,324929,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_RIVER020_00001.mp4
VOR-Train,VOR-Train/BG/REAL_ENV084_00002_001_01.mp4,REAL_ENV084_00002_001_01,file,322147,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV084_00002_001_01.mp4
VOR-Train,VOR-Train/BG/BLENDER_GRASS001_00001.mp4,BLENDER_GRASS001_00001,file,483103,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_GRASS001_00001.mp4
VOR-Train,VOR-Train/BG/BLENDER_RIVER009_00001.mp4,BLENDER_RIVER009_00001,file,357338,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_RIVER009_00001.mp4
VOR-Train,VOR-Train/BG/REAL_ENV069_00001_001_01.mp4,REAL_ENV069_00001_001_01,file,1332705,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV069_00001_001_01.mp4
VOR-Train,VOR-Train/BG/BLENDER_RIVER002_00001.mp4,BLENDER_RIVER002_00001,file,4548498,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_RIVER002_00001.mp4
VOR-Train,VOR-Train/BG/BLENDER_MOUNTAIN006_00001.mp4,BLENDER_MOUNTAIN006_00001,file,705035,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_MOUNTAIN006_00001.mp4
VOR-Train,VOR-Train/BG/REAL_ENV082_00001_001_03.mp4,REAL_ENV082_00001_001_03,file,659182,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV082_00001_001_03.mp4
VOR-Train,VOR-Train/BG/REAL_ENV089_00001_001_01.mp4,REAL_ENV089_00001_001_01,file,7231339,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV089_00001_001_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV095_00002_001_01.mp4,REAL_ENV095_00002_001_01,file,7174525,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV095_00002_001_01.mp4
VOR-Train,VOR-Train/BG/BLENDER_GRASS002_00001.mp4,BLENDER_GRASS002_00001,file,444380,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_GRASS002_00001.mp4
VOR-Train,VOR-Train/BG/BLENDER_GRASS003_00002.mp4,BLENDER_GRASS003_00002,file,351685,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_GRASS003_00002.mp4
VOR-Train,VOR-Train/BG/REAL_ENV086_00002_001_01.mp4,REAL_ENV086_00002_001_01,file,4887409,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV086_00002_001_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV101_00001_001_01.mp4,REAL_ENV101_00001_001_01,file,733054,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV101_00001_001_01.mp4
VOR-Train,VOR-Train/BG/BLENDER_RIVER006_00001.mp4,BLENDER_RIVER006_00001,file,411765,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_RIVER006_00001.mp4
VOR-Train,VOR-Train/BG/BLENDER_OFFICE002_00001.mp4,BLENDER_OFFICE002_00001,file,4328319,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_OFFICE002_00001.mp4
VOR-Train,VOR-Train/BG/REAL_ENV095_00003_001_01.mp4,REAL_ENV095_00003_001_01,file,7501194,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV095_00003_001_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV056_00001_001_01.mp4,REAL_ENV056_00001_001_01,file,503242,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV056_00001_001_01.mp4
VOR-Train,VOR-Train/BG/REAL_ENV078_00001_001_01.mp4,REAL_ENV078_00001_001_01,file,1431595,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV078_00001_001_01.mp4
VOR-Train,VOR-Train/BG/BLENDER_SCHOOL004_00001.mp4,BLENDER_SCHOOL004_00001,file,271381,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/BLENDER_SCHOOL004_00001.mp4
VOR-Train,VOR-Train/BG/REAL_ENV064_00001_001_01.mp4,REAL_ENV064_00001_001_01,file,904980,OK,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/extracted_exact/VOR-Train/VOR-Train/BG/REAL_ENV064_00001_001_01.mp4
