accepted_split,sample_id,scene_group,source_type,effect_type,mask_bucket,condition_member_path,winner_member_path,mask_member_path,prior_diagnostic_seen,visual_preview_status
primary,BLENDER_CARTOON006_00001,BLENDER_CARTOON006,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_CARTOON006_00001.mp4,VOR-Train/BG/BLENDER_CARTOON006_00001.mp4,MASK/BLENDER_CARTOON006_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST006_00001,BLENDER_FOREST006,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST006_00001.mp4,VOR-Train/BG/BLENDER_FOREST006_00001.mp4,MASK/BLENDER_FOREST006_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST007_00001,BLENDER_FOREST007,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST007_00001.mp4,VOR-Train/BG/BLENDER_FOREST007_00001.mp4,MASK/BLENDER_FOREST007_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST008_00001,BLENDER_FOREST008,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST008_00001.mp4,VOR-Train/BG/BLENDER_FOREST008_00001.mp4,MASK/BLENDER_FOREST008_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST015_00001,BLENDER_FOREST015,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST015_00001.mp4,VOR-Train/BG/BLENDER_FOREST015_00001.mp4,MASK/BLENDER_FOREST015_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST016_00001,BLENDER_FOREST016,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST016_00001.mp4,VOR-Train/BG/BLENDER_FOREST016_00001.mp4,MASK/BLENDER_FOREST016_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST017_00001,BLENDER_FOREST017,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST017_00001.mp4,VOR-Train/BG/BLENDER_FOREST017_00001.mp4,MASK/BLENDER_FOREST017_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST018_00001,BLENDER_FOREST018,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST018_00001.mp4,VOR-Train/BG/BLENDER_FOREST018_00001.mp4,MASK/BLENDER_FOREST018_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST019_00001,BLENDER_FOREST019,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST019_00001.mp4,VOR-Train/BG/BLENDER_FOREST019_00001.mp4,MASK/BLENDER_FOREST019_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST021_00002,BLENDER_FOREST021,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST021_00002.mp4,VOR-Train/BG/BLENDER_FOREST021_00002.mp4,MASK/BLENDER_FOREST021_00002.mp4,False,metadata_only_visual_preview_pending
