split,sample_id,checkpoint,root_kind,stream,frames_checked,first_frame_mask_sum,comp_recalc_mae,comp_recalc_max_abs
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,official_base,replay,comp,49,0,0.0,0.0
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,step0,replay,comp,49,0,0.0,0.0
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,step50,replay,comp,49,0,0.0,0.0
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,step2000,replay,comp,49,0,0.0,0.0
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,step0,existing,comp,49,0,0.0,0.0
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,step50,existing,comp,49,0,0.0,0.0
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,step2000,existing,comp,49,0,0.0,0.0
search,vp2_vor_bg_49f_REAL_ENV800_00003_001_02,official_base,replay,comp,49,0,0.0,0.0
search,vp2_vor_bg_49f_REAL_ENV800_00003_001_02,step0,replay,comp,49,0,0.0,0.0
search,vp2_vor_bg_49f_REAL_ENV800_00003_001_02,step50,replay,comp,49,0,0.0,0.0
search,vp2_vor_bg_49f_REAL_ENV800_00003_001_02,step2000,replay,comp,49,0,0.0,0.0
search,vp2_vor_bg_49f_REAL_ENV800_00003_001_02,step0,existing,comp,49,0,0.0,0.0
search,vp2_vor_bg_49f_REAL_ENV800_00003_001_02,step50,existing,comp,49,0,0.0,0.0
search,vp2_vor_bg_49f_REAL_ENV800_00003_001_02,step2000,existing,comp,49,0,0.0,0.0
shadow,vp2_vor_bg_49f_REAL_ENV109_00002_005_02,official_base,replay,comp,49,0,0.0,0.0
shadow,vp2_vor_bg_49f_REAL_ENV109_00002_005_02,step0,replay,comp,49,0,0.0,0.0
shadow,vp2_vor_bg_49f_REAL_ENV109_00002_005_02,step50,replay,comp,49,0,0.0,0.0
shadow,vp2_vor_bg_49f_REAL_ENV109_00002_005_02,step2000,replay,comp,49,0,0.0,0.0
shadow,vp2_vor_bg_49f_REAL_ENV109_00002_005_02,step0,existing,comp,49,0,0.0,0.0
shadow,vp2_vor_bg_49f_REAL_ENV109_00002_005_02,step50,existing,comp,49,0,0.0,0.0
shadow,vp2_vor_bg_49f_REAL_ENV109_00002_005_02,step2000,existing,comp,49,0,0.0,0.0
shadow,vp2_vor_bg_49f_BLENDER_FOREST015_00002,official_base,replay,comp,49,0,0.0,0.0
shadow,vp2_vor_bg_49f_BLENDER_FOREST015_00002,step0,replay,comp,49,0,0.0,0.0
shadow,vp2_vor_bg_49f_BLENDER_FOREST015_00002,step50,replay,comp,49,0,0.0,0.0
shadow,vp2_vor_bg_49f_BLENDER_FOREST015_00002,step2000,replay,comp,49,0,0.0,0.0
shadow,vp2_vor_bg_49f_BLENDER_FOREST015_00002,step0,existing,comp,49,0,0.0,0.0
shadow,vp2_vor_bg_49f_BLENDER_FOREST015_00002,step50,existing,comp,49,0,0.0,0.0
shadow,vp2_vor_bg_49f_BLENDER_FOREST015_00002,step2000,existing,comp,49,0,0.0,0.0
