split,sample_id,reviewed_frames,step2000_vs_step0_class,step2000_vs_step50_class,mask_region_quality,boundary_quality,outside_damage,temporal_flicker,ghosting,color_shift,new_artifact,classification,reason
shadow,vp2_vor_bg_49f_BLENDER_BEACH001_00305,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_CLEAR_BETTER,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_BLENDER_BEACH024_00003,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_BLENDER_FOREST015_00002,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_CLEAR_BETTER,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_better_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_BLENDER_FOREST034_00543,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_CLEAR_BETTER,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_BLENDER_RIVER016_00009,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_BETTER_WITH_MINOR_MIXED_TRADEOFF,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV033_00001_004_05,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV064_00001_001_05,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_BETTER_WITH_MINOR_MIXED_TRADEOFF,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV109_00002_005_02,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV135_00001_006_02,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV140_00002_002_05,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
