sample_id,source_type,scene_group,mask_bucket,status,classification,classification_reason,full_psnr,full_ssim,mask_psnr,mask_ssim,boundary_psnr,boundary_ssim,outside_psnr,outside_l1,mask_l1,mask_residual_to_condition_l1,lpips,lpips_status,tc_absdiff_mean,tc_absdiff_max,tc_absdiff_over_winner,ewarp_proxy,black_frame_ratio,output_frames,output_resolution,mask_non_empty_frames,output_path,review_sheet,crop_sheet,error
REAL_ENV900_00001_001_03,REAL,REAL_ENV900_00001,small,OK,BASELINE_WEAK,low fidelity or large outside damage,16.673019373495652,0.3481757604045632,14.59828731336083,0.05347773257964923,14.724773391075317,0.06856155496688536,16.738547403990733,27.667674712192866,38.389645564703294,70.76005577746733,nan,unavailable,24.491362714767455,30.533039093017578,-5.082804397866131,21.07107992172241,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00001_001_03/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00001_001_03.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00001_001_03.jpg,
REAL_ENV900_00002_002_05,REAL,REAL_ENV900_00002,small,OK,BASELINE_WEAK,low fidelity or large outside damage,15.495536889762569,0.5061553646752863,20.216158853462055,0.6170155082219912,18.628547960912258,0.5854544245902403,15.4856722531635,27.482619485737366,17.57383837523284,85.01196081844377,nan,unavailable,15.691147693991661,21.26852035522461,-1.548287630081175,19.09584984779358,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00002_002_05/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00002_002_05.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00002_002_05.jpg,
REAL_ENV900_00003_001_04,REAL,REAL_ENV900_00003,medium,OK,BASELINE_WEAK,low fidelity or large outside damage,19.745756888497464,0.6364608215697017,13.506018565161973,0.04522131631771723,14.12385314888101,0.13051864863545806,20.345732062781803,18.577153712143133,42.49959272219811,58.40531798939646,nan,unavailable,16.03321627676487,25.644092559814453,-1.5296520480420455,18.998188638687132,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00003_001_04/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00003_001_04.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00003_001_04.jpg,
REAL_ENV900_00004_004_02,REAL,REAL_ENV900_00004,large,OK,BASELINE_WEAK,low fidelity or large outside damage,13.431022110355352,0.3033108519919125,10.017188330785922,0.19654281308621535,12.771959230470143,0.20172264049818486,14.051333394391886,33.814987512282386,60.2018472177011,103.46226548559872,nan,unavailable,3.3580835670232774,6.653045654296875,-5.90745676457882,6.707615184783935,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00004_004_02/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00004_004_02.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00004_004_02.jpg,
REAL_ENV900_00005_001_04,REAL,REAL_ENV900_00005,large,OK,BASELINE_WEAK,low fidelity or large outside damage,21.424386189432447,0.9382535255985496,21.84445659360211,0.9445406816623829,22.652084246107137,0.9468724852726783,21.28197354323038,19.622383918291256,18.04192547739288,89.3570208137418,nan,unavailable,1.2225969959050418,2.115367889404297,-0.37551301652565594,1.6948400914669037,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00005_001_04/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00005_001_04.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00005_001_04.jpg,
REAL_ENV900_00007_004_03,REAL,REAL_ENV900_00007,small,OK,BASELINE_MIXED,usable on some signals but not clearly strong,21.58767551187305,0.7504200155352369,18.250653330350346,0.4295022430572104,18.153897532173133,0.4482228546700579,21.5922403176029,13.565244050673497,28.46963379230905,33.376110969705785,nan,unavailable,5.23326199054718,7.228103160858154,0.8068775191903113,5.927915382385254,0.0,81,832x480,47,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00007_004_03/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00007_004_03.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00007_004_03.jpg,
REAL_ENV900_00008_003_01,REAL,REAL_ENV900_00008,small,OK,BASELINE_USABLE,finite local quality with bounded outside damage,30.90147493992336,0.8774285596094014,30.833597866346473,0.7899375631485457,29.44593986538663,0.782696024135307,30.903191042090285,5.446822831660141,5.472845171704704,38.74400835861395,nan,unavailable,1.1144296545535326,2.0908896923065186,0.02587845828384161,1.4272486209869384,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00008_003_01/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00008_003_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00008_003_01.jpg,
REAL_ENV900_00009_002_02,REAL,REAL_ENV900_00009,small,OK,BASELINE_MIXED,usable on some signals but not clearly strong,21.374211514019,0.607162928139722,12.139242388426107,0.30695353797924374,14.229706975179548,0.41306248895915937,22.313805672662507,15.567695417521913,45.865740222695436,56.882662078480664,nan,unavailable,0.5532419057562947,1.705055594444275,0.3114293400896713,0.7573277205228806,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00009_002_02/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00009_002_02.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00009_002_02.jpg,
REAL_ENV900_00010_001_04,REAL,REAL_ENV900_00010,medium,OK,BASELINE_MIXED,usable on some signals but not clearly strong,28.4464800299403,0.9307391488993609,26.738664434363738,0.908748170475901,27.913030097415078,0.9343403430632603,28.63083846822705,8.292026508001634,8.724104999024192,54.25902119389287,nan,unavailable,3.617612385004759,6.467879295349121,-0.0045114306733009535,4.871921646595001,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00010_001_04/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00010_001_04.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00010_001_04.jpg,
REAL_ENV900_00011_001_04,REAL,REAL_ENV900_00011,small,OK,BASELINE_USABLE,finite local quality with bounded outside damage,31.32268175309163,0.8373548520935906,32.29481461971518,0.5893949630819721,27.110739697981693,0.5352338309641238,31.320461779114105,4.612615967974251,3.6917485572673656,78.00359664728612,nan,unavailable,2.944206651300192,4.342370986938477,0.8836977871134879,4.143733963370323,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00011_001_04/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00011_001_04.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00011_001_04.jpg,
