recipe,sample_id,source_group,loser_model,frames_compared,byte_identical,full_mean_abs_diff,full_max_abs_diff,mask_mean_abs_diff,mask_max_abs_diff,affected_mean_abs_diff,affected_max_abs_diff,outside_mean_abs_diff,outside_max_abs_diff,delta_full_psnr,delta_mask_psnr,delta_boundary_psnr,delta_outside_psnr,visual_classification
frozen,BLENDER_RIVER016_00001,BLENDER_RIVER016,controlled_corruption_v3,17,False,0.1823853885426241,14.0,0.15647572498111165,3.0,0.30848801136016846,11.0,0.1834994887604433,14.0,0.0021007697181048,3.890812083895412e-05,0.0037065496032280265,0.0034577056698665842,TIE
frozen,BLENDER_STREET006_00002,BLENDER_STREET006,controlled_corruption_v3,17,False,0.04463509952320772,7.0,0.06700227124726071,3.0,0.0646241298493217,5.0,0.04404140219968908,7.0,-0.0007658575900286735,-0.0010050764387177225,0.0006213810438087108,-0.0005253671615115252,TIE
frozen,REAL_ENV087_00002_001_01,REAL_ENV087_00002,controlled_corruption_v3,17,False,0.22426373467725866,14.0,0.33051027013705325,12.0,0.28415225183262544,14.0,0.20957640952923717,14.0,-0.0012456198706232158,-0.0032218786036501967,-0.0026649774163303164,-0.0008095331326991584,TIE
frozen,REAL_ENV103_00001_001_01,REAL_ENV103_00001,minimax_official_v3,17,False,0.04855713160598979,3.0,0.09771250188350677,3.0,0.09685604624888476,3.0,0.027232983533073876,2.0,0.011965354271101347,0.01288264336757905,0.021287854847823695,0.001077386579716233,TIE
frozen,REAL_ENV089_00001_001_01,REAL_ENV089_00001,controlled_corruption_v3,17,False,0.22847979734925664,19.0,0.3156149948344511,19.0,0.24507605503587163,19.0,0.18330637935329885,9.0,-0.0034597532154680977,-0.0028830540019679773,0.003988242978760326,-0.0071043590062345174,TIE
frozen,REAL_ENV103_00002_001_02,REAL_ENV103_00002,minimax_official_v3,17,False,0.07533062117941239,25.0,0.13733459351693883,25.0,0.1350438349387225,25.0,0.06267467316459208,6.0,0.003087141192864351,0.005001421145815144,-0.01056356416397719,-0.013257324375437918,TIE
frozen,REAL_ENV091_00001_001_01,REAL_ENV091_00001,controlled_corruption_v3,17,False,0.10732950007214266,10.0,0.10671655483105603,6.0,0.12344847838668262,8.0,0.10775123887202319,10.0,-0.0214670371322363,-0.01618731737152146,-0.017858335932118052,-0.022553030985097422,TIE
frozen,REAL_ENV103_00003_001_01,REAL_ENV103_00003,minimax_official_v3,17,False,0.07037540437544093,5.0,0.08794841170310974,4.0,0.08170852240394144,5.0,0.06208263271871735,5.0,-0.0002315408776496497,0.0022831138493302205,-6.77913060336266e-05,-0.006123924226951516,TIE
frozen,REAL_ENV093_00001_001_01,REAL_ENV093_00001,controlled_corruption_v3,17,False,0.22873732622931986,13.0,0.2979072805713205,13.0,0.2383791085551767,13.0,0.19439822785994587,10.0,0.0015710138373492555,0.00031423129534147165,0.0009360870486894157,0.002999200749293607,TIE
frozen,REAL_ENV103_00004_001_01,REAL_ENV103_00004,minimax_official_v3,17,False,0.08131199242437587,17.0,0.19015749587732203,17.0,0.13624967284062328,17.0,0.059943296672666777,3.0,-0.002990180125937769,-6.980910609399871e-05,-0.005503455569151328,-0.023733953160832044,TIE
frozen,REAL_ENV095_00001_001_01,REAL_ENV095_00001,controlled_corruption_v3,17,False,0.1529591136118945,11.0,0.2153164367465412,11.0,0.16602123309584224,11.0,0.12688417075311437,8.0,0.00010957345354611903,0.000500905437320398,0.0007348205893009663,-0.0003889871919753318,TIE
frozen,REAL_ENV095_00002_001_01,REAL_ENV095_00002,controlled_corruption_v3,17,False,0.17719193942406597,14.0,0.28664002523702736,14.0,0.2153106103925144,14.0,0.16543209289803223,10.0,-0.00020777228329649233,0.002360926535994068,0.0016531302819586813,-0.001059372387747004,TIE
frozen,REAL_ENV095_00003_001_01,REAL_ENV095_00003,controlled_corruption_v3,17,False,0.22311027435695424,12.0,0.25842930025914135,11.0,0.231040977379855,11.0,0.204099582398639,12.0,-0.00021746691303548005,0.003017225691774428,0.0005461283293080044,-0.0029804627861622635,TIE
frozen,REAL_ENV104_00001_001_01,REAL_ENV104_00001,controlled_corruption_v3,17,False,0.15464251707581914,8.0,0.21792110450127544,8.0,0.20817394028691685,8.0,0.02704166281310951,3.0,0.021220545676143843,0.021373730450848782,-0.0014477252008404662,-0.007274052563197131,TIE
frozen,REAL_ENV105_00004_001_01,REAL_ENV105_00004,controlled_corruption_v3,17,False,0.028087840141618952,1.0,0.03257520924157956,1.0,0.07124994213090223,1.0,0.027958727496511796,1.0,-0.017387316098385952,-0.030130986047137043,-0.03902902933850427,-0.016634394968896515,TIE
frozen,REAL_ENV104_00003_001_01,REAL_ENV104_00003,minimax_official_v3,17,False,0.08029990073512583,16.0,0.19530410100432002,15.0,0.16848251048256369,16.0,0.057595148901729024,15.0,-0.010265284782349227,-0.011358557084829357,-0.0014712372152381192,-0.006523672864929608,TIE
ema,BLENDER_RIVER016_00001,BLENDER_RIVER016,controlled_corruption_v3,17,False,0.1804948694565717,15.0,0.15791923377443762,4.0,0.30400045128429637,15.0,0.1814777316416011,15.0,0.001997543601682139,3.2054190166164176e-05,0.0033972007155984585,0.003312034188073909,TIE
ema,BLENDER_STREET006_00002,BLENDER_STREET006,controlled_corruption_v3,17,False,0.04417112776461769,6.0,0.06280902773141861,3.0,0.06194269350346397,6.0,0.04368083332391346,6.0,-0.0007486235403426633,-0.0009028060120996884,0.0006982059457758538,-0.0005835115933621182,TIE
ema,REAL_ENV087_00002_001_01,REAL_ENV087_00002,controlled_corruption_v3,17,False,0.2227609683485592,18.0,0.3308195953185742,11.0,0.2824834602720597,18.0,0.20815471165320454,18.0,-0.00128165378631806,-0.0024784629497140998,-0.001356881608202798,-0.0010192832406694663,TIE
ema,REAL_ENV103_00001_001_01,REAL_ENV103_00001,minimax_official_v3,17,False,0.050761727944893,6.0,0.1054697242729804,6.0,0.10492665758904289,6.0,0.02710258577238111,1.0,0.01060400818849061,0.01146170142115821,0.019906426403743183,0.0002650239329824444,TIE
ema,REAL_ENV089_00001_001_01,REAL_ENV089_00001,controlled_corruption_v3,17,False,0.2256203442811966,20.0,0.30998463490430045,20.0,0.24185162081437953,20.0,0.18200389690258922,7.0,-0.001884829465103266,-0.0011004229210751504,0.004181578779100192,-0.006507064177920796,TIE
ema,REAL_ENV103_00002_001_02,REAL_ENV103_00002,minimax_official_v3,17,False,0.07368027988602133,28.0,0.13114425539970398,28.0,0.1299691932166324,28.0,0.061943078742307776,5.0,0.0009914283305789695,0.0025480305765643863,-0.010042799194796004,-0.012136292970815532,TIE
ema,REAL_ENV091_00001_001_01,REAL_ENV091_00001,controlled_corruption_v3,17,False,0.1057148352265358,7.0,0.10323871540672638,6.0,0.12144953143947265,6.0,0.10666842846309438,7.0,-0.02023554692056706,-0.014579284869206788,-0.01684666150853431,-0.021463302028291054,TIE
ema,REAL_ENV103_00003_001_01,REAL_ENV103_00003,minimax_official_v3,17,False,0.06985151943038492,5.0,0.08793919314356412,4.0,0.0812569326337646,5.0,0.06134432181715965,5.0,0.0004260255205359442,0.003077611170539285,-0.0014025463113469527,-0.005592644610370456,TIE
ema,REAL_ENV093_00001_001_01,REAL_ENV093_00001,controlled_corruption_v3,17,False,0.22767437293249018,13.0,0.29741493481047016,13.0,0.23743419173885794,13.0,0.19297521517557256,10.0,0.0012403330244517008,2.8176693833259492e-05,0.0006421519869661552,0.0026182637663261232,TIE
ema,REAL_ENV103_00004_001_01,REAL_ENV103_00004,minimax_official_v3,17,False,0.08021650156554054,17.0,0.1900404130711275,17.0,0.13552279858028188,17.0,0.058648029670995826,4.0,-0.01113980647676982,-0.009670551900937241,-0.00610594643318052,-0.021781988102098637,TIE
ema,REAL_ENV095_00001_001_01,REAL_ENV095_00001,controlled_corruption_v3,17,False,0.14894747383454265,9.0,0.20419549503747156,9.0,0.1609872299082139,9.0,0.12571061358732336,8.0,-0.00043503753762053066,-0.0004885623833050801,0.0004191410480736124,-0.00038703871770096043,TIE
ema,REAL_ENV095_00002_001_01,REAL_ENV095_00002,controlled_corruption_v3,17,False,0.17636504856979146,13.0,0.2823227784212898,13.0,0.21464216270867517,13.0,0.16490321387262905,10.0,-0.00013900767366337163,0.002403809079307706,0.0008506146774927004,-0.0009736617986781937,TIE
ema,REAL_ENV095_00003_001_01,REAL_ENV095_00003,controlled_corruption_v3,17,False,0.22206863585640402,14.0,0.2578255674418281,13.0,0.23009653652415557,13.0,0.2027740198023179,14.0,6.749590137289374e-05,0.0031590312832960876,0.0005484563939255338,-0.002548507308812731,TIE
ema,REAL_ENV104_00001_001_01,REAL_ENV104_00001,controlled_corruption_v3,17,False,0.16224715113639832,8.0,0.22909887660952175,8.0,0.2195625199991114,8.0,0.027315793668522555,4.0,0.022819475359478147,0.02298872575897981,-0.0029069775599488423,-0.008401611732693937,TIE
ema,REAL_ENV105_00004_001_01,REAL_ENV105_00004,controlled_corruption_v3,17,False,0.027572407332413337,1.0,0.03293708569424994,1.0,0.06960324154180639,1.0,0.02744604296544019,1.0,-0.015395691597483108,-0.02956084867741282,-0.03670926016148712,-0.014710428405848575,TIE
ema,REAL_ENV104_00003_001_01,REAL_ENV104_00003,minimax_official_v3,17,False,0.08002786119194592,18.0,0.1985939820023144,17.0,0.1697479661773233,18.0,0.0566221762667684,17.0,-0.014459880546073833,-0.016526407944342125,-0.004737075747776487,-0.006617014292579881,TIE
