recipe,tensor,module_group,shape,numel,mean_abs_delta,max_abs_delta,delta_norm,param_norm,delta_param_norm_ratio,zero_delta
frozen,blocks.0.attn1.norm_k.weight,blocks.0,1536,1536,0.0,0.0,0.0,36.117992737887064,0.0,True
frozen,blocks.0.attn1.norm_q.weight,blocks.0,1536,1536,0.0,0.0,0.0,35.76411298136374,0.0,True
frozen,blocks.0.attn1.to_k.bias,blocks.0,1536,1536,1.7995867906961394e-08,3.814697265625e-06,7.631737029986052e-06,3.9961161831909426,1.909788574738114e-06,False
frozen,blocks.0.attn1.to_k.weight,blocks.0,1536x1536,2359296,7.3254571297809434e-09,5.245208740234375e-06,0.00018806364915991683,44.418700972605556,4.233884491036726e-06,False
frozen,blocks.0.attn1.to_out.0.bias,blocks.0,1536,1536,5.013619741589537e-08,4.291534423828125e-06,1.2800435729547612e-05,0.21719179183506673,5.893609340084637e-05,False
frozen,blocks.0.attn1.to_out.0.weight,blocks.0,1536x1536,2359296,9.380668686276294e-09,5.245208740234375e-06,0.00020910128340347596,39.13880360033537,5.342556853262598e-06,False
frozen,blocks.0.attn1.to_q.bias,blocks.0,1536,1536,2.3825123207643628e-08,2.6226043701171875e-06,7.70634984857578e-06,1.0466550909200008,7.362836062637026e-06,False
frozen,blocks.0.attn1.to_q.weight,blocks.0,1536x1536,2359296,6.643153138696789e-09,5.245208740234375e-06,0.000172776182341668,44.42125670076208,3.889493345619373e-06,False
frozen,blocks.0.attn1.to_v.bias,blocks.0,1536,1536,5.3085386753082275e-08,4.76837158203125e-06,1.321342351667318e-05,0.27774364225268355,4.7574170949354785e-05,False
frozen,blocks.0.attn1.to_v.weight,blocks.0,1536x1536,2359296,7.995055284482078e-09,5.245208740234375e-06,0.00019362944763645239,43.077447741321095,4.494914573379265e-06,False
frozen,blocks.0.ffn.net.0.proj.bias,blocks.0,8960,8960,2.00542018546912e-08,4.76837158203125e-06,1.9081163828609057e-05,0.8265303246738369,2.3085860565510078e-05,False
frozen,blocks.0.ffn.net.0.proj.weight,blocks.0,8960x1536,13762560,1.340234412339214e-08,5.7220458984375e-06,0.0005987773561443415,75.72707470746509,7.907044586859062e-06,False
frozen,blocks.0.ffn.net.2.bias,blocks.0,1536,1536,2.943367327645774e-08,4.291534423828125e-06,9.613593595463454e-06,0.33189834852037625,2.89654758400953e-05,False
frozen,blocks.0.ffn.net.2.weight,blocks.0,1536x8960,13762560,1.31754704923992e-08,5.7220458984375e-06,0.0005984199948524044,81.96145244869687,7.301237069059671e-06,False
frozen,blocks.0.scale_shift_table,blocks.0,1x6x1536,9216,1.8959500494020176e-06,4.336237907409668e-06,0.00020674631228320792,9.523852870479214,2.170826398673495e-05,False
frozen,blocks.1.attn1.norm_k.weight,blocks.1,1536,1536,0.0,0.0,0.0,46.645061032761014,0.0,True
frozen,blocks.1.attn1.norm_q.weight,blocks.1,1536,1536,0.0,0.0,0.0,46.626913813771495,0.0,True
frozen,blocks.1.attn1.to_k.bias,blocks.1,1536,1536,1.1719142101185298e-08,2.384185791015625e-06,5.427623957553964e-06,1.6999399342864692,3.192832786664874e-06,False
frozen,blocks.1.attn1.to_k.weight,blocks.1,1536x1536,2359296,7.917780209254488e-09,5.0067901611328125e-06,0.00018623794366140055,48.42405559384974,3.845979882879749e-06,False
frozen,blocks.1.attn1.to_out.0.bias,blocks.1,1536,1536,5.764256272300372e-08,4.76837158203125e-06,1.3687923623109712e-05,0.3163842558575054,4.3263605472300364e-05,False
frozen,blocks.1.attn1.to_out.0.weight,blocks.1,1536x1536,2359296,8.13422662560015e-09,5.245208740234375e-06,0.00019343478756495081,50.029693331498144,3.866399625583204e-06,False
frozen,blocks.1.attn1.to_q.bias,blocks.1,1536,1536,2.0954757928848267e-08,2.8014183044433594e-06,7.019696483820575e-06,0.7374230296169052,9.519226009876341e-06,False
frozen,blocks.1.attn1.to_q.weight,blocks.1,1536x1536,2359296,7.750985631105323e-09,4.76837158203125e-06,0.00018263181216443436,49.55349953743176,3.6855482230165017e-06,False
frozen,blocks.1.attn1.to_v.bias,blocks.1,1536,1536,1.0953711893080254e-07,4.76837158203125e-06,1.9720615807606142e-05,0.11079330559655014,0.00017799465140285698,False
frozen,blocks.1.attn1.to_v.weight,blocks.1,1536x1536,2359296,7.83848452812208e-09,5.7220458984375e-06,0.0001928768084640136,50.459528956382464,3.822406044074127e-06,False
frozen,blocks.1.ffn.net.0.proj.bias,blocks.1,8960,8960,3.441392948388966e-08,4.76837158203125e-06,2.5309054221211943e-05,1.2817431175503995,1.974580855917646e-05,False
frozen,blocks.1.ffn.net.0.proj.weight,blocks.1,8960x1536,13762560,1.1298737945253379e-08,6.198883056640625e-06,0.0005550194541229487,93.90578202878405,5.910386369529599e-06,False
frozen,blocks.1.ffn.net.2.bias,blocks.1,1536,1536,2.7085965470519113e-08,4.76837158203125e-06,9.46269494174296e-06,0.36802464281376684,2.5712123159387725e-05,False
frozen,blocks.1.ffn.net.2.weight,blocks.1,1536x8960,13762560,1.2013545713784879e-08,5.7220458984375e-06,0.0005827241016638336,88.38700524009454,6.5928707515422064e-06,False
frozen,blocks.1.scale_shift_table,blocks.1,1x6x1536,9216,1.8563373487268109e-06,4.351139068603516e-06,0.00020274724719927952,6.751635600539376,3.0029352766469265e-05,False
frozen,blocks.10.attn1.norm_k.weight,blocks.10,1536,1536,0.0,0.0,0.0,52.97411938124833,0.0,True
frozen,blocks.10.attn1.norm_q.weight,blocks.10,1536,1536,0.0,0.0,0.0,53.007823438650306,0.0,True
frozen,blocks.10.attn1.to_k.bias,blocks.10,1536,1536,1.862645149230957e-09,9.5367431640625e-07,1.6518123698891422e-06,2.8312807127779362,5.834152588380642e-07,False
frozen,blocks.10.attn1.to_k.weight,blocks.10,1536x1536,2359296,7.2136834283753615e-09,5.245208740234375e-06,0.00017585327960794724,58.897023481666714,2.9857753280636216e-06,False
