recipe,sample_id,source_group,step0_output,step10_output,comparison_strip,frames_reviewed,classification,reason
S0_adamw_lr1em05,BLENDER_RIVER016_00001,BLENDER_RIVER016,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr1em05/heldout_outputs/BLENDER_RIVER016_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr1em05/heldout_outputs/BLENDER_RIVER016_00001/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr1em05/heldout_outputs/BLENDER_RIVER016_00001/sft_comparison_strip_16.jpg,"0,mid,last,16-strip",STEP10_SLIGHTLY_WORSE,"Opened 16-frame strip. Step10 has mild global texture/brightness drift around tree, slope, and water edge; no collapse, but no visible quality gain."
S0_adamw_lr1em05,BLENDER_STREET006_00002,BLENDER_STREET006,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr1em05/heldout_outputs/BLENDER_STREET006_00002/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr1em05/heldout_outputs/BLENDER_STREET006_00002/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr1em05/heldout_outputs/BLENDER_STREET006_00002/sft_comparison_strip_16.jpg,"0,mid,last,16-strip",TIE,"Opened 16-frame strip. Step10 is nearly identical to Step0 with only faint brightness/edge movement; no stable visual improvement."
S0_adamw_lr1em05,REAL_ENV087_00002_001_01,REAL_ENV087_00002,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr1em05/heldout_outputs/REAL_ENV087_00002_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr1em05/heldout_outputs/REAL_ENV087_00002_001_01/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr1em05/heldout_outputs/REAL_ENV087_00002_001_01/sft_comparison_strip_16.jpg,"0,mid,last,16-strip",STEP10_SLIGHTLY_WORSE,"Opened 16-frame strip. Vegetation and pavement drift slightly; outside MAE rises and there is no visible quality improvement."
S0_adamw_lr1em05,REAL_ENV103_00001_001_01,REAL_ENV103_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr1em05/heldout_outputs/REAL_ENV103_00001_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr1em05/heldout_outputs/REAL_ENV103_00001_001_01/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr1em05/heldout_outputs/REAL_ENV103_00001_001_01/sft_comparison_strip_16.jpg,"0,mid,last,16-strip",STEP10_SLIGHTLY_WORSE,"Opened 16-frame strip. Indoor cabinet/chair region shows faint texture and color drift; boundary metric worsens and no visual gain is present."
S0_adamw_lr3em05,BLENDER_RIVER016_00001,BLENDER_RIVER016,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr3em05/heldout_outputs/BLENDER_RIVER016_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr3em05/heldout_outputs/BLENDER_RIVER016_00001/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr3em05/heldout_outputs/BLENDER_RIVER016_00001/sft_comparison_strip_16.jpg,"0,mid,last,16-strip",STEP10_CLEARLY_WORSE,"Opened 16-frame strip. Tree/grass/water regions shift more strongly than lr1e-5 and outside preservation visibly worsens."
S0_adamw_lr3em05,BLENDER_STREET006_00002,BLENDER_STREET006,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr3em05/heldout_outputs/BLENDER_STREET006_00002/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr3em05/heldout_outputs/BLENDER_STREET006_00002/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr3em05/heldout_outputs/BLENDER_STREET006_00002/sft_comparison_strip_16.jpg,"0,mid,last,16-strip",PARETO_MIXED_TIE,"Opened 16-frame strip. Local edge/mask metric slightly improves, but outside/temporal differences grow; no reliable visual gain."
S0_adamw_lr3em05,REAL_ENV087_00002_001_01,REAL_ENV087_00002,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr3em05/heldout_outputs/REAL_ENV087_00002_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr3em05/heldout_outputs/REAL_ENV087_00002_001_01/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr3em05/heldout_outputs/REAL_ENV087_00002_001_01/sft_comparison_strip_16.jpg,"0,mid,last,16-strip",STEP10_CLEARLY_WORSE,"Opened 16-frame strip. Vegetation, pavement, and dark regions drift clearly; mask, boundary, and outside metrics all degrade."
S0_adamw_lr3em05,REAL_ENV103_00001_001_01,REAL_ENV103_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr3em05/heldout_outputs/REAL_ENV103_00001_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr3em05/heldout_outputs/REAL_ENV103_00001_001_01/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr3em05/heldout_outputs/REAL_ENV103_00001_001_01/sft_comparison_strip_16.jpg,"0,mid,last,16-strip",STEP10_CLEARLY_WORSE,"Opened 16-frame strip. Indoor wood and shadow regions shift visibly; no positive local improvement offsets the outside/boundary degradation."
S0_adamw_lr0.0001,BLENDER_RIVER016_00001,BLENDER_RIVER016,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr0.0001/heldout_outputs/BLENDER_RIVER016_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr0.0001/heldout_outputs/BLENDER_RIVER016_00001/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr0.0001/heldout_outputs/BLENDER_RIVER016_00001/sft_comparison_strip_16.jpg,"0,mid,last,16-strip",STEP10_NEW_ARTIFACT,"Opened 16-frame strip. Strong green/purple cast, structure distortion, and broad outside damage; collapse-like failure."
S0_adamw_lr0.0001,BLENDER_STREET006_00002,BLENDER_STREET006,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr0.0001/heldout_outputs/BLENDER_STREET006_00002/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr0.0001/heldout_outputs/BLENDER_STREET006_00002/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp35_minimax_flow_dpo_rescue/winner_sft_positive_control_20260627/S0_adamw_lr0.0001/heldout_outputs/BLENDER_STREET006_00002/sft_comparison_strip_16.jpg,"0,mid,last,16-strip",STEP10_NEW_ARTIFACT,"Opened 16-frame strip. Output becomes over-bright/blocky with large red diff regions; target and background are both altered."
