split,sample_id,source_group,comparison_strip,step0_output,step10_output,frames_reviewed,classification,reason
train16,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_MOUNTAIN014_00001/step0_vs_step10_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_MOUNTAIN014_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_MOUNTAIN014_00001/step10/evidence/raw_output.mp4,all 17 strip frames plus diff column; sampled individual full-resolution strips for best/worst metric rows,TIE_NO_VISIBLE_CHANGE,"Codex visual review found Step0 and Step10 visually indistinguishable; diff column is near black and no local object/effect improvement is visible. metric deltas: mask_psnr=-0.018927, boundary_psnr=-0.003651, full_psnr=+0.015568."
train16,BLENDER_FOREST049_00001,BLENDER_FOREST049,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_FOREST049_00001/step0_vs_step10_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_FOREST049_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_FOREST049_00001/step10/evidence/raw_output.mp4,all 17 strip frames plus diff column; sampled individual full-resolution strips for best/worst metric rows,TIE_NO_VISIBLE_CHANGE,"Codex visual review found Step0 and Step10 visually indistinguishable; diff column is near black and no local object/effect improvement is visible. metric deltas: mask_psnr=-0.003268, boundary_psnr=-0.000786, full_psnr=+0.035201."
train16,BLENDER_OFFICE002_00001,BLENDER_OFFICE002,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_OFFICE002_00001/step0_vs_step10_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_OFFICE002_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_OFFICE002_00001/step10/evidence/raw_output.mp4,all 17 strip frames plus diff column; sampled individual full-resolution strips for best/worst metric rows,TIE_NO_VISIBLE_CHANGE,"Codex visual review found Step0 and Step10 visually indistinguishable; diff column is near black and no local object/effect improvement is visible. metric deltas: mask_psnr=+0.018786, boundary_psnr=+0.002467, full_psnr=+0.050782."
train16,BLENDER_RIVER005_00001,BLENDER_RIVER005,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_RIVER005_00001/step0_vs_step10_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_RIVER005_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_RIVER005_00001/step10/evidence/raw_output.mp4,all 17 strip frames plus diff column; sampled individual full-resolution strips for best/worst metric rows,TIE_NO_VISIBLE_CHANGE,"Codex visual review found Step0 and Step10 visually indistinguishable; diff column is near black and no local object/effect improvement is visible. metric deltas: mask_psnr=-0.002928, boundary_psnr=-0.001777, full_psnr=+0.012269."
train16,BLENDER_GRASS001_00001,BLENDER_GRASS001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_GRASS001_00001/step0_vs_step10_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_GRASS001_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_GRASS001_00001/step10/evidence/raw_output.mp4,all 17 strip frames plus diff column; sampled individual full-resolution strips for best/worst metric rows,TIE_NO_VISIBLE_CHANGE,"Codex visual review found Step0 and Step10 visually indistinguishable; diff column is near black and no local object/effect improvement is visible. metric deltas: mask_psnr=+0.032263, boundary_psnr=-0.008732, full_psnr=+0.008967."
train16,BLENDER_RIVER002_00001,BLENDER_RIVER002,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_RIVER002_00001/step0_vs_step10_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_RIVER002_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_RIVER002_00001/step10/evidence/raw_output.mp4,all 17 strip frames plus diff column; sampled individual full-resolution strips for best/worst metric rows,TIE_NO_VISIBLE_CHANGE,"Codex visual review found Step0 and Step10 visually indistinguishable; diff column is near black and no local object/effect improvement is visible. metric deltas: mask_psnr=+0.002178, boundary_psnr=-0.004579, full_psnr=+0.008519."
train16,BLENDER_MOUNTAIN008_00001,BLENDER_MOUNTAIN008,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_MOUNTAIN008_00001/step0_vs_step10_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_MOUNTAIN008_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_MOUNTAIN008_00001/step10/evidence/raw_output.mp4,all 17 strip frames plus diff column; sampled individual full-resolution strips for best/worst metric rows,TIE_NO_VISIBLE_CHANGE,"Codex visual review found Step0 and Step10 visually indistinguishable; diff column is near black and no local object/effect improvement is visible. metric deltas: mask_psnr=-0.171367, boundary_psnr=-0.044376, full_psnr=+0.016955."
train16,BLENDER_MOUNTAIN001_00001,BLENDER_MOUNTAIN001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_MOUNTAIN001_00001/step0_vs_step10_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_MOUNTAIN001_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_MOUNTAIN001_00001/step10/evidence/raw_output.mp4,all 17 strip frames plus diff column; sampled individual full-resolution strips for best/worst metric rows,TIE_NO_VISIBLE_CHANGE,"Codex visual review found Step0 and Step10 visually indistinguishable; diff column is near black and no local object/effect improvement is visible. metric deltas: mask_psnr=-0.016650, boundary_psnr=-0.026785, full_psnr=+0.006513."
train16,BLENDER_RIVER004_00001,BLENDER_RIVER004,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_RIVER004_00001/step0_vs_step10_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_RIVER004_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_RIVER004_00001/step10/evidence/raw_output.mp4,all 17 strip frames plus diff column; sampled individual full-resolution strips for best/worst metric rows,TIE_NO_VISIBLE_CHANGE,"Codex visual review found Step0 and Step10 visually indistinguishable; diff column is near black and no local object/effect improvement is visible. metric deltas: mask_psnr=+0.006768, boundary_psnr=-0.002287, full_psnr=+0.011008."
train16,BLENDER_MOUNTAIN011_00001,BLENDER_MOUNTAIN011,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_MOUNTAIN011_00001/step0_vs_step10_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_MOUNTAIN011_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/train_vs_heldout_20260628/outputs/train16/BLENDER_MOUNTAIN011_00001/step10/evidence/raw_output.mp4,all 17 strip frames plus diff column; sampled individual full-resolution strips for best/worst metric rows,TIE_NO_VISIBLE_CHANGE,"Codex visual review found Step0 and Step10 visually indistinguishable; diff column is near black and no local object/effect improvement is visible. metric deltas: mask_psnr=+0.002286, boundary_psnr=+0.009568, full_psnr=+0.025887."
