experiment_label,split,sample_id,review_method,frames_reviewed,comparison_strip,compact_review_page_root,delta_full_psnr,delta_mask_psnr,delta_boundary_psnr,delta_outside_psnr,pixel_diff_mean_review_frames,classification,outside_damage,quality_positive,reason
exp37_r1_localdpo_badnoise,train,BLENDER_MOUNTAIN014_00001,Codex reviewed compact start/mid/end strip pages plus representative full 16-frame strips,"start,mid,end; representative full 16-frame strip",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_MOUNTAIN014_00001/step0_vs_step_strip_16.jpg,/home/hj/H20_Video_inpainting_DPO_exp38_minimax_full/reports/exp38_train_overfit_runtime/compact_review_pages,-0.15417838284270502,-0.28728715830948204,-0.14771682496835936,-0.1544152299353101,2.535500685373942,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,mixed,no,"Step output differs from Step0, but compact review does not show a reliable quality gain."
exp37_r1_localdpo_badnoise,train,BLENDER_FOREST049_00001,Codex reviewed compact start/mid/end strip pages plus representative full 16-frame strips,"start,mid,end; representative full 16-frame strip",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_FOREST049_00001/step0_vs_step_strip_16.jpg,/home/hj/H20_Video_inpainting_DPO_exp38_minimax_full/reports/exp38_train_overfit_runtime/compact_review_pages,-1.0226680749880082,0.4733412147413816,0.41517946077039625,-1.0981041586192362,3.9613266785939536,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,yes,no,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement."
exp37_r1_localdpo_badnoise,train,BLENDER_OFFICE002_00001,Codex reviewed compact start/mid/end strip pages plus representative full 16-frame strips,"start,mid,end; representative full 16-frame strip",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_OFFICE002_00001/step0_vs_step_strip_16.jpg,/home/hj/H20_Video_inpainting_DPO_exp38_minimax_full/reports/exp38_train_overfit_runtime/compact_review_pages,-1.2584380833649362,-0.6689442247905752,1.6923660363965283,-2.396917826755896,1.8566180070241294,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,yes,no,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement."
exp37_r1_localdpo_badnoise,train,BLENDER_RIVER005_00001,Codex reviewed compact start/mid/end strip pages plus representative full 16-frame strips,"start,mid,end; representative full 16-frame strip",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_RIVER005_00001/step0_vs_step_strip_16.jpg,/home/hj/H20_Video_inpainting_DPO_exp38_minimax_full/reports/exp38_train_overfit_runtime/compact_review_pages,-0.1711651311746749,-0.18429826967704344,-0.07969298144158543,-0.17722078172463895,2.856222232182821,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,mixed,no,"Step output differs from Step0, but compact review does not show a reliable quality gain."
exp37_r1_localdpo_badnoise,train,BLENDER_GRASS001_00001,Codex reviewed compact start/mid/end strip pages plus representative full 16-frame strips,"start,mid,end; representative full 16-frame strip",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_GRASS001_00001/step0_vs_step_strip_16.jpg,/home/hj/H20_Video_inpainting_DPO_exp38_minimax_full/reports/exp38_train_overfit_runtime/compact_review_pages,-1.1270771851684032,1.1270251586450968,0.76496271392514,-1.159935477680616,3.2040155728658037,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,yes,no,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement."
exp37_r1_localdpo_badnoise,train,BLENDER_RIVER002_00001,Codex reviewed compact start/mid/end strip pages plus representative full 16-frame strips,"start,mid,end; representative full 16-frame strip",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_RIVER002_00001/step0_vs_step_strip_16.jpg,/home/hj/H20_Video_inpainting_DPO_exp38_minimax_full/reports/exp38_train_overfit_runtime/compact_review_pages,-0.033211532031000246,0.8232080690741341,0.13569947691478035,-0.509273159154457,2.8575304349263506,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,yes,no,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement."
exp37_r1_localdpo_badnoise,train,BLENDER_MOUNTAIN008_00001,Codex reviewed compact start/mid/end strip pages plus representative full 16-frame strips,"start,mid,end; representative full 16-frame strip",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_MOUNTAIN008_00001/step0_vs_step_strip_16.jpg,/home/hj/H20_Video_inpainting_DPO_exp38_minimax_full/reports/exp38_train_overfit_runtime/compact_review_pages,-0.37279556755925114,0.1872876242776016,0.43388217680176666,-0.3728252837165833,2.3212883472442627,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,mixed,no,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better."
exp37_r1_localdpo_badnoise,train,BLENDER_MOUNTAIN001_00001,Codex reviewed compact start/mid/end strip pages plus representative full 16-frame strips,"start,mid,end; representative full 16-frame strip",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_MOUNTAIN001_00001/step0_vs_step_strip_16.jpg,/home/hj/H20_Video_inpainting_DPO_exp38_minimax_full/reports/exp38_train_overfit_runtime/compact_review_pages,-0.8326876781032766,-0.09047924758586134,-0.07311091418376137,-1.002715570097827,3.371105909347534,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,yes,no,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement."
exp37_r1_localdpo_badnoise,train,BLENDER_RIVER004_00001,Codex reviewed compact start/mid/end strip pages plus representative full 16-frame strips,"start,mid,end; representative full 16-frame strip",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_RIVER004_00001/step0_vs_step_strip_16.jpg,/home/hj/H20_Video_inpainting_DPO_exp38_minimax_full/reports/exp38_train_overfit_runtime/compact_review_pages,-0.3888536296948075,-0.06339009451245303,0.13919658632527998,-0.4265667525476253,3.2378803094228106,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,mixed,no,"Step output differs from Step0, but compact review does not show a reliable quality gain."
exp37_r1_localdpo_badnoise,train,BLENDER_MOUNTAIN011_00001,Codex reviewed compact start/mid/end strip pages plus representative full 16-frame strips,"start,mid,end; representative full 16-frame strip",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_MOUNTAIN011_00001/step0_vs_step_strip_16.jpg,/home/hj/H20_Video_inpainting_DPO_exp38_minimax_full/reports/exp38_train_overfit_runtime/compact_review_pages,-0.9331153938016463,0.21018439163879776,0.40394324206265253,-1.7279002164042154,3.092904567718506,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,yes,no,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement."
