evidence_source,split,sample_id,source_group,full_psnr_delta,mask_psnr_delta,boundary_psnr_delta,affected_psnr_delta,outside_psnr_delta,outside_l1_delta,lpips_delta,mask_lpips_delta,boundary_lpips_delta,ewarp_delta,temporal_flicker_delta,object_residual_delta,effect_residual_delta,pixel_diff_inside_mask,pixel_diff_boundary,pixel_diff_outside,diagnosis_class,visual_classification,visual_reason,comparison_strip
exp38_sft_dpo_rescue_R1_heldout13,heldout13,BLENDER_RIVER016_00001,BLENDER_RIVER016,-0.13930612847941148,-0.2626032794865587,-0.035677429811572736,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.05998553946264806,0.29279234830071044,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.2754983752965927,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,0.29279234830071044,R1_WORSE,STEP10_SLIGHTLY_WORSE_OR_TRADEOFF,Step10 introduces local/global tradeoffs without a reliable quality gain.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/BLENDER_RIVER016_00001/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,BLENDER_STREET006_00002,BLENDER_STREET006,-0.05062846212568317,-0.12579685206711133,-0.16947635721895793,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.0061335101592590036,0.4450433394488167,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.04202715680003166,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,0.4450433394488167,R1_WORSE,TIE_NO_MEANINGFUL_CHANGE,Step10 changes are too small to support a visual win.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/BLENDER_STREET006_00002/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV103_00001_001_01,REAL_ENV103_00001,0.5637945563386353,0.6152900719001089,-0.5810475864518772,NOT_AVAILABLE_IN_EXP38_R1_REPORT,0.18490740964742258,-0.10891588996438406,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.035678695887327194,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.10891588996438406,R1_GOOD_BUT_BOUNDARY_BAD,STEP10_LOCAL_TRADEOFF_NOT_BETTER,"Mask/full PSNR moves up, but boundary/outside or outside-MAE worsens; visual evidence does not support a clean improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00001_001_01/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV089_00001_001_01,REAL_ENV089_00001,0.1926998984161692,0.35847082935532093,-0.13228010866040307,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.1229483714048385,0.5257155474494475,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.422095462679863,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,0.5257155474494475,R1_GOOD_BUT_BOUNDARY_BAD,STEP10_LOCAL_TRADEOFF_NOT_BETTER,"Mask/full PSNR moves up, but boundary/outside or outside-MAE worsens; visual evidence does not support a clean improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV089_00001_001_01/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV103_00002_001_02,REAL_ENV103_00002,-0.2268825214728416,-0.12418683583658563,-0.9476197483234046,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.8168310767696987,0.5167629017549409,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.10570301488041878,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,0.5167629017549409,R1_WORSE,STEP10_SLIGHTLY_WORSE_OR_TRADEOFF,Step10 introduces local/global tradeoffs without a reliable quality gain.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00002_001_02/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV103_00003_001_01,REAL_ENV103_00003,-0.12258394269605688,-0.04490348163083979,-0.0395923824142983,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.2730922417577055,0.39492169548483425,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.058713629841804504,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,0.39492169548483425,R1_WORSE,STEP10_SLIGHTLY_WORSE_OR_TRADEOFF,Step10 introduces local/global tradeoffs without a reliable quality gain.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00003_001_01/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV093_00001_001_01,REAL_ENV093_00001,0.1561362500236001,0.042891155769298805,0.20235753754629826,NOT_AVAILABLE_IN_EXP38_R1_REPORT,0.2932110665772285,-0.9393027810489443,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.5011321902275085,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.9393027810489443,R1_GOOD_LOCAL_IMPROVEMENT_NOT_DECISIVE,TIE_LOCAL_NUMERIC_GAIN,"Small local/background cleanup is visible, but the difference is subtle and not enough to count as a clear visual win.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV093_00001_001_01/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV103_00004_001_01,REAL_ENV103_00004,0.08052419026611801,0.1790363866294271,-0.3543700181061702,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.2444404826313722,0.10444685992072689,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.03613526001572609,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,0.10444685992072689,R1_GOOD_BUT_BOUNDARY_BAD,STEP10_LOCAL_TRADEOFF_NOT_BETTER,"Mask/full PSNR moves up, but boundary/outside or outside-MAE worsens; visual evidence does not support a clean improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00004_001_01/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV095_00002_001_01,REAL_ENV095_00002,0.07251070851076591,0.010355967536403554,0.03622671307069325,NOT_AVAILABLE_IN_EXP38_R1_REPORT,0.0926443292791106,0.12882288764505034,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.2907019257545471,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,0.12882288764505034,R1_GOOD_LOCAL_IMPROVEMENT_NOT_DECISIVE,TIE_LOCAL_NUMERIC_GAIN,R1 gives mild local numeric movement without a clear strip-level visual improvement; not counted as better.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV095_00002_001_01/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV095_00003_001_01,REAL_ENV095_00003,-0.06316246338741394,-0.092474764289328,-0.044642933494927206,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.04210374666189054,0.20320572572595808,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,-0.2879774272441864,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,NOT_AVAILABLE_IN_EXP38_R1_REPORT,0.20320572572595808,R1_TIE,STEP10_SLIGHTLY_WORSE_OR_TRADEOFF,Step10 introduces local/global tradeoffs without a reliable quality gain.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV095_00003_001_01/step0_vs_step10_strip.jpg
