sample_id,split,recipe,checkpoint,condition_path,winner_path,loser_path,mask_path,raw_step0,raw_stepN,comp_step0,comp_stepN,frames_reviewed,full_psnr_delta,mask_psnr_delta,boundary_psnr_delta,outside_psnr_delta,lpips_delta,ewarp_delta,temporal_artifact,spatial_artifact,fogging,over_erasure,boundary_damage,outside_damage,classification,reason,comparison_strip
BLENDER_MOUNTAIN001_00001,search,SFTmA_S0_lr3em05,step30,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN001_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN001_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/search/BLENDER_MOUNTAIN001_00001/C1_mild_object_texture/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN001_00001/mask_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/step0_baseline_20260629_0457/outputs/search24_shadow24/search/BLENDER_MOUNTAIN001_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN001_00001/step30/evidence/raw_output.mp4,,,"0,mid,last,16-strip",-3.907018757059376,0.6542693042734697,-1.5385562015499303,-4.487829475966262,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,automated metric prelabel; Codex visual review required before promotion,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN001_00001/step0_vs_step30_strip_16.jpg
BLENDER_MOUNTAIN002_00001,search,SFTmA_S0_lr3em05,step30,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_MOUNTAIN002_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_MOUNTAIN002_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/search/BLENDER_MOUNTAIN002_00001/C4_affected_soft_degradation/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_MOUNTAIN002_00001/mask_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/step0_baseline_20260629_0457/outputs/search24_shadow24/search/BLENDER_MOUNTAIN002_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN002_00001/step30/evidence/raw_output.mp4,,,"0,mid,last,16-strip",-7.291402606793632,-1.1572892987817731,-1.1861929134394273,-8.260018000528785,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,automated metric prelabel; Codex visual review required before promotion,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN002_00001/step0_vs_step30_strip_16.jpg
BLENDER_MOUNTAIN006_00001,search,SFTmA_S0_lr3em05,step30,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN006_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN006_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/search/BLENDER_MOUNTAIN006_00001/C1_mild_object_texture/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN006_00001/mask_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/step0_baseline_20260629_0457/outputs/search24_shadow24/search/BLENDER_MOUNTAIN006_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN006_00001/step30/evidence/raw_output.mp4,,,"0,mid,last,16-strip",0.5923054643145491,0.8591520041898217,-0.7507449372441748,-3.229296296172169,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,NUMERIC_GAIN_WITH_BOUNDARY_COST,automated metric prelabel; Codex visual review required before promotion,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN006_00001/step0_vs_step30_strip_16.jpg
BLENDER_MOUNTAIN007_00001,search,SFTmA_S0_lr3em05,step30,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN007_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN007_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/search/BLENDER_MOUNTAIN007_00001/C4_affected_soft_degradation/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN007_00001/mask_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/step0_baseline_20260629_0457/outputs/search24_shadow24/search/BLENDER_MOUNTAIN007_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN007_00001/step30/evidence/raw_output.mp4,,,"0,mid,last,16-strip",-2.308000928109969,-1.7993420547960568,-2.2473465787005438,-7.642098858679702,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,automated metric prelabel; Codex visual review required before promotion,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN007_00001/step0_vs_step30_strip_16.jpg
BLENDER_MOUNTAIN008_00001,search,SFTmA_S0_lr3em05,step30,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN008_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN008_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/search/BLENDER_MOUNTAIN008_00001/C1_mild_object_texture/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN008_00001/mask_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/step0_baseline_20260629_0457/outputs/search24_shadow24/search/BLENDER_MOUNTAIN008_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN008_00001/step30/evidence/raw_output.mp4,,,"0,mid,last,16-strip",0.2655985064645847,-12.314161714908654,-11.488660384209663,0.2688067578469351,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,NUMERIC_GAIN_WITH_BOUNDARY_COST,automated metric prelabel; Codex visual review required before promotion,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN008_00001/step0_vs_step30_strip_16.jpg
BLENDER_MOUNTAIN009_00001,search,SFTmA_S0_lr3em05,step30,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN009_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN009_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/search/BLENDER_MOUNTAIN009_00001/C2_medium_object_texture/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN009_00001/mask_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/step0_baseline_20260629_0457/outputs/search24_shadow24/search/BLENDER_MOUNTAIN009_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN009_00001/step30/evidence/raw_output.mp4,,,"0,mid,last,16-strip",-5.7159533098440285,-1.6715424078116161,-1.820995777050964,-7.255622816573652,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,automated metric prelabel; Codex visual review required before promotion,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN009_00001/step0_vs_step30_strip_16.jpg
BLENDER_MOUNTAIN011_00001,search,SFTmA_S0_lr3em05,step30,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN011_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN011_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/search/BLENDER_MOUNTAIN011_00001/C1_mild_object_texture/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN011_00001/mask_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/step0_baseline_20260629_0457/outputs/search24_shadow24/search/BLENDER_MOUNTAIN011_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN011_00001/step30/evidence/raw_output.mp4,,,"0,mid,last,16-strip",-2.4789778635609743,-0.1584399762766857,0.522233639048558,-3.8631473875374134,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,automated metric prelabel; Codex visual review required before promotion,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN011_00001/step0_vs_step30_strip_16.jpg
BLENDER_MOUNTAIN014_00001,search,SFTmA_S0_lr3em05,step30,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN014_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN014_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/search/BLENDER_MOUNTAIN014_00001/C3_boundary_seam_mild/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_MOUNTAIN014_00001/mask_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/step0_baseline_20260629_0457/outputs/search24_shadow24/search/BLENDER_MOUNTAIN014_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN014_00001/step30/evidence/raw_output.mp4,,,"0,mid,last,16-strip",0.6875693628316348,-4.438311977345499,-2.2959969161996945,0.7422233444673481,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,NUMERIC_GAIN_WITH_BOUNDARY_COST,automated metric prelabel; Codex visual review required before promotion,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_MOUNTAIN014_00001/step0_vs_step30_strip_16.jpg
BLENDER_OFFICE002_00001,search,SFTmA_S0_lr3em05,step30,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_OFFICE002_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_OFFICE002_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/search/BLENDER_OFFICE002_00001/C1_mild_object_texture/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_OFFICE002_00001/mask_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/step0_baseline_20260629_0457/outputs/search24_shadow24/search/BLENDER_OFFICE002_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_OFFICE002_00001/step30/evidence/raw_output.mp4,,,"0,mid,last,16-strip",-3.686418166069771,-1.8609293675009795,2.4344280373183196,-5.4304100224559875,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,automated metric prelabel; Codex visual review required before promotion,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_OFFICE002_00001/step0_vs_step30_strip_16.jpg
BLENDER_OFFICE003_00001,search,SFTmA_S0_lr3em05,step30,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_OFFICE003_00001/condition_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_OFFICE003_00001/winner_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/search/BLENDER_OFFICE003_00001/C2_medium_object_texture/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/gate64_v3_20260627/materialized_17f_512_final_round3/materialized_sources/BLENDER_OFFICE003_00001/mask_frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/step0_baseline_20260629_0457/outputs/search24_shadow24/search/BLENDER_OFFICE003_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_OFFICE003_00001/step30/evidence/raw_output.mp4,,,"0,mid,last,16-strip",-1.5242597493818337,0.3584201172682189,2.2360248461924517,-3.161091701264013,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,NOT_PRODUCED_BY_THIS_MINIMAX_RUNNER,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,PENDING_CODEX_REVIEW,automated metric prelabel; Codex visual review required before promotion,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/sft_psnr_safe_grid_20260629_0524/outputs/gpu0_ab/SFTmA_S0_lr3em05/search_outputs/BLENDER_OFFICE003_00001/step0_vs_step30_strip_16.jpg
