candidate_id,sample_id,scene_group,seed,source_manifest,auto_classification,final_visual_classification,review_method,reviewer_pass,training_ready,reason,full_psnr,mask_psnr,boundary_psnr,outside_psnr,temporal_diff_mae,raw_output_mp4,temporal_strip_16,review_sheet
BLENDER_DESERT004_00001__seed0_20260629,BLENDER_DESERT004_00001,BLENDER_DESERT004,20260629,exp40_train,SUCCESSFUL_REMOVAL_CANDIDATE,SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE,opened_compact_16_frame_temporal_strip,diagnostic_success_signal_only,false,"Opened compact 16-frame temporal strip page. Removal/output appears temporally coherent at strip scale; candidate is useful as a success signal, but success rows are heavily clustered by source/seed.",34.031773,23.286801,25.506553,37.108177,0.712055,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_DESERT004_00001/seed0_20260629/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_DESERT004_00001/seed0_20260629/evidence/temporal_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_DESERT004_00001/seed0_20260629/evidence/midframe_review_sheet.jpg
BLENDER_DESERT004_00001__seed1_20260630,BLENDER_DESERT004_00001,BLENDER_DESERT004,20260630,exp40_train,SUCCESSFUL_REMOVAL_CANDIDATE,SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE,opened_compact_16_frame_temporal_strip,diagnostic_success_signal_only,false,"Opened compact 16-frame temporal strip page. Removal/output appears temporally coherent at strip scale; candidate is useful as a success signal, but success rows are heavily clustered by source/seed.",33.955558,23.216173,24.947244,37.326812,0.711708,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_DESERT004_00001/seed1_20260630/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_DESERT004_00001/seed1_20260630/evidence/temporal_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_DESERT004_00001/seed1_20260630/evidence/midframe_review_sheet.jpg
BLENDER_DESERT004_00001__seed2_20260631,BLENDER_DESERT004_00001,BLENDER_DESERT004,20260631,exp40_train,SUCCESSFUL_REMOVAL_CANDIDATE,SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE,opened_compact_16_frame_temporal_strip,diagnostic_success_signal_only,false,"Opened compact 16-frame temporal strip page. Removal/output appears temporally coherent at strip scale; candidate is useful as a success signal, but success rows are heavily clustered by source/seed.",34.215650,24.288945,25.984985,36.762807,0.710080,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_DESERT004_00001/seed2_20260631/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_DESERT004_00001/seed2_20260631/evidence/temporal_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_DESERT004_00001/seed2_20260631/evidence/midframe_review_sheet.jpg
BLENDER_DESERT004_00001__seed3_20260632,BLENDER_DESERT004_00001,BLENDER_DESERT004,20260632,exp40_train,SUCCESSFUL_REMOVAL_CANDIDATE,SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE,opened_compact_16_frame_temporal_strip,diagnostic_success_signal_only,false,"Opened compact 16-frame temporal strip page. Removal/output appears temporally coherent at strip scale; candidate is useful as a success signal, but success rows are heavily clustered by source/seed.",33.981117,23.534595,24.926620,37.086794,0.710306,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_DESERT004_00001/seed3_20260632/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_DESERT004_00001/seed3_20260632/evidence/temporal_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_DESERT004_00001/seed3_20260632/evidence/midframe_review_sheet.jpg
BLENDER_FOREST009_00013__seed0_20260629,BLENDER_FOREST009_00013,BLENDER_FOREST009,20260629,exp40_train,SUCCESSFUL_REMOVAL_CANDIDATE,SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE,opened_compact_16_frame_temporal_strip,diagnostic_success_signal_only,false,"Opened compact 16-frame temporal strip page. Removal/output appears temporally coherent at strip scale; candidate is useful as a success signal, but success rows are heavily clustered by source/seed.",36.652902,27.717453,28.965661,37.372875,0.652591,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST009_00013/seed0_20260629/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST009_00013/seed0_20260629/evidence/temporal_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST009_00013/seed0_20260629/evidence/midframe_review_sheet.jpg
BLENDER_FOREST009_00013__seed2_20260631,BLENDER_FOREST009_00013,BLENDER_FOREST009,20260631,exp40_train,SUCCESSFUL_REMOVAL_CANDIDATE,SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE,opened_compact_16_frame_temporal_strip,diagnostic_success_signal_only,false,"Opened compact 16-frame temporal strip page. Removal/output appears temporally coherent at strip scale; candidate is useful as a success signal, but success rows are heavily clustered by source/seed.",36.413462,27.235229,29.201009,37.142882,0.653950,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST009_00013/seed2_20260631/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST009_00013/seed2_20260631/evidence/temporal_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST009_00013/seed2_20260631/evidence/midframe_review_sheet.jpg
BLENDER_FOREST017_00001__seed0_20260629,BLENDER_FOREST017_00001,BLENDER_FOREST017,20260629,exp40_train,SUCCESSFUL_REMOVAL_CANDIDATE,SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE,opened_compact_16_frame_temporal_strip,diagnostic_success_signal_only,false,"Opened compact 16-frame temporal strip page. Removal/output appears temporally coherent at strip scale; candidate is useful as a success signal, but success rows are heavily clustered by source/seed.",29.735254,30.875551,26.578441,29.748648,1.579642,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST017_00001/seed0_20260629/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST017_00001/seed0_20260629/evidence/temporal_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST017_00001/seed0_20260629/evidence/midframe_review_sheet.jpg
BLENDER_FOREST017_00001__seed1_20260630,BLENDER_FOREST017_00001,BLENDER_FOREST017,20260630,exp40_train,SUCCESSFUL_REMOVAL_CANDIDATE,SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE,opened_compact_16_frame_temporal_strip,diagnostic_success_signal_only,false,"Opened compact 16-frame temporal strip page. Removal/output appears temporally coherent at strip scale; candidate is useful as a success signal, but success rows are heavily clustered by source/seed.",29.830969,29.697215,28.450877,29.844738,1.569313,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST017_00001/seed1_20260630/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST017_00001/seed1_20260630/evidence/temporal_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST017_00001/seed1_20260630/evidence/midframe_review_sheet.jpg
BLENDER_FOREST017_00001__seed2_20260631,BLENDER_FOREST017_00001,BLENDER_FOREST017,20260631,exp40_train,SUCCESSFUL_REMOVAL_CANDIDATE,SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE,opened_compact_16_frame_temporal_strip,diagnostic_success_signal_only,false,"Opened compact 16-frame temporal strip page. Removal/output appears temporally coherent at strip scale; candidate is useful as a success signal, but success rows are heavily clustered by source/seed.",29.650414,29.775716,28.273708,29.667027,1.571395,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST017_00001/seed2_20260631/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST017_00001/seed2_20260631/evidence/temporal_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST017_00001/seed2_20260631/evidence/midframe_review_sheet.jpg
BLENDER_FOREST017_00001__seed3_20260632,BLENDER_FOREST017_00001,BLENDER_FOREST017,20260632,exp40_train,SUCCESSFUL_REMOVAL_CANDIDATE,SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE,opened_compact_16_frame_temporal_strip,diagnostic_success_signal_only,false,"Opened compact 16-frame temporal strip page. Removal/output appears temporally coherent at strip scale; candidate is useful as a success signal, but success rows are heavily clustered by source/seed.",29.842850,29.782316,30.374425,29.843566,1.574473,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST017_00001/seed3_20260632/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST017_00001/seed3_20260632/evidence/temporal_strip_16.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp42_pai_minimax_successful_removal_badnoise/official_success_mining_128_retry1_20260629_101104/candidates/BLENDER_FOREST017_00001/seed3_20260632/evidence/midframe_review_sheet.jpg
