item,value
status,H20_EXP43_SFT_BLOCKED
run_id,SFT-A_lr3em5_step30
recipe,SFT-A
lr,3e-5
steps,30
world_size,8
train_status,TRAIN_DONE
peak_rank0_vram_mib,66414.96484375
search_delta_full_psnr,-5.833128230661999
search_delta_mask_psnr,-4.674487775418862
search_delta_boundary_psnr,-4.700944147600658
search_delta_outside_psnr,-7.594088453813615
search_delta_ewarp,0.6460841968352801
shadow_delta_full_psnr,-6.55060498000691
shadow_delta_mask_psnr,-4.223185495799285
shadow_delta_boundary_psnr,-5.373455771430662
shadow_delta_outside_psnr,-8.45318893655187
shadow_delta_ewarp,0.5934015673112469
gate_pass,false
lpips_status,LPIPS_RUNTIME_BLOCKED
lpips_rerun_pgid,3675531
lpips_rerun_action,TERM_then_KILL_if_needed_own_pgid
external_gpu7_pid,1250053
external_gpu7_action,not_touched
next_step,do_not_launch_100_300_dpo_500_until_lpips_and_8gpu_are_clear
