pid,user,ppid,pgid,sid,etime,stat,classification,cmdline
258439,root,3811070,258439,3811070,05:23,Rl+,external_root_libero_eval,"python experiments/libero/eval_libero_single.py task=libero_uncond_2cam224_1e-4 ckpt=./checkpoints/fastwam_release/libero_uncond_2cam224.pt EVALUATION.task_suite_name=libero_spatial EVALUATION.task_id=1 gpu_id=5 EVALUATION.num_trials=50 EVALUATION.output_dir=evaluate_results/libero/libero_uncond_2cam224_1e-4/20260629_143938 EVALUATION.dataset_stats_path=./checkpoints/fastwam_release/libero_uncond_2cam224_dataset_stats.json"
2435051,root,2433543,2435051,2433543,01:22:09,Rl+,external_root_libero_eval,"python experiments/libero/eval_libero_single.py task=libero_uncond_2cam224_1e-4 ckpt=./checkpoints/fastwam_release/libero_uncond_2cam224.pt EVALUATION.task_suite_name=libero_10 EVALUATION.task_id=0 gpu_id=0 EVALUATION.num_trials=50 EVALUATION.output_dir=evaluate_results/libero/libero_uncond_2cam224_1e-4/20260629_143938 EVALUATION.dataset_stats_path=./checkpoints/fastwam_release/libero_uncond_2cam224_dataset_stats.json"
2435205,root,2433553,2435205,2433553,01:22:09,Rl+,external_root_libero_eval,"python experiments/libero/eval_libero_single.py task=libero_uncond_2cam224_1e-4 ckpt=./checkpoints/fastwam_release/libero_uncond_2cam224.pt EVALUATION.task_suite_name=libero_10 EVALUATION.task_id=1 gpu_id=1 EVALUATION.num_trials=50 EVALUATION.output_dir=evaluate_results/libero/libero_uncond_2cam224_1e-4/20260629_143938 EVALUATION.dataset_stats_path=./checkpoints/fastwam_release/libero_uncond_2cam224_dataset_stats.json"
2435394,root,2433815,2435394,2433815,01:22:08,Rl+,external_root_libero_eval,"python experiments/libero/eval_libero_single.py task=libero_uncond_2cam224_1e-4 ckpt=./checkpoints/fastwam_release/libero_uncond_2cam224.pt EVALUATION.task_suite_name=libero_10 EVALUATION.task_id=2 gpu_id=2 EVALUATION.num_trials=50 EVALUATION.output_dir=evaluate_results/libero/libero_uncond_2cam224_1e-4/20260629_143938 EVALUATION.dataset_stats_path=./checkpoints/fastwam_release/libero_uncond_2cam224_dataset_stats.json"
2435416,root,2433831,2435416,2433831,01:22:08,Rl+,external_root_libero_eval,"python experiments/libero/eval_libero_single.py task=libero_uncond_2cam224_1e-4 ckpt=./checkpoints/fastwam_release/libero_uncond_2cam224.pt EVALUATION.task_suite_name=libero_10 EVALUATION.task_id=3 gpu_id=3 EVALUATION.num_trials=50 EVALUATION.output_dir=evaluate_results/libero/libero_uncond_2cam224_1e-4/20260629_143938 EVALUATION.dataset_stats_path=./checkpoints/fastwam_release/libero_uncond_2cam224_dataset_stats.json"
2435885,root,2434029,2435885,2434029,01:22:06,Rl+,external_root_libero_eval,"python experiments/libero/eval_libero_single.py task=libero_uncond_2cam224_1e-4 ckpt=./checkpoints/fastwam_release/libero_uncond_2cam224.pt EVALUATION.task_suite_name=libero_10 EVALUATION.task_id=4 gpu_id=4 EVALUATION.num_trials=50 EVALUATION.output_dir=evaluate_results/libero/libero_uncond_2cam224_1e-4/20260629_143938 EVALUATION.dataset_stats_path=./checkpoints/fastwam_release/libero_uncond_2cam224_dataset_stats.json"
2436226,root,2434475,2436226,2434475,01:22:05,Rl+,external_root_libero_eval,"python experiments/libero/eval_libero_single.py task=libero_uncond_2cam224_1e-4 ckpt=./checkpoints/fastwam_release/libero_uncond_2cam224.pt EVALUATION.task_suite_name=libero_10 EVALUATION.task_id=6 gpu_id=6 EVALUATION.num_trials=50 EVALUATION.output_dir=evaluate_results/libero/libero_uncond_2cam224_1e-4/20260629_143938 EVALUATION.dataset_stats_path=./checkpoints/fastwam_release/libero_uncond_2cam224_dataset_stats.json"
2436243,root,2434493,2436243,2434493,01:22:05,Rl+,external_root_libero_eval,"python experiments/libero/eval_libero_single.py task=libero_uncond_2cam224_1e-4 ckpt=./checkpoints/fastwam_release/libero_uncond_2cam224.pt EVALUATION.task_suite_name=libero_10 EVALUATION.task_id=7 gpu_id=7 EVALUATION.num_trials=50 EVALUATION.output_dir=evaluate_results/libero/libero_uncond_2cam224_1e-4/20260629_143938 EVALUATION.dataset_stats_path=./checkpoints/fastwam_release/libero_uncond_2cam224_dataset_stats.json"
2436876,root,2434938,2436876,2434938,01:22:03,Rl+,external_root_libero_eval,"python experiments/libero/eval_libero_single.py task=libero_uncond_2cam224_1e-4 ckpt=./checkpoints/fastwam_release/libero_uncond_2cam224.pt EVALUATION.task_suite_name=libero_10 EVALUATION.task_id=9 gpu_id=1 EVALUATION.num_trials=50 EVALUATION.output_dir=evaluate_results/libero/libero_uncond_2cam224_1e-4/20260629_143938 EVALUATION.dataset_stats_path=./checkpoints/fastwam_release/libero_uncond_2cam224_dataset_stats.json"
2437100,root,2434913,2437100,2434913,01:22:03,Rl+,external_root_libero_eval,"python experiments/libero/eval_libero_single.py task=libero_uncond_2cam224_1e-4 ckpt=./checkpoints/fastwam_release/libero_uncond_2cam224.pt EVALUATION.task_suite_name=libero_10 EVALUATION.task_id=8 gpu_id=0 EVALUATION.num_trials=50 EVALUATION.output_dir=evaluate_results/libero/libero_uncond_2cam224_1e-4/20260629_143938 EVALUATION.dataset_stats_path=./checkpoints/fastwam_release/libero_uncond_2cam224_dataset_stats.json"
