split,row_index,sample_id,source_group,source_id,condition_path,mask_path,active_target_frames_dir,pseudo_success_path,gt_winner_path,original_target_frames_dir,original_target_frames_count,condition_frames,mask_frames,target_frames,gt_frames,mp4_frames,width,height,mask_area_mean,mask_nonempty_frames,target_mid_l1_vs_mp4,target_mid_l1_vs_condition,target_mid_l1_vs_gt,rgb_l1,bgr_l1,active_paths_exist,active_paths_h20_local,active_paths_not_pai_abs,active_paths_not_hal,frame_count_consistent,resolution_consistent,source_match,target_is_pseudo_success,target_not_gt_condition,target_frames_match_mp4,rgb_bgr_decode_ok,mask_polarity_ok,no_vor_eval,no_hard_comp,row_status,failure_reasons
train,0,pseudo_train_0000_BLENDER_DESERT004__exp45_pair000__s4__f6,BLENDER_DESERT004,BLENDER_DESERT004_00001,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/condition_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/mask_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0000_BLENDER_DESERT004__exp45_pair000__s4__f6,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed4_2026092780/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/winner_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed4_2026092780/frames,0,17,17,17,17,17,512,512,0.03237084781422334,17,0.0,6.524214267730713,4.541184902191162,0.0,22.4514102935791,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PASS,
train,1,pseudo_train_0001_BLENDER_DESERT004__exp45_pair001__s0__f6,BLENDER_DESERT004,BLENDER_DESERT004_00001,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/condition_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/mask_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0001_BLENDER_DESERT004__exp45_pair001__s0__f6,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed0_2026092776/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/winner_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed0_2026092776/frames,5,17,17,17,17,17,512,512,0.03237084781422334,17,0.0,6.823368072509766,4.899127960205078,0.0,22.10577392578125,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PASS,
train,2,pseudo_train_0002_BLENDER_DESERT004__exp45_pair002__s1__f6,BLENDER_DESERT004,BLENDER_DESERT004_00001,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/condition_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/mask_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0002_BLENDER_DESERT004__exp45_pair002__s1__f6,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed1_2026092777/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/winner_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed1_2026092777/frames,0,17,17,17,17,17,512,512,0.03237084781422334,17,0.0,6.606321811676025,4.679523468017578,0.0,22.27443504333496,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PASS,
train,3,pseudo_train_0003_BLENDER_DESERT004__exp45_pair003__s11__f6,BLENDER_DESERT004,BLENDER_DESERT004_00001,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/condition_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/mask_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0003_BLENDER_DESERT004__exp45_pair003__s11__f6,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed11_2026092787/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/winner_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed11_2026092787/frames,0,17,17,17,17,17,512,512,0.03237084781422334,17,0.0,6.528112888336182,4.619136810302734,0.0,22.528244018554688,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PASS,
train,4,pseudo_train_0004_BLENDER_DESERT004__exp45_pair004__s9__f6,BLENDER_DESERT004,BLENDER_DESERT004_00001,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/condition_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/mask_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0004_BLENDER_DESERT004__exp45_pair004__s9__f6,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed9_2026092785/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/winner_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed9_2026092785/frames,0,17,17,17,17,17,512,512,0.03237084781422334,17,0.0,6.885671138763428,4.854703426361084,0.0,21.819311141967773,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PASS,
train,5,pseudo_train_0005_BLENDER_DESERT004__exp45_pair005__s10__f6,BLENDER_DESERT004,BLENDER_DESERT004_00001,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/condition_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/mask_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0005_BLENDER_DESERT004__exp45_pair005__s10__f6,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed10_2026092786/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/winner_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed10_2026092786/frames,0,17,17,17,17,17,512,512,0.03237084781422334,17,0.0,6.555307865142822,4.689778804779053,0.0,22.1215877532959,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PASS,
train,6,pseudo_train_0006_BLENDER_DESERT004__exp45_pair006__s2__f6,BLENDER_DESERT004,BLENDER_DESERT004_00001,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/condition_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/mask_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0006_BLENDER_DESERT004__exp45_pair006__s2__f6,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed2_2026092778/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/winner_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed2_2026092778/frames,0,17,17,17,17,17,512,512,0.03237084781422334,17,0.0,6.224357604980469,4.411386966705322,0.0,22.38714599609375,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PASS,
train,7,pseudo_train_0007_BLENDER_DESERT004__exp45_pair007__s5__f6,BLENDER_DESERT004,BLENDER_DESERT004_00001,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/condition_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/mask_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0007_BLENDER_DESERT004__exp45_pair007__s5__f6,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed5_2026092781/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/winner_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed5_2026092781/frames,0,17,17,17,17,17,512,512,0.03237084781422334,17,0.0,6.926565647125244,4.963003635406494,0.0,22.04034996032715,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PASS,
train,8,pseudo_train_0008_BLENDER_DESERT004__exp45_pair008__s3__f6,BLENDER_DESERT004,BLENDER_DESERT004_00001,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/condition_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/mask_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0008_BLENDER_DESERT004__exp45_pair008__s3__f6,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed3_2026092779/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/winner_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed3_2026092779/frames,0,17,17,17,17,17,512,512,0.03237084781422334,17,0.0,6.4033331871032715,4.5345282554626465,0.0,21.9095458984375,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PASS,
train,9,pseudo_train_0009_BLENDER_DESERT004__exp45_pair009__s7__f6,BLENDER_DESERT004,BLENDER_DESERT004_00001,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/condition_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/mask_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0009_BLENDER_DESERT004__exp45_pair009__s7__f6,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed7_2026092783/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/materialized_17f_512/sources/BLENDER_DESERT004_00001/winner_frames,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed7_2026092783/frames,0,17,17,17,17,17,512,512,0.03237084781422334,17,0.0,6.540645599365234,4.631346225738525,0.0,22.31441307067871,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PASS,
