item,value,check_status
void_file_count,12,PASS
base_file_count,40,PASS
source_sha_count,52,PASS
pai_sha_count,52,PASS
missing_count,0,PASS
extra_count,0,PASS
mismatch_count,0,PASS
void_files_12,True,PASS
base_files_40,True,PASS
void_pass1_exists,True,PASS
void_pass2_exists,True,PASS
base_transformer_exists,True,PASS
base_vae_exists,True,PASS
base_text_encoder_1_exists,True,PASS
base_text_encoder_2_exists,True,PASS
relay_sha_exists,True,PASS
pai_sha_exists,True,PASS
hash_match,True,PASS
missing_files_0,True,PASS
mismatch_files_0,True,PASS
