step,sample_id,loss,winner_policy_loss,winner_reference_loss,loser_policy_loss,loser_reference_loss,winner_gap,loser_gap,preference_margin,winner_contribution,loser_contribution,loser_margin_share
1,BLENDER_CON001_00636,0.6931471824645996,0.06584931910037994,0.06584931910037994,0.0846111848950386,0.0846111848950386,0.0,0.0,0.0,0.0,-0.0,0.0
2,BLENDER_CON001_00843,0.6931420564651489,0.05746212229132652,0.05745808407664299,0.08569890260696411,0.08559229224920273,-4.038214683532715e-06,-0.00010661035776138306,0.00010257214307785034,-4.038214683532715e-06,0.00010661035776138306,1.0393695067916031
3,REAL_ENV219_00001_003_05,0.6931416988372803,0.1186281070113182,0.1186460629105568,0.049352146685123444,0.04926009103655815,1.7955899238586426e-05,-9.205564856529236e-05,0.00011001154780387878,1.7955899238586426e-05,9.205564856529236e-05,0.8367816870407369
4,REAL_ENV259_00102_002_04,0.6931343078613281,0.07053425908088684,0.07050265371799469,0.10437077283859253,0.1040811613202095,-3.160536289215088e-05,-0.0002896115183830261,0.00025800615549087524,-3.160536289215088e-05,0.0002896115183830261,1.1224984839296543
5,BLENDER_CON001_00636,0.6931247711181641,0.06567023694515228,0.06584931910037994,0.08487967401742935,0.0846111848950386,0.00017908215522766113,-0.00026848912239074707,0.0004475712776184082,0.00017908215522766113,0.00026848912239074707,0.5998801438274071
6,BLENDER_CON001_00843,0.693116307258606,0.05741197243332863,0.05745808407664299,0.0861644521355629,0.08559229224920273,4.611164331436157e-05,-0.0005721598863601685,0.00061827152967453,4.611164331436157e-05,0.0005721598863601685,0.9254184592024872
7,REAL_ENV219_00001_003_05,0.6931227445602417,0.11853250116109848,0.1186460629105568,0.049634937196969986,0.04926009103655815,0.00011356174945831299,-0.0003748461604118347,0.0004884079098701477,0.00011356174945831299,0.0003748461604118347,0.7674858511433497
8,REAL_ENV259_00102_002_04,0.6931103467941284,0.07058102637529373,0.07050265371799469,0.10489583015441895,0.1040811613202095,-7.837265729904175e-05,-0.0008146688342094421,0.0007362961769104004,-7.837265729904175e-05,0.0008146688342094421,1.1064417550392618
9,BLENDER_CON001_00636,0.6931094527244568,0.06557657569646835,0.06584931910037994,0.08509273082017899,0.0846111848950386,0.0002727434039115906,-0.00048154592514038086,0.0007542893290519714,0.0002727434039115906,0.00048154592514038086,0.6384100988749395
10,BLENDER_CON001_00843,0.6930938959121704,0.057385481894016266,0.05745808407664299,0.08658526837825775,0.08559229224920273,7.260218262672424e-05,-0.0009929761290550232,0.0010655783116817474,7.260218262672424e-05,0.0009929761290550232,0.9318659343655935
