affected_crop_sheet,affected_quality,boundary_crop_sheet,boundary_quality,cell,collapse,flicker,frames_reviewed,object_crop_sheet,object_quality,outside_crop_sheet,outside_quality,overlap_crop_sheet,overlap_quality,reason,sample_id,side_by_side,temporal_diff_heatmap,tone_shift,visual_better_tie_worse
/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/BLENDER_CON001_00742/affected_crop_sheet.jpg,safe,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/BLENDER_CON001_00742/boundary_crop_sheet.jpg,safe,ATS0_Q2_T500_S0,no,no,24,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/BLENDER_CON001_00742/object_crop_sheet.jpg,improved,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/BLENDER_CON001_00742/outside_crop_sheet.jpg,safe,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/BLENDER_CON001_00742/overlap_crop_sheet.jpg,safe,metric-assisted visual review target; Codex must open evidence before promotion,BLENDER_CON001_00742,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/BLENDER_CON001_00742/side_by_side.mp4,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/BLENDER_CON001_00742/temporal_diff_heatmap.jpg,no,better
/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/BLENDER_CON001_00744/affected_crop_sheet.jpg,safe,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/BLENDER_CON001_00744/boundary_crop_sheet.jpg,safe,ATS0_Q2_T500_S0,no,no,24,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/BLENDER_CON001_00744/object_crop_sheet.jpg,tie,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/BLENDER_CON001_00744/outside_crop_sheet.jpg,damaged,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/BLENDER_CON001_00744/overlap_crop_sheet.jpg,regressed,metric-assisted visual review target; Codex must open evidence before promotion,BLENDER_CON001_00744,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/BLENDER_CON001_00744/side_by_side.mp4,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/BLENDER_CON001_00744/temporal_diff_heatmap.jpg,no,worse
/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/REAL_ENV102_00001_002_02/affected_crop_sheet.jpg,regressed,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/REAL_ENV102_00001_002_02/boundary_crop_sheet.jpg,regressed,ATS0_Q2_T500_S0,no,no,24,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/REAL_ENV102_00001_002_02/object_crop_sheet.jpg,tie,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/REAL_ENV102_00001_002_02/outside_crop_sheet.jpg,safe,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/REAL_ENV102_00001_002_02/overlap_crop_sheet.jpg,regressed,metric-assisted visual review target; Codex must open evidence before promotion,REAL_ENV102_00001_002_02,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/REAL_ENV102_00001_002_02/side_by_side.mp4,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/REAL_ENV102_00001_002_02/temporal_diff_heatmap.jpg,no,worse
/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/REAL_ENV200_00001_006_02/affected_crop_sheet.jpg,safe,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/REAL_ENV200_00001_006_02/boundary_crop_sheet.jpg,safe,ATS0_Q2_T500_S0,no,no,24,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/REAL_ENV200_00001_006_02/object_crop_sheet.jpg,tie,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/REAL_ENV200_00001_006_02/outside_crop_sheet.jpg,safe,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/REAL_ENV200_00001_006_02/overlap_crop_sheet.jpg,regressed,metric-assisted visual review target; Codex must open evidence before promotion,REAL_ENV200_00001_006_02,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/REAL_ENV200_00001_006_02/side_by_side.mp4,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS0_Q2_T500_S0/evidence/REAL_ENV200_00001_006_02/temporal_diff_heatmap.jpg,yes,worse
/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/BLENDER_CON001_00742/affected_crop_sheet.jpg,safe,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/BLENDER_CON001_00742/boundary_crop_sheet.jpg,safe,ATS_STRICT_Q2_T500_S0,no,no,24,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/BLENDER_CON001_00742/object_crop_sheet.jpg,improved,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/BLENDER_CON001_00742/outside_crop_sheet.jpg,safe,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/BLENDER_CON001_00742/overlap_crop_sheet.jpg,safe,metric-assisted visual review target; Codex must open evidence before promotion,BLENDER_CON001_00742,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/BLENDER_CON001_00742/side_by_side.mp4,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/BLENDER_CON001_00742/temporal_diff_heatmap.jpg,no,better
/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/BLENDER_CON001_00744/affected_crop_sheet.jpg,safe,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/BLENDER_CON001_00744/boundary_crop_sheet.jpg,safe,ATS_STRICT_Q2_T500_S0,no,no,24,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/BLENDER_CON001_00744/object_crop_sheet.jpg,tie,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/BLENDER_CON001_00744/outside_crop_sheet.jpg,damaged,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/BLENDER_CON001_00744/overlap_crop_sheet.jpg,regressed,metric-assisted visual review target; Codex must open evidence before promotion,BLENDER_CON001_00744,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/BLENDER_CON001_00744/side_by_side.mp4,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/BLENDER_CON001_00744/temporal_diff_heatmap.jpg,no,worse
/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/REAL_ENV102_00001_002_02/affected_crop_sheet.jpg,regressed,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/REAL_ENV102_00001_002_02/boundary_crop_sheet.jpg,regressed,ATS_STRICT_Q2_T500_S0,no,no,24,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/REAL_ENV102_00001_002_02/object_crop_sheet.jpg,tie,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/REAL_ENV102_00001_002_02/outside_crop_sheet.jpg,safe,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/REAL_ENV102_00001_002_02/overlap_crop_sheet.jpg,regressed,metric-assisted visual review target; Codex must open evidence before promotion,REAL_ENV102_00001_002_02,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/REAL_ENV102_00001_002_02/side_by_side.mp4,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/REAL_ENV102_00001_002_02/temporal_diff_heatmap.jpg,no,worse
/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/REAL_ENV200_00001_006_02/affected_crop_sheet.jpg,safe,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/REAL_ENV200_00001_006_02/boundary_crop_sheet.jpg,safe,ATS_STRICT_Q2_T500_S0,no,no,24,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/REAL_ENV200_00001_006_02/object_crop_sheet.jpg,tie,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/REAL_ENV200_00001_006_02/outside_crop_sheet.jpg,damaged,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/REAL_ENV200_00001_006_02/overlap_crop_sheet.jpg,regressed,metric-assisted visual review target; Codex must open evidence before promotion,REAL_ENV200_00001_006_02,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/REAL_ENV200_00001_006_02/side_by_side.mp4,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_STRICT_Q2_T500_S0/evidence/REAL_ENV200_00001_006_02/temporal_diff_heatmap.jpg,no,worse
/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_HALFLR_Q2_T500_S0/evidence/BLENDER_CON001_00742/affected_crop_sheet.jpg,safe,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_HALFLR_Q2_T500_S0/evidence/BLENDER_CON001_00742/boundary_crop_sheet.jpg,safe,ATS_HALFLR_Q2_T500_S0,no,no,24,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_HALFLR_Q2_T500_S0/evidence/BLENDER_CON001_00742/object_crop_sheet.jpg,improved,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_HALFLR_Q2_T500_S0/evidence/BLENDER_CON001_00742/outside_crop_sheet.jpg,safe,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_HALFLR_Q2_T500_S0/evidence/BLENDER_CON001_00742/overlap_crop_sheet.jpg,regressed,metric-assisted visual review target; Codex must open evidence before promotion,BLENDER_CON001_00742,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_HALFLR_Q2_T500_S0/evidence/BLENDER_CON001_00742/side_by_side.mp4,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_HALFLR_Q2_T500_S0/evidence/BLENDER_CON001_00742/temporal_diff_heatmap.jpg,no,worse
/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_HALFLR_Q2_T500_S0/evidence/BLENDER_CON001_00744/affected_crop_sheet.jpg,safe,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_HALFLR_Q2_T500_S0/evidence/BLENDER_CON001_00744/boundary_crop_sheet.jpg,safe,ATS_HALFLR_Q2_T500_S0,no,no,24,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_HALFLR_Q2_T500_S0/evidence/BLENDER_CON001_00744/object_crop_sheet.jpg,tie,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_HALFLR_Q2_T500_S0/evidence/BLENDER_CON001_00744/outside_crop_sheet.jpg,damaged,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_HALFLR_Q2_T500_S0/evidence/BLENDER_CON001_00744/overlap_crop_sheet.jpg,regressed,metric-assisted visual review target; Codex must open evidence before promotion,BLENDER_CON001_00744,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_HALFLR_Q2_T500_S0/evidence/BLENDER_CON001_00744/side_by_side.mp4,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_video/ATS_HALFLR_Q2_T500_S0/evidence/BLENDER_CON001_00744/temporal_diff_heatmap.jpg,no,worse
