machine,path,role,writable,size_or_df,status
PAI,/home,local_home,"yes","5.3T total / 5.0T free",EXP58B_STORAGE_READY
PAI,/mnt/nas/hj,H20_NAS,"yes","10P total / 10P free at mount",EXP58B_STORAGE_READY
PAI,/mnt/workspace,workspace,"avoid","70T total / 1.9T free / 98% used",EXP58B_STORAGE_WARN_AVOID_WORKSPACE
PAI,/mnt/nas/hj/H20_Video_inpainting_DPO/tools/void_kubric_exp58b,preferred_tools_root,no,not writable by hj,EXP58B_TOOLS_ROOT_HOME_FALLBACK_REQUIRED
PAI,/mnt/nas/hj/conda_envs/void_kubric_exp58b,preferred_env_root,no,not writable by hj,EXP58B_ENV_ROOT_HOME_FALLBACK_REQUIRED
PAI,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/void/kubric_exp58b,data_output_root,yes,empty,EXP58B_STORAGE_READY
PAI,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp58_void_native_data_diagnostic/exp58b_kubric_env,log_root,yes,empty,EXP58B_STORAGE_READY
PAI,/mnt/nas/hj/H20_Video_inpainting_DPO/runtime/exp58_void_native_data_diagnostic/exp58b_kubric_env,runtime_root,yes,empty,EXP58B_STORAGE_READY
PAI,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/void/kubric_exp58b,final_data_root,yes,1.4M after Gate1/Gate8,EXP58B_STORAGE_READY
PAI,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp58_void_native_data_diagnostic/exp58b_kubric_env,final_log_root,yes,117K after Gate1/Gate8,EXP58B_STORAGE_READY
PAI,/mnt/nas/hj/H20_Video_inpainting_DPO/runtime/exp58_void_native_data_diagnostic/exp58b_kubric_env,final_runtime_root,yes,538M includes wheelhouse/manifests,EXP58B_STORAGE_READY
PAI,/home/hj/tools/void_kubric_exp58b,final_tools_fallback,yes,1.7G Blender/Kubric/tools,EXP58B_STORAGE_READY
PAI,/home/hj/conda_envs/void_kubric_exp58b,final_env_fallback,yes,2.1G isolated env,EXP58B_STORAGE_READY
H20,/home/nvme01,local_staging,not_used,no large staging retained,EXP58B_STORAGE_READY
